deploymentNumber,Reference Designator,sensor.uid,startDateTime,stopDateTime,mooring.uid,node.uid,lat,lon,CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,versionNumber,orbit,deployment_depth,water_depth,notes
3,CE07SHSP-SP001-01-DOSTAJ000,CGINS-DOSTAJ-00308,2017-04-16T19:18:00,2017-05-18T15:22:00,CGMCE-07SHSP-00003,CGVEH-CSPPCE-00002,46.98608,-124.56598,SKQ201704S,,,,1,,87,87,
3,CE07SHSP-SP001-07-FLORTJ000,CGINS-FLORTJ-01207,2017-04-16T19:18:00,2017-05-18T15:22:00,CGMCE-07SHSP-00003,CGVEH-CSPPCE-00002,46.98608,-124.56598,SKQ201704S,,,,1,,87,87,
3,CE07SHSP-SP001-05-NUTNRJ000,CGINS-NUTNRJ-00400,2017-04-16T19:18:00,2017-05-18T15:22:00,CGMCE-07SHSP-00003,CGVEH-CSPPCE-00002,46.98608,-124.56598,SKQ201704S,,,,1,,87,87,
3,CE07SHSP-SP001-04-OPTAAJ000,CGINS-OPTAAJ-00139,2017-04-16T19:18:00,2017-05-18T15:22:00,CGMCE-07SHSP-00003,CGVEH-CSPPCE-00002,46.98608,-124.56598,SKQ201704S,,,,1,,87,87,
3,CE07SHSP-SP001-09-PARADJ000,CGINS-PARADJ-00434,2017-04-16T19:18:00,2017-05-18T15:22:00,CGMCE-07SHSP-00003,CGVEH-CSPPCE-00002,46.98608,-124.56598,SKQ201704S,,,,1,,87,87,
3,CE07SHSP-SP001-06-SPKIRJ000,CGINS-SPKIRJ-00264,2017-04-16T19:18:00,2017-05-18T15:22:00,CGMCE-07SHSP-00003,CGVEH-CSPPCE-00002,46.98608,-124.56598,SKQ201704S,,,,1,,87,87,
3,CE07SHSP-SP001-02-VELPTJ000,CGINS-VELPTJ-11912,2017-04-16T19:18:00,2017-05-18T15:22:00,CGMCE-07SHSP-00003,CGVEH-CSPPCE-00002,46.98608,-124.56598,SKQ201704S,,,,1,,87,87,
4,CE07SHSP-SP001-00-SPPENG000,CGCON-CSPPCE-00003,2017-05-18T18:25:00,2017-07-25T22:53:00,CGMCE-07SHSP-00004,CGVEH-CSPPCE-00003,46.9853,-124.5660833,PS1705D,,,,1,,,87,
4,CE07SHSP-SP001-08-CTDPFJ000,CGINS-CTDPFJ-00346,2017-05-18T18:25:00,2017-07-25T22:53:00,CGMCE-07SHSP-00004,CGVEH-CSPPCE-00003,46.9853,-124.5660833,PS1705D,,,,1,,,87,
4,CE07SHSP-SP001-01-DOSTAJ000,CGINS-DOSTAJ-00646,2017-05-18T18:25:00,2017-07-25T22:53:00,CGMCE-07SHSP-00004,CGVEH-CSPPCE-00003,46.9853,-124.5660833,PS1705D,,,,1,,,87,
4,CE07SHSP-SP001-07-FLORTJ000,CGINS-FLORTJ-01206,2017-05-18T18:25:00,2017-07-25T22:53:00,CGMCE-07SHSP-00004,CGVEH-CSPPCE-00003,46.9853,-124.5660833,PS1705D,,,,1,,,87,
4,CE07SHSP-SP001-05-NUTNRJ000,CGINS-NUTNRJ-00426,2017-05-18T18:25:00,2017-07-25T22:53:00,CGMCE-07SHSP-00004,CGVEH-CSPPCE-00003,46.9853,-124.5660833,PS1705D,,,,1,,,87,
4,CE07SHSP-SP001-04-OPTAAJ000,CGINS-OPTAAJ-00138,2017-05-18T18:25:00,2017-07-25T22:53:00,CGMCE-07SHSP-00004,CGVEH-CSPPCE-00003,46.9853,-124.5660833,PS1705D,,,,1,,,87,
4,CE07SHSP-SP001-09-PARADJ000,CGINS-PARADJ-00411,2017-05-18T18:25:00,2017-07-25T22:53:00,CGMCE-07SHSP-00004,CGVEH-CSPPCE-00003,46.9853,-124.5660833,PS1705D,,,,1,,,87,
4,CE07SHSP-SP001-06-SPKIRJ000,CGINS-SPKIRJ-00264,2017-05-18T18:25:00,2017-07-25T22:53:00,CGMCE-07SHSP-00004,CGVEH-CSPPCE-00003,46.9853,-124.5660833,PS1705D,,,,1,,,87,
4,CE07SHSP-SP001-02-VELPTJ000,CGINS-VELPTJ-11779,2017-05-18T18:25:00,2017-07-25T22:53:00,CGMCE-07SHSP-00004,CGVEH-CSPPCE-00003,46.9853,-124.5660833,PS1705D,,,,1,,,87,
