deploymentNumber,CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
2,OC1510A,,,,CE02SHSM-RID26-07-NUTNRB000,1,2015-10-07T21:10:00,2016-05-16T21:09:00,CGMCE-02SHSM-00002,,CGINS-NUTNRB-00244,44.63538,-124.30252,,7,82,
2,OC1510A,,,,CE02SHSM-RID26-08-SPKIRB000,1,2015-10-07T21:10:00,2016-05-16T21:09:00,CGMCE-02SHSM-00002,,CGINS-SPKIRB-00296,44.63538,-124.30252,,7,82,
2,OC1510A,,,,CE02SHSM-RID27-00-DCLENG000,1,2015-10-07T21:10:00,2016-05-16T21:09:00,CGMCE-02SHSM-00002,,CGCON-NDCL27-00014,44.63538,-124.30252,,7,82,
2,OC1510A,,,,CE02SHSM-RID27-01-OPTAAD000,1,2015-10-07T21:10:00,2016-05-16T21:09:00,CGMCE-02SHSM-00002,,CGINS-OPTAAD-00135,44.63538,-124.30252,,7,82,
2,OC1510A,,,,CE02SHSM-RID27-02-FLORTD000,1,2015-10-07T21:10:00,2016-05-16T21:09:00,CGMCE-02SHSM-00002,,CGINS-FLORTD-01303,44.63538,-124.30252,,7,82,
2,OC1510A,,,,CE02SHSM-RID27-03-CTDBPC000,1,2015-10-07T21:10:00,2016-05-16T21:09:00,CGMCE-02SHSM-00002,,CGINS-CTDBPC-07243,44.63538,-124.30252,,7,82,
2,OC1510A,,,,CE02SHSM-RID27-04-DOSTAD000,1,2015-10-07T21:10:00,2016-05-16T21:09:00,CGMCE-02SHSM-00002,,CGINS-DOSTAD-00482,44.63538,-124.30252,,7,82,
2,OC1510A,,,,CE02SHSM-SBC11-00-CPMENG000,1,2015-10-07T21:10:00,2016-05-16T21:09:00,CGMCE-02SHSM-00002,,OL000310,44.63538,-124.30252,,0,82,
2,OC1510A,,,,CE02SHSM-SBD11-00-DCLENG000,1,2015-10-07T21:10:00,2016-05-16T21:09:00,CGMCE-02SHSM-00002,,OL000312,44.63538,-124.30252,,0,82,
2,OC1510A,,,,CE02SHSM-SBD11-01-MOPAK0000,1,2015-10-07T21:10:00,2016-05-16T21:09:00,CGMCE-02SHSM-00002,,OL000307,44.63538,-124.30252,,0,82,
2,OC1510A,,,,CE02SHSM-SBD11-02-HYDGN0000,1,2015-10-07T21:10:00,2016-05-16T21:09:00,CGMCE-02SHSM-00002,,OL000308,44.63538,-124.30252,,0,82,
2,OC1510A,,,,CE02SHSM-SBD11-04-VELPTA000,1,2015-10-07T21:10:00,2016-05-16T21:09:00,CGMCE-02SHSM-00002,,CGINS-VELPTA-12737,44.63538,-124.30252,,1,82,
2,OC1510A,,,,CE02SHSM-SBD11-06-METBKA000,1,2015-10-07T21:10:00,2016-05-16T21:09:00,CGMCE-02SHSM-00002,,CGINS-METLGR-00008,44.63538,-124.30252,,-3,82,
2,OC1510A,,,,CE02SHSM-SBD12-00-DCLENG000,1,2015-10-07T21:10:00,2016-05-16T21:09:00,CGMCE-02SHSM-00002,,OL000313,44.63538,-124.30252,,0,82,
2,OC1510A,,,,CE02SHSM-SBD12-03-HYDGN0000,1,2015-10-07T21:10:00,2016-05-16T21:09:00,CGMCE-02SHSM-00002,,OL000309,44.63538,-124.30252,,0,82,
2,OC1510A,,,,CE02SHSM-SBD12-04-PCO2AA000,1,2015-10-07T21:10:00,2016-05-16T21:09:00,CGMCE-02SHSM-00002,,CGINS-PCO2AA-35258,44.63538,-124.30252,,0,82,
2,OC1510A,,,,CE02SHSM-SBD12-05-WAVSSA000,1,2015-10-07T21:10:00,2016-05-16T21:09:00,CGMCE-02SHSM-00002,,CGINS-WAVSSA-05271,44.63538,-124.30252,,0,82,
2,#OC1510A,,,,CE02SHSM-SBD12-08-FDCHPA000,1,2015-10-07T21:10:00,2016-05-16T21:09:00,CGMCE-02SHSM-00002,,,44.63538,-124.30252,,-3,82,Not Deployed
3,TN-342,,,,CE02SHSM-RIC21-00-CPMENG000,1,2016-05-17T21:23:00,2016-09-28T15:52:00,CGMCE-02SHSM-00003,,CGCON-NCPM02-00002,44.63565,-124.30427,,7,80,
3,TN-342,,,,CE02SHSM-RID26-00-DCLENG000,1,2016-05-17T21:23:00,2016-09-28T15:52:00,CGMCE-02SHSM-00003,,CGCON-NDCL26-00017,44.63565,-124.30427,,7,80,
3,TN-342,,,,CE02SHSM-RID26-01-ADCPTA000,1,2016-05-17T21:23:00,2016-09-28T15:52:00,CGMCE-02SHSM-00003,,CGINS-ADCPTA-18222,44.63565,-124.30427,,7,80,
3,TN-342,,,,CE02SHSM-RID26-04-VELPTA000,1,2016-05-17T21:23:00,2016-09-28T15:52:00,CGMCE-02SHSM-00003,,CGINS-VELPTA-11823,44.63565,-124.30427,,7,80,
3,TN-342,,,,CE02SHSM-RID26-06-PHSEND000,1,2016-05-17T21:23:00,2016-09-28T15:52:00,CGMCE-02SHSM-00003,,CGINS-PHSEND-P0185,44.63565,-124.30427,,7,80,
3,TN-342,,,,CE02SHSM-RID26-07-NUTNRB000,1,2016-05-17T21:23:00,2016-09-28T15:52:00,CGMCE-02SHSM-00003,,CGINS-NUTNRB-00289,44.63565,-124.30427,,7,80,
3,TN-342,,,,CE02SHSM-RID26-08-SPKIRB000,1,2016-05-17T21:23:00,2016-09-28T15:52:00,CGMCE-02SHSM-00003,,CGINS-SPKIRB-00297,44.63565,-124.30427,,7,80,
3,TN-342,,,,CE02SHSM-RID27-00-DCLENG000,1,2016-05-17T21:23:00,2016-09-28T15:52:00,CGMCE-02SHSM-00003,,CGCON-NDCL27-00002,44.63565,-124.30427,,7,80,
