deploymentNumber,Reference Designator,sensor.uid,startDateTime,stopDateTime,lat,lon,mooring.uid,CUID_Deploy,node.uid,versionNumber,deployedBy,CUID_Recover,recoveredBy,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
2,CE06ISSP-SP001-00-SPPENG000,CGCON-CSPPCE-00002,2015-07-08T22:30:00,2015-08-21T00:00:00,47.13102,-124.26534,CGMCE-06ISSP-00002,ML-1507,CGVEH-CSPPCE-00002,1,,,,,29,29,nominal_depth,,
2,CE06ISSP-SP001-02-DOSTAJ000,CGINS-DOSTAJ-00352,2015-07-08T22:30:00,2015-08-21T00:00:00,47.13102,-124.26534,CGMCE-06ISSP-00002,ML-1507,CGVEH-CSPPCE-00002,1,,,,,29,29,nominal_depth,,
2,CE06ISSP-SP001-04-OPTAAJ000,CGINS-OPTAAJ-00139,2015-07-08T22:30:00,2015-08-21T00:00:00,47.13102,-124.26534,CGMCE-06ISSP-00002,ML-1507,CGVEH-CSPPCE-00002,1,,,,,29,29,nominal_depth,,
2,CE06ISSP-SP001-05-VELPTJ000,CGINS-VELPTJ-11912,2015-07-08T22:30:00,2015-08-21T00:00:00,47.13102,-124.26534,CGMCE-06ISSP-00002,ML-1507,CGVEH-CSPPCE-00002,1,,,,,29,29,nominal_depth,,
2,CE06ISSP-SP001-06-NUTNRJ000,CGINS-NUTNRJ-00425,2015-07-08T22:30:00,2015-08-21T00:00:00,47.13102,-124.26534,CGMCE-06ISSP-00002,ML-1507,CGVEH-CSPPCE-00002,1,,,,,29,29,nominal_depth,,
2,CE06ISSP-SP001-07-SPKIRJ000,CGINS-SPKIRJ-00264,2015-07-08T22:30:00,2015-08-21T00:00:00,47.13102,-124.26534,CGMCE-06ISSP-00002,ML-1507,CGVEH-CSPPCE-00002,1,,,,,29,29,nominal_depth,,
2,CE06ISSP-SP001-08-FLORTJ000,CGINS-FLORTJ-01206,2015-07-08T22:30:00,2015-08-21T00:00:00,47.13102,-124.26534,CGMCE-06ISSP-00002,ML-1507,CGVEH-CSPPCE-00002,1,,,,,29,29,nominal_depth,,
2,CE06ISSP-SP001-09-CTDPFJ000,CGINS-CTDPFJ-00349,2015-07-08T22:30:00,2015-08-21T00:00:00,47.13102,-124.26534,CGMCE-06ISSP-00002,ML-1507,CGVEH-CSPPCE-00002,1,,,,,29,29,nominal_depth,,
2,CE06ISSP-SP001-10-PARADJ000,CGINS-PARADJ-00434,2015-07-08T22:30:00,2015-08-21T00:00:00,47.13102,-124.26534,CGMCE-06ISSP-00002,ML-1507,CGVEH-CSPPCE-00002,1,,,,,29,29,nominal_depth,,
3,CE06ISSP-SP001-00-SPPENG000,CGCON-CSPPCE-00001,2015-08-21T15:29:00,2015-10-17T00:00:00,47.13078,-124.27265,CGMCE-06ISSP-00003,EK-1508,CGVEH-CSPPCE-00001,1,,,,,29,29,nominal_depth,,
3,CE06ISSP-SP001-02-DOSTAJ000,CGINS-DOSTAJ-00209,2015-08-21T15:29:00,2015-10-17T00:00:00,47.13078,-124.27265,CGMCE-06ISSP-00003,EK-1508,CGVEH-CSPPCE-00001,1,,,,,29,29,nominal_depth,,
3,CE06ISSP-SP001-04-OPTAAJ000,CGINS-OPTAAJ-00137,2015-08-21T15:29:00,2015-10-17T00:00:00,47.13078,-124.27265,CGMCE-06ISSP-00003,EK-1508,CGVEH-CSPPCE-00001,1,,,,,29,29,nominal_depth,,
3,CE06ISSP-SP001-05-VELPTJ000,CGINS-VELPTJ-11259,2015-08-21T15:29:00,2015-10-17T00:00:00,47.13078,-124.27265,CGMCE-06ISSP-00003,EK-1508,CGVEH-CSPPCE-00001,1,,,,,29,29,nominal_depth,,
3,CE06ISSP-SP001-06-NUTNRJ000,CGINS-NUTNRJ-00337,2015-08-21T15:29:00,2015-10-17T00:00:00,47.13078,-124.27265,CGMCE-06ISSP-00003,EK-1508,CGVEH-CSPPCE-00001,1,,,,,29,29,nominal_depth,,
3,CE06ISSP-SP001-07-SPKIRJ000,CGINS-SPKIRJ-00237,2015-08-21T15:29:00,2015-10-17T00:00:00,47.13078,-124.27265,CGMCE-06ISSP-00003,EK-1508,CGVEH-CSPPCE-00001,1,,,,,29,29,nominal_depth,,
3,CE06ISSP-SP001-08-FLORTJ000,CGINS-FLORTJ-01084,2015-08-21T15:29:00,2015-10-17T00:00:00,47.13078,-124.27265,CGMCE-06ISSP-00003,EK-1508,CGVEH-CSPPCE-00001,1,,,,,29,29,nominal_depth,,
3,CE06ISSP-SP001-09-CTDPFJ000,CGINS-CTDPFJ-00308,2015-08-21T15:29:00,2015-10-17T00:00:00,47.13078,-124.27265,CGMCE-06ISSP-00003,EK-1508,CGVEH-CSPPCE-00001,1,,,,,29,29,nominal_depth,,
3,CE06ISSP-SP001-10-PARADJ000,CGINS-PARADJ-00365,2015-08-21T15:29:00,2015-10-17T00:00:00,47.13078,-124.27265,CGMCE-06ISSP-00003,EK-1508,CGVEH-CSPPCE-00001,1,,,,,29,29,nominal_depth,,
4,CE06ISSP-SP001-00-SPPENG000,CGCON-CSPPCE-00001,2016-05-13T17:48:00,2016-07-20T00:00:00,47.135,-124.26966,CGMCE-06ISSP-00004,TN-342,CGVEH-CSPPCE-00001,1,,,,,29,29,nominal_depth,,
4,CE06ISSP-SP001-02-DOSTAJ000,CGINS-DOSTAD-00314,2016-05-13T17:48:00,2016-07-20T00:00:00,47.135,-124.26966,CGMCE-06ISSP-00004,TN-342,CGVEH-CSPPCE-00001,1,,,,,29,29,nominal_depth,,
4,CE06ISSP-SP001-04-OPTAAJ000,CGINS-OPTAAJ-00137,2016-05-13T17:48:00,2016-07-20T00:00:00,47.135,-124.26966,CGMCE-06ISSP-00004,TN-342,CGVEH-CSPPCE-00001,1,,,,,29,29,nominal_depth,,
4,CE06ISSP-SP001-05-VELPTJ000,CGINS-VELPTJ-11259,2016-05-13T17:48:00,2016-07-20T00:00:00,47.135,-124.26966,CGMCE-06ISSP-00004,TN-342,CGVEH-CSPPCE-00001,1,,,,,29,29,nominal_depth,,
4,CE06ISSP-SP001-06-NUTNRJ000,CGINS-NUTNRJ-00425,2016-05-13T17:48:00,2016-07-20T00:00:00,47.135,-124.26966,CGMCE-06ISSP-00004,TN-342,CGVEH-CSPPCE-00001,1,,,,,29,29,nominal_depth,,
4,CE06ISSP-SP001-07-SPKIRJ000,CGINS-SPKIRB-00231,2016-05-13T17:48:00,2016-07-20T00:00:00,47.135,-124.26966,CGMCE-06ISSP-00004,TN-342,CGVEH-CSPPCE-00001,1,,,,,29,29,nominal_depth,,
4,CE06ISSP-SP001-08-FLORTJ000,CGINS-FLORTJ-01084,2016-05-13T17:48:00,2016-07-20T00:00:00,47.135,-124.26966,CGMCE-06ISSP-00004,TN-342,CGVEH-CSPPCE-00001,1,,,,,29,29,nominal_depth,,
