OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00226,GI03FLMB-00001,,Mooring,GI03FLMB-00001,11/21/2013,
A00176,,DOSTA S/N,Sensor,126,,
A00421,,FLORT S/N,Sensor,1107,,
A00468,,PHSEN S/N,Sensor,P0104,,
A00677,,CTDMO S/N,Sensor,37-11612,,
A00077,,ADCP S/N,Sensor,18353,,
A00670,,CTDMO S/N,Sensor,37-11594,,
A00667,,CTDMO S/N,Sensor,37-11609,,
A00910,,CTDMO S/N,Sensor,37-12310,,
A00683,,CTDMO S/N,Sensor,37-11535,,
A00672,,CTDMO S/N,Sensor,37-11603,,
A00682,,CTDMO S/N,Sensor,37-11607,,
A00911,,CTDMO S/N,Sensor,37-12311,,
A00671,,CTDMO S/N,Sensor,37-11593,,
A00689,,CTDMO S/N,Sensor,37-11600,,
A00687,,CTDMO S/N,Sensor,37-11598,,
A00873,,CTDMO S/N,Sensor,37-12223,,
A00874,,CTDMO S/N,Sensor,37-12224,,
N00516,,VELPT S/N,Sensor,AQD 11973,,
A00868,,CTDMO S/N,Sensor,37-12218,,
N00517,,VELPT S/N,Sensor,AQD 11974,,
A00869,,CTDMO S/N,Sensor,37-12219,,
N00518,,VELPT S/N,Sensor,AQD 11976,,
A00876,,CTDMO S/N,Sensor,37-12226,,
N00519,,VELPT S/N,Sensor,AQD 11981,,
A00533,,AcousticRelease S/N,,46256,,
A00532,,AcousticRelease S/N,,46255,,
A00536,,AcousticRelease S/N,,46259,,
OL000023,,Controller,,13285,,
OL000022,,Controller,,12369,,
