OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
OL000083,GS03FLMB-00002,,Mooring,GS03FLMB-00002,12/10/2015,
A01652,,FLORT,Sensor,1322,,
A01716,,PHSEN,,P0183,,
OL000084,,DOSTAD,,502,,
A00570,,ADCPS,,20504,,
A01587,,CTDMOG,,37-13624,,
A01586,,CTDMOG,,37-13623,,
A01585,,CTDMOG,,37-13622,,
A01563,,CTDMOG,,37-13608,,
A01564,,CTDMOG,,37-13616,,
A01565,,CTDMOG,,37-13617,,
A01583,,CTDMOG,,37-13620,,
A01584,,CTDMOG,,37-13621,,
A01562,,CTDMOG,,37-13607,,
A01603,,CTDMOH,,37-13649,,
A01571,,CTDMOH,,37-13650,,
A01568,,CTDMOH,,37-13633,,
OL000085,,SIO Controlller,,14885,,
OL000086,,SIO Controlller,,14884,,
