OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
OL000028,GA03FLMA-00002,,Mooring,GA03FLMA-00002,10/25/2015,
,,GPS S/N,,0.00E+00,,
,,XEOS S/N,,3.00234E+14,,
,,Flasher S/N,,667,,
,,Controller S/N,,14875,,
A01236,,DOSTA S/N,Sensor,413,,
OL000031,,FLORD S/N,Sensor,1136,,
A01714,,PHSEN S/N,Sensor,P0181,,
A01567,,CTDMO S/N,Sensor,37-13632,,
,,GPS S/N,,3.00E+14,,
,,XEOS S/N,,300234063717510,,
,,Flasher S/N,,671,,
,,Controller S/N,,13989 / 25,,
,,ACOMM S/N,,66653,,
A01507,,ADCP S/N,Sensor,23497,,
A01547,,CTDMO S/N,Sensor,37-13560,,
,,Battery Pack S/N,,0,,
,,Battery Pack S/N,,0,,
A01593,,CTDMO S/N,Sensor,37-13561,,
A01594,,CTDMO S/N,Sensor,37-13578,,
A01595,,CTDMO S/N,Sensor,37-13579,,
A01548,,CTDMO S/N,Sensor,37-13589,,
A01549,,CTDMO S/N,Sensor,37-13590,,
A01550,,CTDMO S/N,Sensor,37-13593,,
A01597,,CTDMO S/N,Sensor,37-13594,,
A01551,,CTDMO S/N,Sensor,37-13595,,
A01566,,CTDMO S/N,Sensor,37-13627,,
A01602,,CTDMO S/N,Sensor,37-13631,,
A00775,,AcousticRelease S/N,,0,,
A00777,,AcousticRelease S/N,,0,,
A00782,,AcousticRelease S/N,,0,,
OL000029,,SIO Controller,,14875,,
OL000030,,SIO Controller,,14879,,
