OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00225,GI03FLMA-00002,,Mooring,GI03FLMA-00002,8/18/2015,
A01305,,DOSTA S/N,Sensor,465,,
A01424,,FLORT S/N,Sensor,1298,,
A01642,,PHSEN S/N,Sensor,P0174,,
A01440,,CTDMO S/N,Sensor,37-13419,,
A01509,,ADCP S/N,Sensor,23380,,
A01448,,CTDMO S/N,Sensor,37-13429,,
A01441,,CTDMO S/N,Sensor,37-13420,,
A01442,,CTDMO S/N,Sensor,37-13421,,
A01443,,CTDMO S/N,Sensor,37-13422,,
A01444,,CTDMO S/N,Sensor,37-13425,,
A01445,,CTDMO S/N,Sensor,37-13426,,
A01446,,CTDMO S/N,Sensor,37-13427,,
A01447,,CTDMO S/N,Sensor,37-13428,,
A01459,,CTDMO S/N,Sensor,37-13444,,
A01460,,CTDMO S/N,Sensor,37-13445,,
A01462,,CTDMO S/N,Sensor,37-13446,,
A01463,,CTDMO S/N,Sensor,37-13447,,
N00514,,VELPT S/N,Sensor,AQD 12673,,
A01464,,CTDMO S/N,Sensor,37-13448,,
N00513,,VELPT S/N,Sensor,AQD 12663,,
A01461,,CTDMO S/N,Sensor,37-13449,,
N00511,,VELPT S/N,Sensor,AQD 12195,,
A01465,,CTDMO S/N,Sensor,37-13450,,
N00512,,VELPT S/N,Sensor,AQD 12236,,
OL000021,,SIO Controller S/N,,12372 ID 01,,
OL000004,,SIO Controller S/N,,13993 / 24,,
,,AcousticRelease S/N,,,,
,,AcousticRelease S/N,,,,
,,AcousticRelease S/N,,,,
