,ASSET_UID,LEGACY_ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,MIO_Inventory_Description,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments,MIO,RCA,In Asset Tracking
314,ATCWK-67627-00006,,Sensor,0,CTD Profiler: CTDPF Series B,Seabird 16+V2 CTD 3500m,Sea-Bird Electronics,SBE 16plus V2,16-50209,3.1.8,20170401.0,16060.0,PI,University of Washington,False,False
315,ATCWK-67627-00007,,Sensor,0,CTD Profiler: CTDPF Series B,Seabird 16+V2 CTD 3500m,Sea-Bird Electronics,SBE 16plus V2,16-50210,3.1.8,20170401.0,16060.0,PI,University of Washington,False,False
316,ATOSU-58317-00007,ATOSU-58317-00007,Sensor,0,Underwater Digital Still Camera: CAMDS Series C,CAMDS-C,Kongsberg Underwater Technology Inc,Custom,100,,,,,,False,False
317,ATOSU-58317-00008,ATOSU-58317-00008,Sensor,0,Underwater Digital Still Camera: CAMDS Series C,CAMDS-C,Kongsberg Underwater Technology Inc,Custom,105,,,,,,False,False
318,ATOSU-58317-00012,ATOSU-58317-00012,Sensor,0,Underwater Digital Still Camera: CAMDS Series B,Underwater Digital Still Camera (CAMDS),Kongsberg Underwater Technology Inc,Custom,117,,,,,,False,False
319,ATOSU-58317-00013,ATOSU-58317-00013,Sensor,0,Underwater Digital Still Camera: CAMDS Series C,CAMDS-C,Kongsberg Underwater Technology Inc,Custom,118,,,,,,False,False
320,ATOSU-58320-00007,ATOSU-58320-00007,Sensor,0,Dissolved Oxygen Stable Response: DOSTA Series D,DOSTA for RSN,Aanderaa,Optode 4831,215,,,,,,False,False
321,ATOSU-58320-00008,ATOSU-58320-00008,Sensor,0,Dissolved Oxygen Stable Response: DOSTA Series D,DOSTA SERIES D (AADI 4831),Aanderaa,Optode 4831,137,,20130124.0,5258.25,,,False,False
322,ATOSU-58320-00017,ATOSU-58320-00017,Sensor,0,Dissolved Oxygen Stable Response: DOSTA Series D,4831 Oxygen Optode Sensor w/ (2) 0-5 VDC Analog Channels (DOSTA),Aanderaa,Optode 4831,316,,,8000.0,,,False,False
323,ATOSU-58320-00018,ATOSU-58320-00018,Sensor,0,Dissolved Oxygen Stable Response: DOSTA Series D,4831 Oxygen Optode Sensor w/ (2) 0-5 VDC Analog Channels (DOSTA),Aanderaa,Optode 4831,317,,,8000.0,transfer in,,False,False
324,ATOSU-58320-00019,ATOSU-58320-00019,Sensor,0,Dissolved Oxygen Stable Response: DOSTA Series D,DOSTA SERIES D (AADI 4831),Aanderaa,Optode 4831,311,,20140130.0,5258.25,multiple OSU institute tags,,False,False
325,ATOSU-58320-00020,ATOSU-58320-00020,Sensor,0,Dissolved Oxygen Stable Response: DOSTA Series D,DOSTA for RSN,Aanderaa,Optode 4831,216,,,,,,False,False
326,ATOSU-58320-00021,ATOSU-58320-00021,Sensor,0,Dissolved Oxygen Stable Response: DOSTA Series D,DOSTA SERIES D (AADI 4831),Aanderaa,Optode 4831,133,,20130124.0,5258.25,,,False,False
327,ATOSU-58320-00022,ATOSU-58320-00022,Sensor,0,Dissolved Oxygen Stable Response: DOSTA Series D,DOSTA for RSN,Aanderaa,Optode 4831,381,,,5092.2,,,False,False
328,ATOSU-58322-00008,ATOSU-58322-00008,Sensor,0,3-Wavelength Fluorometer: FLORT Series D,FLORT SERIES D (ECO TRIPLET-W),WET Labs,ECO Triplet-w,1150,,20140218.0,13013.52,,,False,False
329,ATOSU-58322-00013,ATOSU-58322-00013,Sensor,0,3-Wavelength Fluorometer: FLORT Series D,ECO-triplet-w (3-wavelength fluorometer w/ wiper) (FLOR-D),WET Labs,ECO Triplet-w,1289,,,13800.0,,,False,False
330,ATOSU-58324-00012,N00698,Sensor,0,Broadband Acoustic Receiver (Hydrophone): HYDBB Series A,"Passive Bioacoustics, HYDBB-B",Ocean Sonics,icListen SB35-ETH,1411,,20130321.0,13943.61,,,False,False
331,ATOSU-58324-00013,N00689,Sensor,0,Broadband Acoustic Receiver (Hydrophone): HYDBB Series A,"Passive Bioacoustics, HYDBB-B",Ocean Sonics,icListen SB35-ETH,1250,,20130321.0,13943.62,,,False,False
332,ATOSU-58324-00014,ATOSU-58324-00014,Sensor,0,Broadband Acoustic Receiver (Hydrophone): HYDBB Series A,HYDBB-A,Ocean Sonics,icListen SB35-ETH,1248,,20130321.0,13943.61,,,False,False
333,ATOSU-58324-00015,ATOSU-58324-00015,Sensor,0,Broadband Acoustic Receiver (Hydrophone): HYDBB Series A,"Passive Bioacoustics, HYDBB-B",Ocean Sonics,icListen SB35-ETH,1249,,,,,,False,False
334,ATOSU-58324-00016,ATOSU-58324-00016,Sensor,0,Broadband Acoustic Receiver (Hydrophone): HYDBB Series A,HYDBB-A,Ocean Sonics,icListen SB35-ETH,1412,,,,,,False,False
