,ASSET_UID,LEGACY_ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,MIO_Inventory_Description,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments,MIO,RCA,In Asset Tracking
828,CGCON-SIOCON-99421,OL000005,Sensor,0,Subsurface Mooring Platform Controller,SIO Controller,SIO,Subsurface Mooring Controller,13994 / 21,,,,,,False,False
829,CGCON-SIOCON-99520,OL000002,Sensor,0,Subsurface Mooring Platform Controller,SIO Controller,SIO,Subsurface Mooring Controller,13995 / 20,,,,,,False,False
830,CGCON-SIOCON-99706,OL000081,Sensor,0,Subsurface Mooring Platform Controller,Controller S/N,SIO,Subsurface Mooring Controller,13997 / 06,,,,,,False,False
831,CGCON-SIOCON-99826,OL000003,Sensor,0,Subsurface Mooring Platform Controller,SIO Controller,SIO,Subsurface Mooring Controller,13998 / 26,,,,,,False,False
832,CGINS-ADCPAM-00223,N00728,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,223,,20110721.0,,,,False,False
833,CGINS-ADCPAM-00537,,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,537,,,,CGSN Glider Instrument Pool,Woods Hole Oceanographic Institution,False,False
834,CGINS-ADCPAM-00539,,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,539,,,,CGSN Glider Instrument Pool,Woods Hole Oceanographic Institution,False,False
835,CGINS-ADCPAM-00541,,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,541,,,,,,False,False
836,CGINS-ADCPAM-00543,,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,543,,,,CGSN Glider Instrument Pool,Woods Hole Oceanographic Institution,False,False
837,CGINS-ADCPAM-00545,,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,545,,,,CGSN Glider Instrument Pool,Woods Hole Oceanographic Institution,False,False
838,CGINS-ADCPAM-00549,,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,549,,,,,,False,False
839,CGINS-ADCPAM-00550,,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,550,,,,CGSN Glider Instrument Pool,Woods Hole Oceanographic Institution,False,False
840,CGINS-ADCPAM-00552,,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,552,,,,CGSN Glider Instrument Pool,Woods Hole Oceanographic Institution,False,False
841,CGINS-ADCPAM-00553,,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,553,,,,,,False,False
842,CGINS-ADCPAM-00570,,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,570,,,,,,False,False
843,CGINS-ADCPAM-42443,N00310,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,642443,,20121206.0,,,,False,False
844,CGINS-ADCPAM-42931,N00300,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,642931,,20121002.0,,,,False,False
845,CGINS-ADCPAM-42932,N00305,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,642932,,20121002.0,,,,False,False
846,CGINS-ADCPAM-43105,N00315,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,643105,,20121206.0,,,,False,False
847,CGINS-ADCPAM-43106,N00015,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,643106,,20130125.0,,,,False,False
848,CGINS-ADCPAM-43111,N00728,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,643111,,20130125.0,,,,False,False
849,CGINS-ADCPAM-43473,N00320,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,643473,,20121228.0,,,,False,False
850,CGINS-ADCPAM-43474,N00325,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,643474,,20121228.0,,,,False,False
851,CGINS-ADCPAM-48292,N00335,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,648292,,20130806.0,,,,False,False
852,CGINS-ADCPAM-48875,N00031,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,648875,,20130412.0,,,,False,False
853,CGINS-ADCPAM-48877,N00117,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,648877,,20130701.0,186935.0,,,False,False
854,CGINS-ADCPAM-49015,N00146,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,649015,,20130701.0,,,,False,False
855,CGINS-ADCPAM-49016,N00141,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,649016,,20130701.0,,,,False,False
856,CGINS-ADCPAM-49696,N00151,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,649696,,20130806.0,,,,False,False
857,CGINS-ADCPAM-49697,N00330,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,649697,,20130806.0,,,,False,False
858,CGINS-ADCPAM-49982,N00043,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,649982,,20130806.0,,,,False,False
859,CGINS-ADCPAM-50864,N00345,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,650864,,20110628.0,,,,False,False
860,CGINS-ADCPAM-50865,N00340,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,650865,,20130826.0,,,,False,False
861,CGINS-ADCPAM-50867,,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,650867,,,,From Teledyne Webb Research's OOI glider instrument pool,,False,False
862,CGINS-ADCPAM-52696,N00350,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,652696,,20131011.0,,,,False,False
863,CGINS-ADCPAM-54584,N00156,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,654584,,20131223.0,,,,False,False
864,CGINS-ADCPAM-54585,N00161,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,654585,,20131223.0,,,,False,False
865,CGINS-ADCPAM-54587,N00136,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,654587,,20131223.0,,,,False,False
866,CGINS-ADCPAM-55980,,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,655980,,,,From Teledyne Webb Research's OOI glider instrument pool,,False,False
867,CGINS-ADCPAM-62598,N00131,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,62598,,20130301.0,,,,False,False
868,CGINS-ADCPAM-72777,,Sensor,1,ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,ADCP for Slocum Glider,Teledyne RDI,Explorer DVL 600 kHz,672777,,,,,,False,False
869,CGINS-ADCPAN-22076,,Sensor,1,ADCP for AUV: ADCPA series N,ADCP for AUV,Teledyne RDI,Explorer DVL 600 kHz,22076,,,,,,False,False
870,CGINS-ADCPAN-22077,,Sensor,1,ADCP for AUV: ADCPA series N,ADCP for AUV,Teledyne RDI,Explorer DVL 600 kHz,22077,,,,,,False,False
871,CGINS-ADCPSI-18919,A00221,Sensor,0,ADCP Velocity Profiler (long range): ADCPS Series I,ADCP SERIES I (WHLM75-1500),Teledyne RDI,WHLM75-1500,18919,,20130122.0,49395.25,,,False,False
873,CGINS-ADCPSJ-18978,A00223,Sensor,0,ADCP Velocity Profiler (long range): ADCPS Series J,ADCP SERIES J (WHLS75-1500),Teledyne RDI,WHLS75-1500,18978,,20130122.0,51941.25,,,False,False
874,CGINS-ADCPSJ-19061,A00222,Sensor,0,ADCP Velocity Profiler (long range): ADCPS Series J,ADCP SERIES J (WHLS75-1500),Teledyne RDI,WHLS75-1500,19061,,20130122.0,51941.25,,,False,False
877,CGINS-ADCPSJ-22649,A01243,Sensor,0,ADCP Velocity Profiler (long range): ADCPS Series J,ADCP SERIES J,Teledyne RDI,WHLS75-1500,22649,,20150127.0,55109.5,,,False,False
878,CGINS-ADCPSL-13992,N00506,Sensor,0,ADCP Velocity Profiler (long range): ADCPS Series L,ADCP,Teledyne RDI,WHLS75-1500-I,13992,,,,,,False,False
910,CGINS-ADCPTA-18222,A00055,Sensor,0,ADCP Velocity Profiler (short range): ADCPT Series A,ADCP SERIES M (WHS600-500),Teledyne RDI,WHS600-500,18222,,20120822.0,21577.5,,,False,False
911,CGINS-ADCPTA-19016,A00240,Sensor,0,ADCP Velocity Profiler (short range): ADCPT Series A,ADCP SERIES A (WHS600-500),Teledyne RDI,WHS600-500,19016,,20121219.0,21577.5,,,False,False
912,CGINS-ADCPTA-19024,A00241,Sensor,0,ADCP Velocity Profiler (short range): ADCPT Series A,ADCP SERIES A (WHS600-500),Teledyne RDI,WHS600-500,19024,,20121219.0,21577.5,,,False,False
913,CGINS-ADCPTA-22814,A01244,Sensor,0,ADCP Velocity Profiler (short range): ADCPT Series A,ADCP SERIES A,Teledyne RDI,WHS600-500,22814,,20150127.0,22896.0,,,False,False
914,CGINS-ADCPTA-22816,A01245,Sensor,0,ADCP Velocity Profiler (short range): ADCPT Series A,ADCP SERIES A,Teledyne RDI,WHS600-500,22816,,20150127.0,22896.0,,,False,False
915,CGINS-ADCPTB-22115,A01054,Sensor,0,ADCP Velocity Profiler (short range): ADCPT Series B,ADCP SERIES B (WHM300-500),Teledyne RDI,WHM300-500,22115,,20140909.0,23157.0,,,False,False
916,CGINS-ADCPTC-17122,A00058,Sensor,0,ADCP Velocity Profiler (short range): ADCPT Series C,ADCP SERIES C (WHS300-500),Teledyne RDI,WHS300-500,17122,,20120822.0,23895.0,,,False,False
917,CGINS-ADCPTC-19000,A00243,Sensor,0,ADCP Velocity Profiler (short range): ADCPT Series C,ADCP SERIES C (WHS300-500),Teledyne RDI,WHS300-500,19000,,20121219.0,23895.0,,,False,False
918,CGINS-ADCPTC-19002,A00244,Sensor,0,ADCP Velocity Profiler (short range): ADCPT Series C,ADCP SERIES C (WHS300-500),Teledyne RDI,WHS300-500,19002,,20121219.0,23895.0,,,False,False
919,CGINS-ADCPTC-22114,A01055,Sensor,0,ADCP Velocity Profiler (short range): ADCPT Series C,ADCP SERIES C (WHS300-00),Teledyne RDI,WHS300-500,22114,,20140909.0,24615.0,,,False,False
920,CGINS-ADCPTC-22717,A01246,Sensor,0,ADCP Velocity Profiler (short range): ADCPT Series C,ADCP SERIES C,Teledyne RDI,WHS300-500,22717,,20150127.0,25357.5,,,False,False
921,CGINS-ADCPTC-22808,A01247,Sensor,0,ADCP Velocity Profiler (short range): ADCPT Series C,ADCP SERIES C,Teledyne RDI,WHS300-500,22808,,20150127.0,25357.5,,,False,False
922,CGINS-ADCPTC-22809,A01248,Sensor,0,ADCP Velocity Profiler (short range): ADCPT Series C,ADCP SERIES C,Teledyne RDI,WHS300-500,22809,,20150127.0,25357.5,,,False,False
938,CGINS-ADCPTM-18225,A00056,Sensor,0,ADCP Velocity Profiler (short range): ADCPT Series M,ADCP SERIES A (WH600-500),Teledyne RDI,WHS600-500,18225,,20120822.0,24822.0,,,False,False
939,CGINS-ADCPTM-19023,A00245,Sensor,0,ADCP Velocity Profiler (short range): ADCPT Series M,ADCP SERIES M (WHS600-500),Teledyne RDI,WHS600-500,19023,,20121219.0,24882.0,,,False,False
940,CGINS-ADCPTM-21517,A01051,Sensor,0,ADCP Velocity Profiler (short range): ADCPT Series M,ADCP SERIES M (WHS600-500),Teledyne RDI,WHS600-500,21517,,20140506.0,25569.0,,,False,False
941,CGINS-ADCPTM-21522,A01052,Sensor,0,ADCP Velocity Profiler (short range): ADCPT Series M,ADCP SERIES M (WHS600-500),Teledyne RDI,WHS600-500,21522,,20140506.0,25569.0,,,False,False
942,CGINS-ADCPTM-21524,A01053,Sensor,0,ADCP Velocity Profiler (short range): ADCPT Series M,ADCP SERIES M (WHS600-500),Teledyne RDI,WHS600-500,21524,,20140506.0,25569.0,,,False,False
943,CGINS-CAMDSA-00109,N00682,Sensor,0,Underwater Digital Still Camera: CAMDS Series A,CAMDS,Kongsberg Underwater Technology Inc,Custom,0484-6102-0109,,,,,,False,False
944,CGINS-CAMDSA-00110,N00515,Sensor,0,Underwater Digital Still Camera: CAMDS Series A,CAMDS,Kongsberg Underwater Technology Inc,Custom,0484-6102-0110,,,,,,False,False
945,CGINS-CAMDSA-00111,N00679,Sensor,0,Underwater Digital Still Camera: CAMDS Series A,CAMDS,Kongsberg Underwater Technology Inc,Custom,0484-6102-0111,,,,,,False,False
946,CGINS-CAMDSA-00112,,Sensor,0,Underwater Digital Still Camera: CAMDS Series A,CAMDS,Kongsberg Underwater Technology Inc,Custom,0484-6102-0112,,20140803.0,,,,False,False
947,CGINS-CAMDSA-00113,,Sensor,0,Underwater Digital Still Camera: CAMDS Series A,CAMDS,Kongsberg Underwater Technology Inc,Custom,0484-6102-0113,,,,,,False,False
948,CGINS-CAMDSA-00119,,Sensor,0,Underwater Digital Still Camera: CAMDS Series A,CAMDS,Kongsberg Underwater Technology Inc,Custom,0484-6102-0119,,20160603.0,,,,False,False
949,CGINS-CAMDSA-00120,,Sensor,0,Underwater Digital Still Camera: CAMDS Series A,CAMDS,Kongsberg Underwater Technology Inc,Custom,0484-6102-0120,,20160603.0,,,,False,False
950,CGINS-CAMDSA-00121,,Sensor,0,Underwater Digital Still Camera: CAMDS Series A,CAMDS,Kongsberg Underwater Technology Inc,Custom,0484-6102-0121,,20160603.0,,,,False,False
951,CGINS-CAMDSA-00122,,Sensor,0,Underwater Digital Still Camera: CAMDS Series A,CAMDS,Kongsberg Underwater Technology Inc,Custom,0484-6102-0122,,20160603.0,,,,False,False
952,CGINS-CAMDSB-00100,N00694,Sensor,0,Underwater Digital Still Camera: CAMDS Series B,CAMDS,Kongsberg Underwater Technology Inc,Custom,0484-6002-0100,,,,,,False,False
953,CGINS-CTDAVN-00103,,Sensor,1,CTD for AUV: CTD Series N,CTDGV for Hydroid AUV,Sea-Bird Electronics,SBE AUV Payload CTD,103,,,,CGSN AUV Instrument Pool,,False,False
954,CGINS-CTDAVN-00104,,Sensor,1,CTD for AUV: CTD Series N,CTDGV for Hydroid AUV,Sea-Bird Electronics,SBE AUV Payload CTD,104,,,,CGSN AUV Instrument Pool,,False,False
955,CGINS-CTDAVN-00424,,Sensor,1,CTD for AUV: CTD Series N,CTDGV for Hydroid AUV,Sea-Bird Electronics,SBE AUV Payload CTD,424,,,,CGSN AUV Instrument Pool,,False,False
956,CGINS-CTDAVN-00425,,Sensor,1,CTD for AUV: CTD Series N,CTDGV for Hydroid AUV,Sea-Bird Electronics,SBE AUV Payload CTD,425,,,,CGSN AUV Instrument Pool,,False,False
959,CGINS-CTDBPC-07240,A00126,Sensor,0,CTD Pumped: CTDBP Series C,CTDBP SERIES C (C-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-7240,,20121227.0,11150.0,,,False,False
960,CGINS-CTDBPC-07241,A00127,Sensor,0,CTD Pumped: CTDBP Series C,CTDBP SERIES C (C-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-7241,2.5,20121227.0,11150.0,,,False,False
961,CGINS-CTDBPC-07242,A00128,Sensor,0,CTD Pumped: CTDBP Series C,CTDBP SERIES C (C-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-7242,,20121227.0,11150.0,,,False,False
962,CGINS-CTDBPC-07243,A00129,Sensor,0,CTD Pumped: CTDBP Series C,CTDBP SERIES C (C-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-7243,,20121227.0,11150.0,,,False,False
965,CGINS-CTDBPC-50006,A01035,Sensor,0,CTD Pumped: CTDBP Series C,CTDBP SERIES C (C-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-50006,,20140224.0,11500.0,,,False,False
966,CGINS-CTDBPC-50007,A01040,Sensor,0,CTD Pumped: CTDBP Series C,CTDBP SERIES C (C-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-50007,,20140224.0,11500.0,,,False,False
967,CGINS-CTDBPC-50009,A01037,Sensor,0,CTD Pumped: CTDBP Series C,CTDBP SERIES C (C-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-50009,,20140224.0,11500.0,,,False,False
968,CGINS-CTDBPC-50010,A01031,Sensor,0,CTD Pumped: CTDBP Series C,CTDBP SERIES C (C-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-50010,,20140224.0,11500.0,,,False,False
969,CGINS-CTDBPC-50011,A01032,Sensor,0,CTD Pumped: CTDBP Series C,CTDBP SERIES C (C-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-50011,,20140224.0,11500.0,,,False,False
970,CGINS-CTDBPC-50012,A01033,Sensor,0,CTD Pumped: CTDBP Series C,CTDBP SERIES C (C-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-50012,,20140224.0,11500.0,OSU claims S/N is 16-50015,,False,False
971,CGINS-CTDBPC-50013,A01039,Sensor,0,CTD Pumped: CTDBP Series C,CTDBP SERIES C (C-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-50013,,20140224.0,11500.0,,,False,False
972,CGINS-CTDBPC-50014,N00420,Sensor,0,CTD Pumped: CTDBP Series C,CTDBP SERIES C (C-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-50014,,20140224.0,11500.0,,,False,False
973,CGINS-CTDBPC-50015,A01034,Sensor,0,CTD Pumped: CTDBP Series C,CTDBP SERIES C (C-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-50015,,20140224.0,11500.0,,,False,False
974,CGINS-CTDBPC-50055,A01090,Sensor,0,CTD Pumped: CTDBP Series C,CTDBP SERIES C (C-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-50055,,20140925.0,11835.0,,,False,False
976,CGINS-CTDBPC-50057,A01146,Sensor,0,CTD Pumped: CTDBP Series C,CTDBP SERIES C (C-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-50057,,20141027.0,11835.0,,,False,False
979,CGINS-CTDBPC-50150,A01755,Sensor,0,CTD Pumped: CTDBP Series C,CTDBP SERIES C,Sea-Bird Electronics,SBE 16plus V2,16-50150,,20150831.0,13535.0,,,False,False
980,CGINS-CTDBPC-50151,A01756,Sensor,0,CTD Pumped: CTDBP Series C,CTDBP SERIES C,Sea-Bird Electronics,SBE 16plus V2,16-50151,,20150831.0,13535.0,,,False,False
981,CGINS-CTDBPC-50152,A01757,Sensor,0,CTD Pumped: CTDBP Series C,CTDBP SERIES C,Sea-Bird Electronics,SBE 16plus V2,16-50152,,20150831.0,13535.0,,,False,False
982,CGINS-CTDBPC-50153,A01758,Sensor,0,CTD Pumped: CTDBP Series C,CTDBP SERIES C,Sea-Bird Electronics,SBE 16plus V2,16-50153,,20150831.0,13535.0,,,False,False
983,CGINS-CTDBPC-50154,A01759,Sensor,0,CTD Pumped: CTDBP Series C,CTDBP SERIES C,Sea-Bird Electronics,SBE 16plus V2,16-50154,,20150831.0,13535.0,,,False,False
984,CGINS-CTDBPC-50187,,Sensor,0,CTD Pumped: CTDBP Series C,CTDBP SERIES C (C-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-50187,,,,,,False,False
985,CGINS-CTDBPC-50188,,Sensor,0,CTD Pumped: CTDBP Series C,CTDBP SERIES C (C-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-50188,,,,,,False,False
992,CGINS-CTDBPE-50005,A01038,Sensor,0,CTD Pumped: CTDBP Series E,CTDBP SERIES E (C-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-50005,,20140224.0,11500.0,,,False,False
994,CGINS-CTDBPE-50068,A01147,Sensor,0,CTD Pumped: CTDBP Series E,CTDBP SERIES E (E-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-50068,,20141027.0,11835.0,,,False,False
996,CGINS-CTDBPE-50149,A01760,Sensor,0,CTD Pumped: CTDBP Series E,CTDBP SERIES E,Sea-Bird Electronics,SBE 16plus V2,16-50149,,20150831.0,13535.0,,,False,False
1005,CGINS-CTDBPN-03230,A00157,Sensor,0,CTD Pumped: CTDBP Series N,CTDBP SERIES N (N-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-3230,,20121203.0,17500.0,OSU reports S/N 16P7116-7230,,False,False
1006,CGINS-CTDBPN-07230,N00696,Sensor,0,CTD Pumped: CTDBP Series N,CTDBP SERIES N (N-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-7230,,,17500.0,,,False,False
1007,CGINS-CTDBPO-03231,A00156,Sensor,0,CTD Pumped: CTDBP Series O,CTDBP SERIES O (O-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-3231,,20121203.0,18250.0,OSU reports S/N 16P7116-7231,,False,False
1008,CGINS-CTDBPO-07249,A00163,Sensor,0,CTD Pumped: CTDBP Series O,CTDBP SERIES O (O-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-7249,,20130115.0,18250.0,,,False,False
1009,CGINS-CTDBPO-50117,A01674,Sensor,0,CTD Pumped: CTDBP Series O,CTDBP SERIES O (O-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-50117,,20150514.0,19885.0,,,False,False
1031,CGINS-CTDGVM-00073,,Sensor,1,CTD for Glider: CTDGV Series M,CTDGV for Slocum Glider,Sea-Bird Electronics,SBE Slocum Glider Payload CTD (GP-CTD),73,,,,CGSN Glider Instrument Pool,,False,False
1032,CGINS-CTDGVM-00104,N00620,Sensor,1,CTD for Glider: CTDGV Series M,CTDGV for Slocum Glider,Sea-Bird Electronics,SBE Slocum Glider Payload CTD (GP-CTD),104,,20120525.0,,CGSN Glider Instrument Pool,,False,False
1033,CGINS-CTDGVM-09014,N00302,Sensor,1,CTD for Glider: CTDGV Series M,CTDGV for Slocum Glider,Sea-Bird Electronics,SBE Slocum Glider Payload CTD (GP-CTD),9014,,20121002.0,,CGSN Glider Instrument Pool,,False,False
1034,CGINS-CTDGVM-09015,N00307,Sensor,1,CTD for Glider: CTDGV Series M,CTDGV for Slocum Glider,Sea-Bird Electronics,SBE Slocum Glider Payload CTD (GP-CTD),9015,,20121002.0,,CGSN Glider Instrument Pool,,False,False
1035,CGINS-CTDGVM-09023,N00312,Sensor,1,CTD for Glider: CTDGV Series M,CTDGV for Slocum Glider,Sea-Bird Electronics,SBE Slocum Glider Payload CTD (GP-CTD),9023,,20121206.0,,CGSN Glider Instrument Pool,,False,False
1036,CGINS-CTDGVM-09024,N00317,Sensor,1,CTD for Glider: CTDGV Series M,CTDGV for Slocum Glider,Sea-Bird Electronics,SBE Slocum Glider Payload CTD (GP-CTD),9024,,20121206.0,,CGSN Glider Instrument Pool,,False,False
1037,CGINS-CTDGVM-09026,N00322,Sensor,1,CTD for Glider: CTDGV Series M,CTDGV for Slocum Glider,Sea-Bird Electronics,SBE Slocum Glider Payload CTD (GP-CTD),9026,,20121228.0,,CGSN Glider Instrument Pool,,False,False
1038,CGINS-CTDGVM-09027,N00327,Sensor,1,CTD for Glider: CTDGV Series M,CTDGV for Slocum Glider,Sea-Bird Electronics,SBE Slocum Glider Payload CTD (GP-CTD),9027,,20121228.0,,CGSN Glider Instrument Pool,,False,False
1039,CGINS-CTDGVM-09029,N00730,Sensor,1,CTD for Glider: CTDGV Series M,CTDGV for Slocum Glider,Sea-Bird Electronics,SBE Slocum Glider Payload CTD (GP-CTD),9029,,20130125.0,,CGSN Glider Instrument Pool,,False,False
1040,CGINS-CTDGVM-09030,N00017,Sensor,1,CTD for Glider: CTDGV Series M,CTDGV for Slocum Glider,Sea-Bird Electronics,SBE Slocum Glider Payload CTD (GP-CTD),9030,,20130125.0,,CGSN Glider Instrument Pool,,False,False
1041,CGINS-CTDGVM-09036,N00133,Sensor,1,CTD for Glider: CTDGV Series M,CTDGV for Slocum Glider,Sea-Bird Electronics,SBE Slocum Glider Payload CTD (GP-CTD),9036,,20130301.0,,CGSN Glider Instrument Pool,,False,False
1042,CGINS-CTDGVM-09037,N00033,Sensor,1,CTD for Glider: CTDGV Series M,CTDGV for Slocum Glider,Sea-Bird Electronics,SBE Slocum Glider Payload CTD (GP-CTD),9037,,20130412.0,,CGSN Glider Instrument Pool,,False,False
1043,CGINS-CTDGVM-09055,N00153,Sensor,1,CTD for Glider: CTDGV Series M,CTDGV for Slocum Glider,Sea-Bird Electronics,SBE Slocum Glider Payload CTD (GP-CTD),9055,,20130806.0,,CGSN Glider Instrument Pool,,False,False
1044,CGINS-CTDGVM-09056,N00332,Sensor,1,CTD for Glider: CTDGV Series M,CTDGV for Slocum Glider,Sea-Bird Electronics,SBE Slocum Glider Payload CTD (GP-CTD),9056,,20130806.0,,CGSN Glider Instrument Pool,,False,False
1045,CGINS-CTDGVM-09057,N00045,Sensor,1,CTD for Glider: CTDGV Series M,CTDGV for Slocum Glider,Sea-Bird Electronics,SBE Slocum Glider Payload CTD (GP-CTD),9057,,20130806.0,,CGSN Glider Instrument Pool,,False,False
1046,CGINS-CTDGVM-09058,N00623,Sensor,1,CTD for Glider: CTDGV Series M,CTDGV for Slocum Glider,Sea-Bird Electronics,SBE Slocum Glider Payload CTD (GP-CTD),9058,,20130530.0,,CGSN Glider Instrument Pool,,False,False
