serial,name,value,notes
16-50112,CC_a0,1.25250710e-003,
16-50112,CC_a1,2.77771965e-004,
16-50112,CC_a2,-1.74399141e-006,
16-50112,CC_a3,2.04535034e-007,
16-50112,CC_cpcor,-9.57000000e-008,
16-50112,CC_ctcor,3.2500e-006,
16-50112,CC_g,-9.73375830e-001,
16-50112,CC_h,1.47274632e-001,
16-50112,CC_i,-1.21306696e-004,
16-50112,CC_j,3.03613697e-005,
16-50112,CC_pa0,-5.98042166e-002,
16-50112,CC_pa1,1.71727487e-003,
16-50112,CC_pa2,8.36951873e-011,
16-50112,CC_ptca0,5.24732450e+005,
16-50112,CC_ptca1,-6.67985793e+000,
16-50112,CC_ptca2,2.27504743e-001,
16-50112,CC_ptcb0,2.48405000e+001,
16-50112,CC_ptcb1,1.00000000e-004,
16-50112,CC_ptcb2,0.00000000e+000,
16-50112,CC_ptempa0,1.69692663e+002,
16-50112,CC_ptempa1,-7.07241767e+001,
16-50112,CC_ptempa2,-1.08705977e+000,
16-50112,CC_offset,0,
16-50112,CC_frequency_offset,-5.118603e-001,copied from DOFSTA/ATOSU-58694-00007__20150414.csv SN 43-3136
16-50112,CC_oxygen_signal_slope,5.327092e-001,copied from DOFSTA/ATOSU-58694-00007__20150414.csv SN 43-3136
16-50112,CC_residual_temperature_correction_factor_a,-2.452219e-003,copied from DOFSTA/ATOSU-58694-00007__20150414.csv SN 43-3136
16-50112,CC_residual_temperature_correction_factor_b,1.202848e-004,copied from DOFSTA/ATOSU-58694-00007__20150414.csv SN 43-3136
16-50112,CC_residual_temperature_correction_factor_c,-2.461913e-006,copied from DOFSTA/ATOSU-58694-00007__20150414.csv SN 43-3136
16-50112,CC_residual_temperature_correction_factor_e,3.600000e-002,copied from DOFSTA/ATOSU-58694-00007__20150414.csv SN 43-3136
16-50112,CC_voltage_offset,-5.118603e-001,copied from DOFSTA/ATOSU-58694-00007__20150414.csv SN 43-3136
