serial,uid
226,ATAPL-66645-00001
463,ATAPL-66645-00002
464,ATAPL-66645-00003
507,ATAPL-66645-00004
434,ATAPL-66645-00006
557,ATAPL-66645-00007
434,ATOSU-66645-00005
