OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
A00233,CP04OSPM-00001,,Mooring,CP04OSPM-00001,2/1/2014,
A00296,,ISU SIM #,,89-88-169-312-003-482-589,,
,,STC Endcap S/N,,SWE0004-G,,
,,RTE S/N,,N/A,,
,,MOPAK S/N,,6223-4220-11357,,
A00745,,Stretch Hose S/N,,S/N023-50FEET,,
A00277,,AcousticRelease S/N,,46370,,
A00524,,AcousticRelease S/N (line Pack),,46253,,
A00848,,CWFP,Profiler,ML13103-03,,
,,ADCP S/N,,N/A,,
