serial,name,value,notes
16-6914,CC_a0,1.24687332e-003
16-6914,CC_a1,2.75586824e-004
16-6914,CC_a2,-1.14594762e-006
16-6914,CC_a3,1.83293945e-007
16-6914,CC_cpcor,-9.57000000e-008
16-6914,CC_ctcor,3.2500e-006
16-6914,CC_g,-9.82818091e-001
16-6914,CC_h,1.56630745e-001
16-6914,CC_i,-3.98901868e-004
16-6914,CC_j,5.52456524e-005
16-6914,CC_pa0,-5.42532841e-002
16-6914,CC_pa1,1.54528503e-003
16-6914,CC_pa2,7.55646987e-012
16-6914,CC_ptca0,5.24894482e+005
16-6914,CC_ptca1,7.06949733e-001
16-6914,CC_ptca2,-1.03900272e-001
16-6914,CC_ptcb0,2.50128750e+001
16-6914,CC_ptcb1,-2.25000000e-004
16-6914,CC_ptcb2,0.00000000e+000
16-6914,CC_ptempa0,-5.75134104e+001
16-6914,CC_ptempa1,5.54375354e+001
16-6914,CC_ptempa2,-6.58266522e-001
16-6914,CC_offset,0
