serial,name,value,notes
37-13608,CC_a0,-0.0001794691,
37-13608,CC_a1,0.0003229079,
37-13608,CC_a2,-5.656879e-06,
37-13608,CC_a3,2.334248e-07,
37-13608,CC_cpcor,-9.57e-08,
37-13608,CC_ctcor,3.25e-06,
37-13608,CC_g,-0.9722295,
37-13608,CC_h,0.1424946,
37-13608,CC_i,-9.717756e-05,
37-13608,CC_j,2.728162e-05,
37-13608,CC_p_range,1450,
37-13608,CC_pa0,0.9655959,
37-13608,CC_pa1,0.004542748,
37-13608,CC_pa2,-3.848522e-11,
37-13608,CC_ptca0,524132.9,
37-13608,CC_ptca1,6.565917,
37-13608,CC_ptca2,0.1037036,
37-13608,CC_ptcb0,25.33263,
37-13608,CC_ptcb1,0.000125,
37-13608,CC_ptcb2,0,
37-13608,CC_ptempa0,152.6773,
37-13608,CC_ptempa1,-0.05840105,
37-13608,CC_ptempa2,-2.145955e-06,
37-13608,CC_wbotc,4.4651e-07,
