serial,name,value,notes
37-12401,CC_a0,-0.0001386966,
37-12401,CC_a1,0.0003127869,
37-12401,CC_a2,-4.870957e-06,
37-12401,CC_a3,2.122905e-07,
37-12401,CC_cpcor,-9.57e-08,
37-12401,CC_ctcor,3.25e-06,
37-12401,CC_g,-0.9772231,
37-12401,CC_h,0.1454512,
37-12401,CC_i,-9.860537e-05,
37-12401,CC_j,2.923207e-05,
37-12401,CC_p_range,1450,
37-12401,CC_pa0,0.5368346,
37-12401,CC_pa1,0.004629367,
37-12401,CC_pa2,-6.293797e-12,
37-12401,CC_ptca0,524968.3,
37-12401,CC_ptca1,-0.2193621,
37-12401,CC_ptca2,0.2649977,
37-12401,CC_ptcb0,25.32825,
37-12401,CC_ptcb1,0.00045,
37-12401,CC_ptcb2,0,
37-12401,CC_ptempa0,-70.63937,
37-12401,CC_ptempa1,0.05087403,
37-12401,CC_ptempa2,-4.631959e-07,
37-12401,CC_wbotc,-3.2143e-08,
