serial,name,value,notes
37-11596,CC_a0,-1.24E-04,
37-11596,CC_a1,3.10E-04,
37-11596,CC_a2,-4.67E-06,
37-11596,CC_a3,2.07E-07,
37-11596,CC_cpcor,-9.57E-08,
37-11596,CC_ctcor,3.25E-06,
37-11596,CC_g,-9.77E-01,
37-11596,CC_h,1.64E-01,
37-11596,CC_i,-5.45E-04,
37-11596,CC_j,6.95E-05,
37-11596,CC_p_range,1450,
37-11596,CC_pa0,6.25E-02,
37-11596,CC_pa1,4.50E-03,
37-11596,CC_pa2,-1.85E-11,
37-11596,CC_ptca0,5.25E+05,
37-11596,CC_ptca1,-5.15E-01,
37-11596,CC_ptca2,3.43E-02,
37-11596,CC_ptcb0,2.53E+01,
37-11596,CC_ptcb1,-1.00E-03,
37-11596,CC_ptcb2,0.00E+00,
37-11596,CC_ptempa0,-6.80E+01,
37-11596,CC_ptempa1,5.14E-02,
37-11596,CC_ptempa2,-4.46E-07,
37-11596,CC_wbotc,3.07E-07,
