serial,name,value,notes
37-11644,CC_a0,-1.312436e-004,
37-11644,CC_a1,3.086164e-004,
37-11644,CC_a2,-4.506335e-006,
37-11644,CC_a3,2.046799e-007,
37-11644,CC_cpcor,-9.57E-08,
37-11644,CC_ctcor,3.25E-06,
37-11644,CC_g,-9.958344e-001,
37-11644,CC_h,1.658997e-001,
37-11644,CC_i,-5.942879e-004,
37-11644,CC_j,7.275547e-005,
37-11644,CC_p_range,1450,
37-11644,CC_pa0,3.955578e-001,
37-11644,CC_pa1,4.466066e-003,
37-11644,CC_pa2,-2.013999e-011,
37-11644,CC_ptca0,5.247032e+005,
37-11644,CC_ptca1,2.147466e+000,
37-11644,CC_ptca2,5.074709e-002,
37-11644,CC_ptcb0,2.521200e+001,
37-11644,CC_ptcb1,-6.000000e-004,
37-11644,CC_ptcb2,0.00E+00,
37-11644,CC_ptempa0,-7.053685e+001,
37-11644,CC_ptempa1,5.050706e-002,
37-11644,CC_ptempa2,-4.321887e-007,
37-11644,CC_wbotc,8.8166e-007,
