serial,name,value,notes
37-11595,CC_a0,-1.06E-04,
37-11595,CC_a1,3.06E-04,
37-11595,CC_a2,-4.38E-06,
37-11595,CC_a3,2.00E-07,
37-11595,CC_cpcor,-9.57E-08,
37-11595,CC_ctcor,3.25E-06,
37-11595,CC_g,-9.88E-01,
37-11595,CC_h,1.70E-01,
37-11595,CC_i,-5.00E-04,
37-11595,CC_j,6.68E-05,
37-11595,CC_p_range,1450,
37-11595,CC_pa0,3.58E-01,
37-11595,CC_pa1,4.51E-03,
37-11595,CC_pa2,-1.60E-11,
37-11595,CC_ptca0,5.25E+05,
37-11595,CC_ptca1,2.90E+00,
37-11595,CC_ptca2,1.73E-02,
37-11595,CC_ptcb0,2.53E+01,
37-11595,CC_ptcb1,2.85E-03,
37-11595,CC_ptcb2,0.00E+00,
37-11595,CC_ptempa0,-6.89E+01,
37-11595,CC_ptempa1,5.18E-02,
37-11595,CC_ptempa2,-5.70E-07,
37-11595,CC_wbotc,2.07E-07,
