serial,name,value,notes
37-13421,CC_a0,-1.38E-04,
37-13421,CC_a1,3.06E-04,
37-13421,CC_a2,-4.10E-06,
37-13421,CC_a3,1.94E-07,
37-13421,CC_cpcor,-9.57E-08,
37-13421,CC_ctcor,3.25E-06,
37-13421,CC_g,-9.83E-01,
37-13421,CC_h,1.31E-01,
37-13421,CC_i,-8.74E-05,
37-13421,CC_j,2.37E-05,
37-13421,CC_p_range,1450,
37-13421,CC_pa0,1.57E+00,
37-13421,CC_pa1,4.59E-03,
37-13421,CC_pa2,-2.58E-11,
37-13421,CC_ptca0,5.25E+05,
37-13421,CC_ptca1,1.18E+01,
37-13421,CC_ptca2,1.46E-01,
37-13421,CC_ptcb0,2.50E+01,
37-13421,CC_ptcb1,7.50E-05,
37-13421,CC_ptcb2,0.00E+00,
37-13421,CC_ptempa0,1.46E+02,
37-13421,CC_ptempa1,-6.54E-02,
37-13421,CC_ptempa2,3.39E-07,
37-13421,CC_wbotc,-6.09E-08,
