serial,name,value,notes
37-12414,CC_a0,-0.0001429777,source_file 3305-00101-00419-A_SN_37-12414_QCT_Results_CTDMO-G.txt
37-12414,CC_a1,0.0003134026,
37-12414,CC_a2,-4.864053e-06,
37-12414,CC_a3,2.123289e-07,
37-12414,CC_cpcor,-9.57e-08,
37-12414,CC_ctcor,3.25e-06,
37-12414,CC_g,-0.9888111,
37-12414,CC_h,0.1527932,
37-12414,CC_i,-0.000180601,
37-12414,CC_j,3.78093e-05,
37-12414,CC_p_range,1450,
37-12414,CC_pa0,0.2085614,
37-12414,CC_pa1,4.640065e-03,
37-12414,CC_pa2,-1.414333e-11,
37-12414,CC_ptca0,524725,
37-12414,CC_ptca1,-0.01986583,
37-12414,CC_ptca2,0.09385571,
37-12414,CC_ptcb0,25.40125,
37-12414,CC_ptcb1,0.00065,
37-12414,CC_ptcb2,0,
37-12414,CC_ptempa0,-68.41172,
37-12414,CC_ptempa1,0.05252304,
37-12414,CC_ptempa2,-7.335154e-07,
37-12414,CC_wbotc,5.564723e-07,
