OOIBARCODE,Manufacturer,Manufacturer's Serial No./Other Identifier,Tag Date,Organization,Tag
A00104,SEA-BIRD ELECTRONICS,37-10215,20121212,WHOI,115167
A00105,SEA-BIRD ELECTRONICS,37-10216,20121212,WHOI,115168
A00106,SEA-BIRD ELECTRONICS,37-10217,20121212,WHOI,115169
A00107,SEA-BIRD ELECTRONICS,37-10218,20121212,WHOI,115170
A00108,SEA-BIRD ELECTRONICS,37-10219,20121212,WHOI,115171
A00109,SEA-BIRD ELECTRONICS,37-10220,20121212,WHOI,115172
A00110,SEA-BIRD ELECTRONICS,37-10221,20121212,WHOI,115173
A00111,SEA-BIRD ELECTRONICS,37-10222,20121212,WHOI,115174
A00112,SEA-BIRD ELECTRONICS,37-10223,20121212,WHOI,115175
A00113,SEA-BIRD ELECTRONICS,37-10224,20121212,WHOI,115176
A00114,SEA-BIRD ELECTRONICS,37-10225,20121212,WHOI,115177
A00115,NORTEK,AQD 8532,20121214,WHOI,115179
A00116,NORTEK,AQD 8544,20121214,WHOI,115180
A00117,NORTEK,AQD 8550,20121204,WHOI,115181
A00118,Sunburst Sensors,P0071,20121226,WHOI,115197
A00119,Sunburst Sensors,P0070,20121226,WHOI,115198
A00120,SEA-BIRD ELECTRONICS,37-11000,20121226,WHOI,115199
A00121,SEA-BIRD ELECTRONICS,37-11001,20150604,WHOI,115200
A00122,SATLANTIC,253,20121227,WHOI,115201
A00123,SATLANTIC,254,20121227,WHOI,115202
A00124,SATLANTIC,255,20121227,WHOI,115203
A00125,SATLANTIC,256,20121227,WHOI,115204
A00126,SEA-BIRD ELECTRONICS,16P71879-7240,20121227,WHOI,115206
A00127,SEA-BIRD ELECTRONICS,16P71879-7241,20121227,WHOI,115207
A00128,SEA-BIRD ELECTRONICS,16P71879-7242,20121227,WHOI,115208
A00129,SEA-BIRD ELECTRONICS,16P71879-7243,20121227,WHOI,115209
A00130,Wet Labs,ACS-127,20121228,WHOI,115216
A00131,Wet Labs,ACS-128,20121228,WHOI,115217
A00132,SEA-BIRD ELECTRONICS,16P71879-7239,20130108,WHOI,115220
A00133,SEA-BIRD ELECTRONICS,37-10226,20121214,WHOI,115222
A00134,SEA-BIRD ELECTRONICS,37-10227,20121214,WHOI,115223
A00135,SEA-BIRD ELECTRONICS,37-10228,20121214,WHOI,115224
A00136,SEA-BIRD ELECTRONICS,37-10229,20121214,WHOI,115225
A00137,SEA-BIRD ELECTRONICS,37-10252,20121214,WHOI,115226
A00138,SEA-BIRD ELECTRONICS,37-10253,20121214,WHOI,115227
A00139,SEA-BIRD ELECTRONICS,37-10254,20121214,WHOI,115228
A00140,SEA-BIRD ELECTRONICS,37-10255,20121214,WHOI,115229
A00141,SEA-BIRD ELECTRONICS,37-10256,20121214,WHOI,115230
A00142,SEA-BIRD ELECTRONICS,37-10257,20121214,WHOI,115231
A00143,SEA-BIRD ELECTRONICS,37-10258,20121214,WHOI,115232
A00144,SEA-BIRD ELECTRONICS,37-10259,20121214,WHOI,115233
A00145,SEA-BIRD ELECTRONICS,37-10260,20121214,WHOI,115234
A00146,SEA-BIRD ELECTRONICS,37-10261,20121214,WHOI,115235
A00147,SEA-BIRD ELECTRONICS,37-10262,20121214,WHOI,115236
A00148,SEA-BIRD ELECTRONICS,37-10263,20121214,WHOI,115237
A00149,SEA-BIRD ELECTRONICS,37-10264,20121214,WHOI,115238
A00150,SEA-BIRD ELECTRONICS,37-10265,20131214,WHOI,115239
A00151,SEA-BIRD ELECTRONICS,37-10266,20121214,WHOI,115240
A00152,SEA-BIRD ELECTRONICS,37-10267,20121214,WHOI,115241
A00153,Wet Labs,1004,20121107,WHOI,115244
A00154,Wet Labs,1005,20121107,WHOI,115245
A00155,Wet Labs,1003,20121107,WHOI,115246
A00156,SEA-BIRD ELECTRONICS,16P71176-3231,20121203,WHOI,115253
A00157,SEA-BIRD ELECTRONICS,1697116-3230,20121203,WHOI,115254
A00158,TELEDYNE WEBB RESEARCH,326,20121228,WHOI,115255
A00159,TELEDYNE WEBB RESEARCH,327,20121228,WHOI,115256
A00160,Sunburst Sensors,P0079,20130115,WHOI,115257
A00161,Sunburst Sensors,P0080,20130115,WHOI,115258
A00162,Sunburst Sensors,P0081,20130115,WHOI,115259
A00163,SEA-BIRD ELECTRONICS,16P71879-7249,20130115,WHOI,115269
A00164,SEA-BIRD ELECTRONICS,16P71879-7248,20130115,WHOI,115270
A00165,SEA-BIRD ELECTRONICS,26P71826-1352,20130124,WHOI,115275
A00166,Aanderaa Instruments,130,20130124,WHOI,115276
A00167,Aanderaa Instruments,131,20130124,WHOI,115277
A00168,Aanderaa Instruments,132,20130124,WHOI,115278
A00169,Aanderaa Instruments,127,20130124,WHOI,115280
A00170,Aanderaa Instruments,128,20130124,WHOI,115281
A00171,Aanderaa Instruments,133,20130124,WHOI,115282
A00172,Aanderaa Instruments,134,20130124,WHOI,115283
A00173,Aanderaa Instruments,135,20130124,WHOI,115284
A00174,Aanderaa Instruments,136,20130124,WHOI,115285
A00175,Aanderaa Instruments,137,20130124,WHOI,115286
A00176,Aanderaa Instruments,126,20130128,WHOI,115287
A00177,Aanderaa Instruments,129,20130128,WHOI,115288
A00178,Wet Labs,ACS-129,20130129,WHOI,115289
A00179,Wet Labs,ACS-130,20150604,WHOI,115290
A00180,TELEDYNE WEBB RESEARCH,335,20130125,WHOI,
A00181,TELEDYNE WEBB RESEARCH,336,20130125,WHOI,115292
A00182,TELEDYNE RDI,18976,20130125,WHOI,115293
A00183,SEA-BIRD ELECTRONICS,37-11116,20150604,WHOI,115294
A00184,STAR ENGINEERING,HRH260,20121226,WHOI,115296
A00185,STAR ENGINEERING,BPR237,20150604,WHOI,115297
A00186,STAR ENGINEERING,PRC231,20121226,WHOI,115298
A00187,STAR ENGINEERING,SWND229,20121226,WHOI,115299
A00188,STAR ENGINEERING,SWR242,20121226,WHOI,115300
A00189,STAR ENGINEERING,LWR240,20121226,WHOI,115301
A00190,STAR ENGINEERING,37-10137,20130131,WHOI,
A00191,STAR ENGINEERING,HRH261,20121226,WHOI,115303
A00192,STAR ENGINEERING,BPR238,20150604,WHOI,115304
A00193,STAR ENGINEERING,PRC233,20121226,WHOI,115305
A00194,STAR ENGINEERING,SWND230,20150604,WHOI,115306
A00195,STAR ENGINEERING,SWR243,20121226,WHOI,115307
A00196,STAR ENGINEERING,LWR241,20150604,WHOI,115308
A00197,STAR ENGINEERING,37-10138,20121226,WHOI,115309
A00198,STAR ENGINEERING,HRH262,20121231,WHOI,115310
A00199,STAR ENGINEERING,BPR239,20150604,WHOI,115311
A00200,STAR ENGINEERING,PRC232,20121231,WHOI,115312
A00201,STAR ENGINEERING,SWND231,20121231,WHOI,115313
A00202,STAR ENGINEERING,SWR244,20121231,WHOI,115314
A00203,STAR ENGINEERING,LWR242,20121231,WHOI,115315
A00204,STAR ENGINEERING,37-10139,20130131,WHOI,
A00205,TELEDYNE RDI,19221,20130131,WHOI,115317
A00206,Wet Labs,ACS-124,20121203,WHOI,115318
A00207,STAR ENGINEERING,37SM61212-8028,20101122,WHOI,115319
A00208,EdgeTech,45266,20130204,WHOI,115322
A00209,EdgeTech,45267,20130204,WHOI,115323
A00210,EdgeTech,45268,20130204,WHOI,115324
A00211,EdgeTech,45269,20130204,WHOI,115325
A00212,EdgeTech,45270,20130204,WHOI,115326
A00213,EdgeTech,45271,20130204,WHOI,115327
A00214,EdgeTech,45272,20130204,WHOI,115328
A00215,EdgeTech,45273,20130204,WHOI,115329
A00216,EdgeTech,45274,20130204,WHOI,115330
A00217,EdgeTech,45275,20130204,WHOI,115331
A00218,Wet Labs,995,20121107,WHOI,115136
A00219,Wet Labs,996,20121107,WHOI,115137
A00220,PRO-OCEANUS,33-154-50A,20130207,WHOI,115332
A00221,TELEDYNE RDI,18919,20130122,WHOI,115334
A00222,TELEDYNE RDI,19061,20130122,WHOI,115335
A00223,TELEDYNE RDI,18978,20130122,WHOI,115336
A00224,WHOI,ECR1301-00881,20121114,WHOI,115340
A00225,WHOI,CE09OSPM-00001,20130218,WHOI,115341
A00226,WHOI,CE06ISSM-00001,20130218,WHOI,115342
A00227,WHOI,CE01ISSM-00001,20130218,WHOI,115343
A00228,WHOI,CP01CNSM-00001,20130218,WHOI,115344
A00229,WHOI,CP02PMUO-00002,20130218,WHOI,115345
A00230,WHOI,CP02PMUI-00001,20130218,WHOI,115346
A00231,WHOI,CP02PMCO-00001,20130218,WHOI,115347
A00232,WHOI,CP02PMCI-00001,20130218,WHOI,115348
A00233,WHOI,CP04OSPM-00001,20130218,WHOI,115349
A00234,TELEDYNE RDI,19151,20130220,WHOI,115350
A00235,TELEDYNE RDI,18596,20130220,WHOI,115351
A00236,NORTEK,8381,20121217,WHOI,114626
A00237,NORTEK,8539,20121217,WHOI,114628
A00238,NORTEK,8399,20121217,WHOI,115352
A00239,NORTEK,8535,20121217,WHOI,115353
A00240,TELEDYNE RDI,19016,20121219,WHOI,115354
A00241,TELEDYNE RDI,19024,20121219,WHOI,115355
A00242,TELEDYNE RDI,19003,20121219,WHOI,115356
A00243,TELEDYNE RDI,19000,20121219,WHOI,115357
A00244,TELEDYNE RDI,19002,20121219,WHOI,115358
A00245,TELEDYNE RDI,19023,20121219,WHOI,115359
A00246,NORTEK,8167,20130109,WHOI,115360
A00247,NORTEK,8158,20130109,WHOI,115361
A00248,SEA-BIRD ELECTRONICS,26P71826-1351,20130123,WHOI,115362
A00249,Sunburst Sensors,P0072,20121105,WHOI,115363
A00250,Sunburst Sensors,P0084,20130225,WHOI,115365
A00251,STAR ENGINEERING,N/A,20130227,WHOI,115369
A00252,STAR ENGINEERING,N/A,20130227,WHOI,115370
A00253,STAR ENGINEERING,N/A,20120227,WHOI,115371
A00254,STAR ENGINEERING,N/A,20130227,WHOI,115372
A00255,STAR ENGINEERING,N/A,20130227,WHOI,115373
A00256,STAR ENGINEERING,N/A,20130227,WHOI,115374
A00257,TELEDYNE WEBB RESEARCH,339,20130301,WHOI,115377
A00258,Sunburst Sensors,C0061,20130308,WHOI,115385
A00259,Sunburst Sensors,C0062,20130308,WHOI,115386
A00260,Sunburst Sensors,C0063,20130308,WHOI,115387
A00261,Sunburst Sensors,P0083,20130312,WHOI,115388
A00262,Sunburst Sensors,P0085,20130312,WHOI,115389
A00263,Sunburst Sensors,P0088,20130312,WHOI,115390
A00264,Sunburst Sensors,P0087,20130314,WHOI,115391
A00265,Sunburst Sensors,C0064,20130314,WHOI,115393
A00266,Sunburst Sensors,P0086,20130314,WHOI,115394
A00267,MCLANE,ML12936-02,20130320,WHOI,115411
A00268,MCLANE,ML12997-01,20130320,WHOI,115410
A00269,EdgeTech,45543,20130325,WHOI,115412
A00270,EdgeTech,45544,20130325,WHOI,115413
A00271,EdgeTech,45545,20130325,WHOI,115414
A00272,EdgeTech,45542,20130325,WHOI,115415
A00273,EdgeTech,45607,20130325,WHOI,115416
A00274,EdgeTech,45609,20150604,WHOI,115417
A00275,EdgeTech,45600,20150604,WHOI,115418
A00276,EdgeTech,45605,20130325,WHOI,115419
A00277,EdgeTech,45604,20130325,WHOI,115420
A00278,EdgeTech,45603,20150604,WHOI,115421
A00279,EdgeTech,45602,20150604,WHOI,115422
A00280,EdgeTech,45608,20130325,WHOI,115423
A00281,EdgeTech,45606,20130325,WHOI,115424
A00282,EdgeTech,45599,20150604,WHOI,115425
A00283,EdgeTech,45601,20130325,WHOI,115426
A00284,TELEDYNE WEBB RESEARCH,340,20130412,WHOI,115460
A00285,MCLANE,ML12991-03,20130426,WHOI,115469
A00286,MCLANE,ML12991-02,20150604,WHOI,115470
A00287,MCLANE,ML12991-01,20150713,WHOI,115471
A00288,Wet Labs,ACS-135,20130429,WHOI,115473
A00289,DISA,482597,20130411,WHOI,
A00290,DISA,482621,20130411,WHOI,115479
A00291,DISA,89-88-169-312-003-482-639,20130411,WHOI,115480
A00292,DISA,89-88-169-312-003-482-647,20130411,WHOI,115481
A00293,DISA,89-88-169-312-003-482-688,20130411,WHOI,115482
A00294,DISA,482605,20130411,WHOI,
A00295,DISA,89-88-169-312-003-482-654,20130411,WHOI,115484
A00296,DISA,89-88-169-312-003-482-589,20130411,WHOI,115485
A00297,DISA,89-88-169-312-003-482-514,20130429,WHOI,115486
A00298,DISA,89-88-169-312-003-482-555,20130429,WHOI,115487
A00299,DISA,89-88-169-312-003-482-548,20130429,WHOI,115488
A00300,DISA,89-88-169-312-003-482-530,20130429,WHOI,115489
A00301,DISA,89-88-169-312-003-482-522,20130429,WHOI,115490
A00302,DISA,89-88-169-312-003-482-563,20130429,WHOI,115491
A00303,MCLANE,ML12991-04,20130510,WHOI,115511
A00304,MCLANE,ML12991-05,20130510,WHOI,115512
A00305,,,,,
A00306,STAR ENGINEERING,SWR246,20130520,WHOI,115517
A00307,STAR ENGINEERING,SWR247,20130520,WHOI,115518
A00308,STAR ENGINEERING,SWR248,20130520,WHOI,115519
A00309,STAR ENGINEERING,SWR249,20130520,WHOI,115520
A00310,STAR ENGINEERING,SWR250,20130520,WHOI,115521
A00311,STAR ENGINEERING,SWR251,20130520,WHOI,115522
A00312,STAR ENGINEERING,SWR252,20130520,WHOI,115523
A00313,STAR ENGINEERING,SWR253,20130520,WHOI,115524
A00314,EdgeTech,46517,20130605,WHOI,115545
A00315,STAR ENGINEERING,LWR244,20130614,WHOI,115556
A00316,STAR ENGINEERING,LWR245,20150604,WHOI,115557
A00317,STAR ENGINEERING,LWR246,20130614,WHOI,115558
A00318,STAR ENGINEERING,LWR247,20130614,WHOI,115559
A00319,STAR ENGINEERING,LWR248,20130614,WHOI,115560
A00320,STAR ENGINEERING,LWR249,20130614,WHOI,115561
A00321,STAR ENGINEERING,LWR250,20130614,WHOI,115562
A00322,STAR ENGINEERING,LWR251,20130614,WHOI,115563
A00323,RANDOLPH & BALDWIN,TAGONSITE,20130618,WHOI,115565
A00324,,,,,
A00325,,,,,
A00326,,,,,
A00327,,,,,
A00328,,,,,
A00329,,,,,
A00330,,,,,
A00331,,,,,
A00332,,,,,
A00333,,,,,
A00334,TELEDYNE WEBB RESEARCH,374,20130701,WHOI,115594
A00335,TELEDYNE WEBB RESEARCH,376,20130701,WHOI,115595
A00336,TELEDYNE WEBB RESEARCH,375,20130701,WHOI,115596
A00337,TELEDYNE BENTHOS,60641,20130626,WHOI,115605
A00338,DISA,89-88-169-312-003-482-795,20130617,WHOI,115606
A00339,DISA,89-88-169-312-003-482-845,20130617,WHOI,115607
A00340,DISA,89-88-169-312-003-482-696,20130623,WHOI,115608
A00341,DISA,89-88-169-312-003-482-506,20130617,WHOI,115609
A00342,DISA,89-88-169-312-003-482-787,20130617,WHOI,115610
A00343,DISA,89-88-169-312-003-482-415,20130617,WHOI,115611
A00344,DISA,89-88-169-312-003-482-571,20130617,WHOI,115612
A00345,DISA,89-88-169-312-003-482-662,20130617,WHOI,115613
A00346,DISA,89-88-169-312-003-482-407,20130617,WHOI,115614
A00347,DISA,89-88-169-312-003-482-811,20130617,WHOI,115615
A00348,DISA,89-88-169-312-003-482-670,20130617,WHOI,115616
A00349,DISA,89-88-169-312-003-482-399,20130617,WHOI,115617
A00350,DISA,89-88-169-312-003-482-829,20130617,WHOI,115618
A00351,DISA,89-88-169-312-003-482-704,20130617,WHOI,115619
A00352,DISA,89-88-169-312-003-482-779,20130617,WHOI,115620
A00353,DISA,89-88-169-312-003-482-423,20130617,WHOI,115621
A00354,DISA,89-88-169-312-003-482-613,20130617,WHOI,115622
A00355,DISA,89-88-169-312-003-482-035,20130626,WHOI,115623
A00356,DISA,89-88-169-312-003-482-431,20130626,WHOI,115624
A00357,DISA,89-88-169-312-003-482-449,20130626,WHOI,115625
A00358,DISA,89-88-169-312-003-482-456,20130626,WHOI,115626
A00359,DISA,89-88-169-312-003-482-472,20130626,WHOI,115627
A00360,DISA,89-88-169-312-003-482-480,20130626,WHOI,115628
A00361,DISA,89-88-169-312-003-482-712,20130626,WHOI,115629
A00362,TELEDYNE BENTHOS,60642,20130626,WHOI,115630
A00363,WHOI/SIO,GP02HYPM-00001,20130715,WHOI,115633
A00364,WHOI/SIO,GP03FLMA-00001,20130715,WHOI,115634
A00365,WHOI/SIO,GP03FLMB-00001,20130715,WHOI,115635
A00366,EdgeTech,45215,20130117,WHOI,115638
A00367,TELEDYNE WEBB RESEARCH,379,20130806,WHOI,115643
A00368,TELEDYNE WEBB RESEARCH,380,20130806,WHOI,115644
A00369,LOADING DOCK SUPPLY,234357,20130402,WHOI,
A00370,EdgeTech,ETN46730,20130612,WHOI,115650
A00371,EdgeTech,ETN 46731,20130612,WHOI,115651
A00372,TELEDYNE BENTHOS,60638,20130613,WHOI,115652
A00373,TELEDYNE BENTHOS,60666,20130613,WHOI,115653
A00374,SATLANTIC,334,20130723,WHOI,115655
A00375,TELEDYNE WEBB RESEARCH,276,20120525,WHOI,115660
A00376,TELEDYNE WEBB RESEARCH,361,20130530,WHOI,115661
A00377,TELEDYNE WEBB RESEARCH,362,20130530,WHOI,115662
A00378,TELEDYNE WEBB RESEARCH,363,20130530,WHOI,115663
A00379,TELEDYNE WEBB RESEARCH,364,20130530,WHOI,115664
A00380,TELEDYNE WEBB RESEARCH,365,20130530,WHOI,115665
A00381,MCLANE,ML13026-01E,20130711,WHOI,115641
A00382,SATLANTIC,263,20130723,WHOI,115666
A00383,SATLANTIC,260,20130812,WHOI,115671
A00384,SATLANTIC,261,20150604,WHOI,115672
A00385,SATLANTIC,262,20130812,WHOI,115673
A00386,Sunburst Sensors,C0069,20130820,WHOI,115686
A00387,Sunburst Sensors,C0070,20130820,WHOI,115687
A00388,Sunburst Sensors,P0095,20150604,WHOI,115688
A00389,Sunburst Sensors,P0096,20130820,WHOI,115689
A00390,Sunburst Sensors,P0097,20150604,WHOI,115694
A00391,MCLANE,ML12936-01,20130122,WHOI,115691
A00392,Sunburst Sensors,P0100,20130823,WHOI,115695
A00393,TELEDYNE WEBB,381,20130806,WHOI,115696
A00394,TELEDYNE WEBB,382,20130806,WHOI,115697
A00395,Aanderaa Instruments,213,20130826,WHOI,115701
A00396,Aanderaa Instruments,212,20130826,WHOI,115702
A00397,Aanderaa Instruments,211,20130826,WHOI,115703
A00398,Aanderaa Instruments,225,20150604,WHOI,115704
A00399,Aanderaa Instruments,226,20130826,WHOI,115705
A00400,Aanderaa Instruments,227,20130826,WHOI,115706
A00401,STAR ENGINEERING,WND236,20130830,WHOI,115709
A00402,STAR ENGINEERING,PRC243,20130830,WHOI,115710
A00403,STAR ENGINEERING,PRC241,20130830,WHOI,115711
A00404,STAR ENGINEERING,SWND239,20130830,WHOI,115712
A00405,SATLANTIC,238,20130905,WHOI,115714
A00406,SATLANTIC,239,20130905,WHOI,115715
A00407,SATLANTIC,240,20130905,WHOI,115716
A00408,PRO-OCEANUS,33-177-50A,20130909,WHOI,115718
A00409,Wet Labs,1102,20130909,WHOI,115719
A00410,NORTEK,AQD 11377,20130916,WHOI,115723
A00411,NORTEK,AQD 11382,20150604,WHOI,115724
A00412,NORTEK,AQD 11386,20150604,WHOI,115725
A00413,Aanderaa Instruments,224,20130827,WHOI,115728
A00414,Aanderaa Instruments,228,20130827,WHOI,115729
A00415,NORTEK,AQD 11397,20130917,WHOI,115730
A00416,NORTEK,AQD 11402,20130917,WHOI,115731
A00417,NORTEK,AQD 11412,20130917,WHOI,115732
A00418,NORTEK,AQD 11417,20150604,WHOI,115733
A00419,Wet Labs,1104,20130917,WHOI,115734
A00420,Wet Labs,1105,20130917,WHOI,115735
A00421,Wet Labs,1107,20130917,WHOI,115737
A00422,Sunburst Sensors,P0098,20150604,WHOI,115739
A00423,Sunburst Sensors,P0099,20150604,WHOI,115740
A00424,Wet Labs,1106,20130920,WHOI,115744
A00425,Aanderaa Instruments,215,20130801,WHOI,115746
A00426,Aanderaa Instruments,216,20130801,WHOI,115747
A00427,Aanderaa Instruments,217,20130801,WHOI,115748
A00428,Aanderaa Instruments,218,20130801,WHOI,115749
A00429,Aanderaa Instruments,219,20130801,WHOI,115750
A00430,Aanderaa Instruments,220,20130801,WHOI,115751
A00431,Aanderaa Instruments,221,20130801,WHOI,115752
A00432,Aanderaa Instruments,222,20130801,WHOI,115753
A00433,Aanderaa Instruments,223,20130801,WHOI,115754
A00434,SATLANTIC,241,20130913,WHOI,115755
A00435,SATLANTIC,242,20130913,WHOI,115756
A00436,SATLANTIC,243,20130913,WHOI,115757
A00437,PRO-OCEANUS,33-182-50A,20130925,WHOI,115758
A00438,PRO-OCEANUS,33-183-50A,20130925,WHOI,115759
A00439,TELEDYNE RDI,20346,20130926,WHOI,115761
A00440,SEA-BIRD ELECTRONICS,37-11003,20130930,WHOI,115766
A00441,STAR ENGINEERING,HRH277,20130930,WHOI,115767
A00442,STAR ENGINEERING,LWR273,20130930,WHOI,115768
A00443,STAR ENGINEERING,SWR260,20130930,WHOI,115769
A00444,STAR ENGINEERING,BPR253,20130930,WHOI,115770
A00445,STAR ENGINEERING,SWND240,20130930,WHOI,115771
A00446,STAR ENGINEERING,PRC239,20130930,WHOI,115772
A00447,STAR ENGINEERING,HRH274,20130930,WHOI,115773
A00448,STAR ENGINEERING,LWR278,20130930,WHOI,115774
A00449,STAR ENGINEERING,SWR265,20130930,WHOI,115775
A00450,STAR ENGINEERING,BPR252,20130930,WHOI,115776
A00451,STAR ENGINEERING,SWND245,20130930,WHOI,115777
A00452,STAR ENGINEERING,PRC247,20150604,WHOI,115778
A00453,STAR ENGINEERING,HRH275,20130930,WHOI,115779
A00454,STAR ENGINEERING,LWR266,20130930,WHOI,115780
A00455,STAR ENGINEERING,LWR268,20130930,WHOI,115781
A00456,STAR ENGINEERING,BPR244,20130930,WHOI,115782
A00457,STAR ENGINEERING,SWND238,20130930,WHOI,115783
A00458,STAR ENGINEERING,PRC240,20130930,WHOI,115784
A00459,STAR ENGINEERING,HRH266,20130930,WHOI,115785
A00460,STAR ENGINEERING,SWR263,20150604,WHOI,115786
A00461,STAR ENGINEERING,SWR261,20130930,WHOI,115787
A00462,STAR ENGINEERING,BPR241,20130930,WHOI,115789
