serial,name,value,notes
37-12392,CC_a0,-6.527834e-05,
37-12392,CC_a1,0.0002989924,
37-12392,CC_a2,-3.872226e-06,
37-12392,CC_a3,1.85451e-07,
37-12392,CC_cpcor,-9.57e-08,
37-12392,CC_ctcor,3.25e-06,
37-12392,CC_g,-0.9832369,
37-12392,CC_h,0.1523411,
37-12392,CC_i,-0.0001433238,
37-12392,CC_j,3.414424e-05,
37-12392,CC_p_range,5076,
37-12392,CC_pa0,-0.9908835,
37-12392,CC_pa1,0.0158795,
37-12392,CC_pa2,-6.569993e-10,
37-12392,CC_ptca0,524883.9,
37-12392,CC_ptca1,-3.810337,
37-12392,CC_ptca2,0.05773594,
37-12392,CC_ptcb0,25.29325,
37-12392,CC_ptcb1,0.00065,
37-12392,CC_ptcb2,0,
37-12392,CC_ptempa0,-69.87283,
37-12392,CC_ptempa1,0.05099026,
37-12392,CC_ptempa2,-4.446437e-07,
37-12392,CC_wbotc,2.2915e-07,
