serial,name,value,notes
37-11704,CC_a0,-8.60E-05,
37-11704,CC_a1,2.97E-04,
37-11704,CC_a2,-3.58E-06,
37-11704,CC_a3,1.80E-07,
37-11704,CC_cpcor,-9.57E-08,
37-11704,CC_ctcor,3.25E-06,
37-11704,CC_g,-9.97E-01,
37-11704,CC_h,1.70E-01,
37-11704,CC_i,-4.59E-04,
37-11704,CC_j,6.40E-05,
37-11704,CC_p_range,5076,
37-11704,CC_pa0,1.89E+00,
37-11704,CC_pa1,1.59E-02,
37-11704,CC_pa2,-6.74E-10,
37-11704,CC_ptca0,5.26E+05,
37-11704,CC_ptca1,6.62E+00,
37-11704,CC_ptca2,-9.80E-02,
37-11704,CC_ptcb0,2.53E+01,
37-11704,CC_ptcb1,-2.25E-03,
37-11704,CC_ptcb2,0.00E+00,
37-11704,CC_ptempa0,-7.24E+01,
37-11704,CC_ptempa1,5.05E-02,
37-11704,CC_ptempa2,-4.93E-07,
37-11704,CC_wbotc,5.15E-07,
