ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments
A01197,Platform,0,MOORING PIONEER UI PROFILER,WHOI,CP02PMUI,CP02PMUI-00002,,20130218,110911.35,
A01198,Platform,0,MOORING PIONEER UO PROFILER,WHOI,CP02PMUO,CP02PMUO-00003,,20130218,110911.35,
A01199,Platform,0,MOORING PIONEER OS PROFILER,WHOI,CP04OSPM,CP04OSPM-00002,,20130218,110911.35,
ATAPL-65244-010-0023,Platform,0,MOORING RSN,,RS01SLBS-MJ01A,SN0026,,,,
ATAPL-65244-030-0025,Platform,0,MOORING ENDURANCE OS,WHOI,CE02SHBP-MJ01C,SN0025,,,,
ATAPL-65244-040-0026,Platform,0,MOORING RSN,,RS03AXBS-MJ03A,SN0023,,,,
ATAPL-65244-060-0028,Platform,0,MOORING RSN,,RS03INT1-MJ03C,SN0028,,,,
ATAPL-65244-070-0029,Platform,0,MOORING RSN,,RS03INT2-MJ03D,SN0029,,,,
ATAPL-65244-080-0030,Platform,0,MOORING RSN,,RS03ECAL-MJ03E,SN0030,,,,
ATAPL-65244-090-0031,Platform,0,MOORING RSN,,RS03CCAL-MJ03F,SN0031,,,,
ATAPL-65244-820-0033,Platform,0,MOORING RSN,,RS03ASHS-MJ03B,SN0033,,,,
ATAPL-65244-840-0035,Platform,0,Medium Power Junction Box,,,SN0035,,,,
ATAPL-65291-020-0044,Platform,0,MOORING RSN,,RS01SUM1-LV01B,SN0044,,,,
ATAPL-65291-030-0045,Platform,0,MOORING ENDURANCE OS,WHOI,CE04OSBP-LV01C,SN0045,,,,
ATAPL-65310-010-0003,Platform,0,MOORING RSN,,RS01SLBS-LJ01A,SN0003,,,,
ATAPL-65310-020-0004,Platform,0,MOORING RSN,,RS01SUM1-LJ01B,SN0004,,,,
ATAPL-65310-030-0005,Platform,0,MOORING ENDURANCE OS,WHOI,CE04OSBP-LJ01C,SN0005,,,,
ATAPL-65310-040-006,Platform,0,MOORING ENDURANCE OS,WHOI,CE02SHBP-LJ01D,SN0006,,,,
ATAPL-65310-050-0007,Platform,0,MOORING RSN,,RS03AXBS-LJ03A,SN0007,,,,
ATAPL-65310-810-0005,Platform,0,Low Voltage Junction Box,,,SN0006,,,,
ATAPL-65310-820-0009,Platform,0,MOORING ENDURANCE OS,WHOI,CE02SHBP-LJ01D,SN0009,,,,
ATAPL-65310-830-0010,Platform,0,MOORING RSN,,RS01SLBS-LJ01A,SN0010,,,,
ATAPL-65310-840-0011,Platform,0,MOORING RSN,,RS03AXBS-LJ03A,SN0011,,,,
ATAPL-65310-850-0012,Platform,0,Low Voltage Junction Box,,,SN0012,,,,
ATAPL-68870-001-0140,Platform,0,MOORING RSN,,RS01SBPS-SF01A,SN0140,,,,
ATAPL-68870-001-0142,Platform,0,MOORING RSN,,RS03AXPS-SF03A,SN0142,,,,
ATAPL-68870-001-0143,Platform,0,MOORING RSN,,RS01SBPS-SF01A,SN0143,,,,
ATAPL-68870-001-0145,Platform,0,MOORING RSN,,RS03AXPS-SF03A,SN0145,,,,
ATAPL-68870-002-0141,Platform,0,MOORING ENDURANCE OS,WHOI,CE04OSPS-SF01B,SN0141,,,,
ATAPL-68870-002-0144,Platform,0,MOORING ENDURANCE OS,WHOI,CE04OSPS-SF01B,SN0144,,,,
ATAPL-69839-001-0101,Platform,0,MOORING RSN,,RS01SBPS-PC01A,SN0101,,,,
ATAPL-69839-001-0103,Platform,0,MOORING RSN,,RS03AXPS-PC03A,SN0103,,,,
ATAPL-69839-001-0104,Platform,0,MOORING RSN,,RS01SBPS-PC01A,SN0104,,,,
ATAPL-69839-001-0106,Platform,0,MOORING RSN,,RS03AXPS-PC03A,SN0106,,,,
ATAPL-69839-002-0102,Platform,0,MOORING ENDURANCE OS,WHOI,CE04OSPS-PC01B,SN0102,,,,
ATAPL-69839-002-0105,Platform,0,MOORING ENDURANCE OS,WHOI,CE04OSPS-PC01B,SN0105,,,,
ATAPL-71403-00001,Platform,0,"MMP Extended Frame (no sensors), Glass Flotation (2 spheres), Ti controller housing extended",McLane,71403,13031-01,N/A,20130723,58740,
ATAPL-71403-00002,Platform,0,"MMP Extended Frame (no sensors), Glass Flotation (2 spheres), Ti controller housing extended",McLane,71403,13152-03,N/A,20140409,59190,
ATAPL-71403-00003,Platform,0,"MMP Extended Frame (no sensors), Glass Flotation (2 spheres), Ti controller housing extended",McLane,71403,13152-01,N/A,20140409,59190,
ATAPL-71403-00004,Platform,0,"MMP Extended Frame (no sensors), Glass Flotation (2 spheres), Ti controller housing extended",McLane,71403,13152-02,N/A,20140421,59190,
ATAPL-71403-00005,Platform,0,"MMP Extended Frame (no sensors), Glass Flotation (2 spheres), Ti controller housing extended",McLane,71403,13317-01,N/A,20150428,59190,
ATAPL-71403-00006,Platform,0,"MMP Extended Frame (no sensors), Glass Flotation (2 spheres), Ti controller housing extended",McLane,71403,13317-02,N/A,20150428,59190,
ATAPL-71403-00007,Platform,0,"MMP Extended Frame (no sensors), Glass Flotation (2 spheres), Ti controller housing extended",McLane,71403,13317-03,N/A,20150428,59190,
ATAPL-71553-00002,Platform,0,MOORING RSN,,RS01SBPD-PD01A,SN0003,,,,
ATAPL-71553-00005,Platform,0,MOORING RSN,,RS03AXPD-PD03A,SN0005,,,,
N00200,Platform,0,MOORING PIONEER UO PROFILER,WHOI,CP02PMUO,CP02PMUO-00004,,,,
N00201,Platform,0,MOORING PIONEER CENTRAL SURFAC,WHOI,CP01CNSM,CP01CNSM-00002,,,,
N00202,Platform,0,MOORING PIONEER OS PROFILER,WHOI,CP04OSSM,CP04OSSM-00001,,,,
N00203,Platform,0,MOORING PIONEER OS PROFILER,WHOI,CP04OSSM,CP04OSSM-00002,,,,
N00204,Platform,0,MOORING PIONEER UI PROFILER,WHOI,CP02PMUI,CP02PMUI-00003,,,,
N00205,Platform,0,MOORING PIONEER IS PROFILER,WHOI,CP04ISSM,CP04ISSM-00001,,,,
