ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments
A00053,,,"COMPUTER SERVER, SECURE SYNC",SPECTRACOM,1200-093,1136,,20111004,6166,
A00054,Sensor,0,CTDBP SERIES C (C-16PLUSV2),SEA-BIRD ELECTRONICS,C-16PLUSV2,16P64183-6841,,20150604,8970,
A00055,Sensor,0,ADCP SERIES M (WHS600-500),TELEDYNE RDI,WHS600-500,18222,,20120822,21577.5,
A00056,Sensor,0,ADCP SERIES A (WH600-500),TELEDYNE RDI,WHS600-500,18225,,20120822,24822,
A00057,Sensor,0,ADCP SERIES B (WHM600-500),TELEDYNE RDI,WHM300-500,18493,,20120826,22482,
A00058,Sensor,0,ADCP SERIES C (WHS300-500),TELEDYNE RDI,WHS300-500,17122,,20120822,23895,
A00059,Sensor,0,VEL3D SERIES C (VECTOR),NORTEK,VECTOR,8159,,20120828,15960,
A00060,Sensor,0,VEL3D SERIES C (VECTOR),NORTEK,VECTOR,8181,,20120828,15960,
A00061,Sensor,0,VEL3D SERIES D (VECTOR W/PROLOG),NORTEK,VECTOR,9668,,20120913,19515,
A00062,Sensor,0,PCO2W SERIES B (SAMI-CO2),Sunburst Sensors,SAMI-pCO2,C0050,54,20120913,20600,
A00063,Sensor,0,PCO2W  SERIES B (SAMI-CO2),Sunburst Sensors,SAMI-pCO2,C0051,,20120913,20600,
A00064,Sensor,0,ADCP SERIES I (WHLM75-1500),TELEDYNE RDI,WHM75-1500,18153,,20120914,46795.5,
A00065,Sensor,0,NUTNR SERIES B (ISUS),SATLANTIC,ISUS,239,3.2.4,20120924,35182.98,
A00066,Sensor,0,NUTNR SERIES B (ISUS),SATLANTIC,ISUS,240,3.2.4,20120924,35182.98,
A00067,Sensor,0,ADCP SERIES L (WHLS75-1500-I),TELEDYNE RDI,WHLS75-1500-I,18352,,20120928,51646.5,
A00068,Sensor,0,ADCP SERIES L (WHLS75-1500-I),TELEDYNE RDI,WHLS75-1500-I,18351,50.4,20120928,51646.5,
