ASSET_UID,LEGACY_ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,MIO_Inventory_Description,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments
A00211,A00211,,,ACOUSTIC RELEASE (SIO),ACOUSTIC RELEASE (SIO),EdgeTech,8242XS,45269,,20130204,11070,
A00212,A00212,,,ACOUSTIC RELEASE (SIO),ACOUSTIC RELEASE (SIO),EdgeTech,8242XS,45270,,20130204,11070,
A00213,A00213,,,ACOUSTIC RELEASE (SIO),ACOUSTIC RELEASE (SIO),EdgeTech,8242XS,45271,,20130204,11070,
A00214,A00214,,,ACOUSTIC RELEASE  (SIO),ACOUSTIC RELEASE  (SIO),EdgeTech,8242XS,45272,,20130204,11070,
A00215,A00215,,,ACOUSTIC RELEASE  (SIO),ACOUSTIC RELEASE  (SIO),EdgeTech,8242XS,45273,,20130204,11070,
A00216,A00216,,,ACOUSTIC RELEASE (SIO),ACOUSTIC RELEASE (SIO),EdgeTech,8242XS,45274,,20130204,11070,
A00217,A00217,,,ACOUSTIC RELEASE (SIO),ACOUSTIC RELEASE (SIO),EdgeTech,8242XS,45275,,20130204,11070,
A00251,A00251,,,SUBMERSIBLE BUOY BATTERY CHASS,SUBMERSIBLE BUOY BATTERY CHASS,STAR ENGINEERING,3701-00142-00001,N/A,,20130227,7235,
A00252,A00252,,,SUBMERSIBLE BUOY BATTERY CHASS,SUBMERSIBLE BUOY BATTERY CHASS,STAR ENGINEERING,3701-00142-00001,N/A,,20130227,7235,
A00253,A00253,,,SUBMERSIBLE BUOY BATTERY CHASS,SUBMERSIBLE BUOY BATTERY CHASS,STAR ENGINEERING,3701-00142-00001,N/A,,20120227,7235,
A00254,A00254,,,SUBMERSIBLE BUOY BATTERY CHASS,SUBMERSIBLE BUOY BATTERY CHASS,STAR ENGINEERING,3701-00142-00001,N/A,,20130227,7235,
A00255,A00255,,,SUBMERSIBLE BUOY BATTERY CHASS,SUBMERSIBLE BUOY BATTERY CHASS,STAR ENGINEERING,3701-00142-00001,N/A,,20130227,7235,
A00256,A00256,,,SUBMERSIBLE BUOY BATTERY CHASS,SUBMERSIBLE BUOY BATTERY CHASS,STAR ENGINEERING,3701-00142-00001,N/A,,20130227,7235,
A00269,A00269,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,45543,,20130325,12180,
A00270,A00270,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,45544,,20130325,12180,
A00271,A00271,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,45545,,20130325,12180,
A00272,A00272,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,45542,,20130325,12180,
A00273,A00273,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242,45607,,20130325,11070,
A00274,A00274,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242,45609,,20150604,11070,
A00275,A00275,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242,45600,,20150604,11070,
A00276,A00276,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242,45605,,20130325,11070,
A00277,A00277,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242,45604,,20130325,11070,
A00278,A00278,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242,45603,,20150604,11070,
A00279,A00279,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242,45602,,20150604,11070,
A00280,A00280,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242,45608,,20130325,11070,
A00281,A00281,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242,45606,,20130325,11070,
A00282,A00282,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242,45599,,20150604,11070,
A00283,A00283,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242,45601,,20130325,11070,
A00289,A00289,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,,482597,,20130411,0,Missing from inventory
A00290,A00290,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,,482621,,20130411,0,LOST AT SEA
A00291,A00291,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-482-639,,20130411,0,
A00292,A00292,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-482-647,,20130411,0,
A00293,A00293,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-482-688,,20130411,0,
A00294,A00294,,,DISA SIM CARD GSPP TESTING,DISA SIM CARD GSPP TESTING,DISA,,482605,,20130411,0,Missing from inventory
A00295,A00295,,,DISA SIM CARD GLIDER TESTBED,DISA SIM CARD GLIDER TESTBED,DISA,SIM,89-88-169-312-003-482-654,,20130411,0,
A00296,A00296,,,DISA SIM CARD PIONEER PROFILE,DISA SIM CARD PIONEER PROFILE,DISA,SIM,89-88-169-312-003-482-589,,20130411,0,
A00297,A00297,,,DISA SIM CARD PIONEER PROFILE,DISA SIM CARD PIONEER PROFILE,DISA,SIM,89-88-169-312-003-482-514,,20130429,0,
A00298,A00298,,,DISA SIM CARD PIONEER PROFILE,DISA SIM CARD PIONEER PROFILE,DISA,SIM,89-88-169-312-003-482-555,,20130429,0,
A00299,A00299,,,DISA SIM CARD PIONEER PROFILE,DISA SIM CARD PIONEER PROFILE,DISA,SIM,89-88-169-312-003-482-548,,20130429,0,
A00300,A00300,,,DISA SIM CARD PIONEER PROFILE,DISA SIM CARD PIONEER PROFILE,DISA,SIM,89-88-169-312-003-482-530,,20130429,0,
A00301,A00301,,,DISA SIM CARD ENDURANCE INSHOR,DISA SIM CARD ENDURANCE INSHOR,DISA,SIM,89-88-169-312-003-482-522,,20130429,0,
A00302,A00302,,,DISA SIM CARD ENDURANCE PROFIL,DISA SIM CARD ENDURANCE PROFIL,DISA,SIM,89-88-169-312-003-482-563,,20130429,0,
A00305,A00305,,,,,,,,,,,Missing from inventory
A00314,A00314,,,ACOUSTIC RELEASE (SIO),ACOUSTIC RELEASE (SIO),EdgeTech,8242XS,46517,,20130605,11070,
A00323,A00323,,,COASTAL SURFACE BUOY ASSEMBLY,COASTAL SURFACE BUOY ASSEMBLY,RANDOLPH & BALDWIN,COASTAL,TAGONSITE,,20130618,244503,
A00324,A00324,,,,,,,,,,,Missing from inventory
A00325,A00325,,,,,,,,,,,Missing from inventory
A00326,A00326,,,,,,,,,,,Missing from inventory
A00327,A00327,,,,,,,,,,,Missing from inventory
A00328,A00328,,,,,,,,,,,Missing from inventory
A00329,A00329,,,,,,,,,,,Missing from inventory
A00330,A00330,,,,,,,,,,,Missing from inventory
A00331,A00331,,,,,,,,,,,Missing from inventory
A00332,A00332,,,,,,,,,,,Missing from inventory
A00333,A00333,,,,,,,,,,,Missing from inventory
A00337,A00337,,,MODEM OMNI DIRECTIONAL,MODEM OMNI DIRECTIONAL,TELEDYNE BENTHOS,ATM-916-LF1,60641,,20130626,7350,
A00338,A00338,,,DISA SIM CARD PIONEER GLIDER,DISA SIM CARD PIONEER GLIDER,DISA,SIM,89-88-169-312-003-482-795,,20130617,0,
A00339,A00339,,,DISA SIM CARD ENDURANCE GLIDER,DISA SIM CARD ENDURANCE GLIDER,DISA,SIM,89-88-169-312-003-482-845,,20130617,0,not on osu list
A00340,A00340,,,DISA SIM CARD PIONEER GLIDER,DISA SIM CARD PIONEER GLIDER,DISA,,89-88-169-312-003-482-696,,20130623,0,LOST AT SEA
A00341,A00341,,,DISA SIM CARD PIONEER GLIDER,DISA SIM CARD PIONEER GLIDER,DISA,SIM,89-88-169-312-003-482-506,,20130617,0,
A00342,A00342,,,DISA SIM CARD PIONEER GLIDER,DISA SIM CARD PIONEER GLIDER,DISA,SIM,89-88-169-312-003-482-787,,20130617,0,
A00343,A00343,,,DISA SIM CARD PIONEER GLIDER,DISA SIM CARD PIONEER GLIDER,DISA,SIM,89-88-169-312-003-482-415,,20130617,0,
A00344,A00344,,,DISA SIM CARD ENDURANCE GLIDER,DISA SIM CARD ENDURANCE GLIDER,DISA,SIM,89-88-169-312-003-482-571,,20130617,0,not on osu list
A00345,A00345,,,DISA SIM CARD ENDURANCE GLIDER,DISA SIM CARD ENDURANCE GLIDER,DISA,SIM,89-88-169-312-003-482-662,,20130617,0,not on osu list
A00346,A00346,,,DISA SIM CARD ENDURANCE GLIDER,DISA SIM CARD ENDURANCE GLIDER,DISA,SIM,89-88-169-312-003-482-407,,20130617,0,not on osu list
A00347,A00347,,,DISA SIM CARD GLOBAL GLIDER,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-482-811,,20130617,0,
A00348,A00348,,,DISA SIM CARD PIONEER GLIDER,DISA SIM CARD PIONEER GLIDER,DISA,SIM,89-88-169-312-003-482-670,,20130617,0,
A00349,A00349,,,DISA SIM CARD PIONEER GLIDER,DISA SIM CARD PIONEER GLIDER,DISA,SIM,89-88-169-312-003-482-399,,20130617,0,
A00350,A00350,,,DISA SIM CARD PIONEER GLIDER,DISA SIM CARD PIONEER GLIDER,DISA,SIM,89-88-169-312-003-482-829,,20130617,0,
A00351,A00351,,,DISA SIM CARD ENDURANCE GLIDER,DISA SIM CARD ENDURANCE GLIDER,DISA,SIM,89-88-169-312-003-482-704,,20130617,0,
A00352,A00352,,,DISA SIM CARD PIONEER GLIDER,DISA SIM CARD PIONEER GLIDER,DISA,SIM,89-88-169-312-003-482-779,,20130617,0,
A00353,A00353,,,DISA SIM CARD PIONEER GLIDER,DISA SIM CARD PIONEER GLIDER,DISA,SIM,89-88-169-312-003-482-423,,20130617,0,
A00354,A00354,,,DISA SIM CARD PIONEER GLIDER,DISA SIM CARD PIONEER GLIDER,DISA,SIM,89-88-169-312-003-482-613,,20130617,0,
A00355,A00355,,,DISA SIM CARD ENDURANCE GLIDER,DISA SIM CARD ENDURANCE GLIDER,DISA,SIM,89-88-169-312-003-482-035,,20130626,0,
A00356,A00356,,,DISA SIM CARD ENDURANCE GLIDER,DISA SIM CARD ENDURANCE GLIDER,DISA,SIM,89-88-169-312-003-482-431,,20130626,0,
A00357,A00357,,,DISA SIM CARD ENDURANCE GLIDER,DISA SIM CARD ENDURANCE GLIDER,DISA,SIM,89-88-169-312-003-482-449,,20130626,0,
A00358,A00358,,,DISA SIM CARD ENDURANCE GLIDER,DISA SIM CARD ENDURANCE GLIDER,DISA,SIM,89-88-169-312-003-482-456,,20130626,0,
A00359,A00359,,,DISA SIM CARD ENDURANCE GLIDER,DISA SIM CARD ENDURANCE GLIDER,DISA,SIM,89-88-169-312-003-482-472,,20130626,0,
A00360,A00360,,,DISA SIM CARD ENDURANCE GLIDER,DISA SIM CARD ENDURANCE GLIDER,DISA,SIM,89-88-169-312-003-482-480,,20130626,0,
A00361,A00361,,,DISA SIM CARD ENDURANCE GLIDER,DISA SIM CARD ENDURANCE GLIDER,DISA,SIM,89-88-169-312-003-482-712,,20130626,0,
A00362,A00362,,,MODEM OMINI DIRECTIONAL,MODEM OMINI DIRECTIONAL,TELEDYNE BENTHOS,ATM-916-LF1,60642,,20130626,7350,
A00366,A00366,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,BRT,45215,,20130117,7400,
A00369,A00369,,,STEEL MINI RAMP,STEEL MINI RAMP,LOADING DOCK SUPPLY,N/A,234357,,20130402,8889.19,Missing from inventory
A00370,A00370,,,DECK UNIT 8011M,DECK UNIT 8011M,EdgeTech,8011M,ETN46730,,20130612,16200,
A00371,A00371,,,DECK UNIT 8011M,DECK UNIT 8011M,EdgeTech,8011M,ETN 46731,,20130612,16200,
A00372,A00372,,,DECK KIT,DECK KIT,TELEDYNE BENTHOS,UDB-9425E-LF6,60638,,20130613,16537.7,
A00373,A00373,,,DECK KIT,DECK KIT,TELEDYNE BENTHOS,UDB-9425E-LF6,60666,,20130613,16537.7,
A00381,A00381,,,PROFILER ELECTRONICS STACK CF2,PROFILER ELECTRONICS STACK CF2,MCLANE,PERSISTOR VISION,ML13026-01E,,20130711,5100,
A00469,A00469,,,CONTAINER OPEN SIDE SWING DOOR,CONTAINER OPEN SIDE SWING DOOR,TRS,20FT,TAS,,20130930,12634.25,
A00472,A00472,,,,,,,,,,,Missing from inventory
A00495,A00495,,,DISA SIM CARD ENDURANCE CSPP,DISA SIM CARD ENDURANCE CSPP,DISA,SIM,89-88-169-312-003-509-159,,20131021,0,not on osu list
A00520,A00520,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46369,,20131104,11070,
A00521,A00521,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46275,,20131104,11070,
A00522,A00522,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46276,,20131104,11070,
A00523,A00523,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46271,,20131104,11070,
A00524,A00524,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46253,,20131104,11070,
A00525,A00525,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46252,,20131104,11070,
A00526,A00526,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46370,,20131104,11070,
A00527,A00527,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46368,,20131104,11070,
A00528,A00528,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46254,,20131104,11070,
A00529,A00529,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46259,,20131104,11070,multiple ooi_barcode and whoi asset tag numbers for same serial number
A00530,A00530,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46250,,20131104,11070,
A00531,A00531,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46251,,20131105,11070,
A00532,A00532,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46255,,20131104,11070,
A00533,A00533,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46256,,20131104,11070,
A00534,A00534,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46257,,20131104,11070,
A00535,A00535,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46258,,20131104,11070,
