ASSET_UID,LEGACY_ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,MIO_Inventory_Description,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments
ATAPL-64629-00013,ATAPL-64629-00013,,,Machine 13.75 Dia Secondary Nodes housing cylinder,Machine 13.75 Dia Secondary Nodes housing cylinder,APL/UW,64629,13,N/A,20130419,6000,
ATAPL-64629-00014,ATAPL-64629-00014,,,Machine 13.75 Dia Secondary Nodes housing cylinder,Machine 13.75 Dia Secondary Nodes housing cylinder,APL/UW,64629,14,N/A,20130419,6000,
ATAPL-64629-00015,ATAPL-64629-00015,,,Machine 13.75 Dia Secondary Nodes housing cylinder,Machine 13.75 Dia Secondary Nodes housing cylinder,APL/UW,64629,15,N/A,20130419,6000,
ATAPL-64629-00016,ATAPL-64629-00016,,,Machine 13.75 Dia Secondary Nodes housing cylinder,Machine 13.75 Dia Secondary Nodes housing cylinder,APL/UW,64629,16,N/A,20130419,6000,
ATAPL-64629-00017,ATAPL-64629-00017,,,Machine 13.75 Dia Secondary Nodes housing cylinder,Machine 13.75 Dia Secondary Nodes housing cylinder,APL/UW,64629,17,N/A,20130419,6000,
ATAPL-64629-00018,ATAPL-64629-00018,,,Machine 13.75 Dia Secondary Nodes housing cylinder*** LID***,Machine 13.75 Dia Secondary Nodes housing cylinder*** LID***,APL/UW,64629,18,N/A,20130731,6000,
ATAPL-64629-00019,ATAPL-64629-00019,,,Machine 13.75 Dia Secondary Nodes housing cylinder,Machine 13.75 Dia Secondary Nodes housing cylinder,APL/UW,64629,19,N/A,20130731,6000,
ATAPL-64629-00020,ATAPL-64629-00020,,,Machine 13.75 Dia Secondary Nodes housing cylinder,Machine 13.75 Dia Secondary Nodes housing cylinder,APL/UW,64629,20,N/A,20130731,6000,
ATAPL-64629-00021,ATAPL-64629-00021,,,Machine 13.75 Dia Secondary Nodes housing cylinder,Machine 13.75 Dia Secondary Nodes housing cylinder,APL/UW,64629,21,N/A,20130731,6000,
ATAPL-64629-00022,ATAPL-64629-00022,,,Machine 13.75 Dia Secondary Nodes housing cylinder,Machine 13.75 Dia Secondary Nodes housing cylinder,APL/UW,64629,22,N/A,20141015,5850,
ATAPL-64629-00023,ATAPL-64629-00023,,,Machine 13.75 Dia Secondary Nodes housing cylinder,Machine 13.75 Dia Secondary Nodes housing cylinder,APL/UW,64629,23,N/A,20141015,5850,
ATAPL-64629-00024,ATAPL-64629-00024,,,Machine 13.75 Dia Secondary Nodes housing cylinder,Machine 13.75 Dia Secondary Nodes housing cylinder,APL/UW,64629,24,N/A,20141015,5850,
ATAPL-66493-00001,ATAPL-66493-00001,,,"END  CAP, SHAFT SIDE, LEVELWIND","END  CAP, SHAFT SIDE, LEVELWIND",APL/UW,66493,1,N/A,20140714,5000,
ATAPL-66493-00002,ATAPL-66493-00002,,,"END  CAP, SHAFT SIDE, LEVELWIND","END  CAP, SHAFT SIDE, LEVELWIND",APL/UW,66493,2,N/A,20140714,5000,
ATAPL-66493-00003,ATAPL-66493-00003,,,"END  CAP, SHAFT SIDE, LEVELWIND","END  CAP, SHAFT SIDE, LEVELWIND",APL/UW,66493,3,N/A,20140714,5000,
ATAPL-66493-00004,ATAPL-66493-00004,,,"END  CAP, SHAFT SIDE, LEVELWIND","END  CAP, SHAFT SIDE, LEVELWIND",APL/UW,66493,4,N/A,20140714,5000,
ATAPL-66493-00005,ATAPL-66493-00005,,,"END  CAP, SHAFT SIDE, LEVELWIND","END  CAP, SHAFT SIDE, LEVELWIND",APL/UW,66493,5,N/A,20140714,5000,
ATAPL-66493-00006,ATAPL-66493-00006,,,"END  CAP, SHAFT SIDE, LEVELWIND","END  CAP, SHAFT SIDE, LEVELWIND",APL/UW,66493,6,N/A,20140714,5000,
ATAPL-66497-00001,ATAPL-66497-00001,,,"END CAP, MOTOR SIDE, LEVELWIND","END CAP, MOTOR SIDE, LEVELWIND",APL/UW,66497,1,N/A,20140711,5000,
ATAPL-66497-00002,ATAPL-66497-00002,,,"END CAP, MOTOR SIDE, LEVELWIND","END CAP, MOTOR SIDE, LEVELWIND",APL/UW,66497,2,N/A,20140711,5000,
ATAPL-66497-00003,ATAPL-66497-00003,,,"END CAP, MOTOR SIDE, LEVELWIND","END CAP, MOTOR SIDE, LEVELWIND",APL/UW,66497,3,N/A,20140711,5000,
ATAPL-66497-00004,ATAPL-66497-00004,,,"END CAP, MOTOR SIDE, LEVELWIND","END CAP, MOTOR SIDE, LEVELWIND",APL/UW,66497,4,N/A,20140711,5000,
ATAPL-66497-00005,ATAPL-66497-00005,,,"END CAP, MOTOR SIDE, LEVELWIND","END CAP, MOTOR SIDE, LEVELWIND",APL/UW,66497,5,N/A,20140711,5000,
ATAPL-66497-00006,ATAPL-66497-00006,,,"END CAP, MOTOR SIDE, LEVELWIND","END CAP, MOTOR SIDE, LEVELWIND",APL/UW,66497,6,N/A,20140711,5000,
ATAPL-66497-00007,ATAPL-66497-00007,,,"END CAP, MOTOR SIDE, LEVELWIND","END CAP, MOTOR SIDE, LEVELWIND",APL/UW,66497,4814-66497,N/A,20140711,5000,
ATAPL-66662-00006,ATAPL-66662-00006,,,,,,,,,,,Missing from inventory
ATAPL-66662-00007,ATAPL-66662-00007,,,,,,,,,,,Missing from inventory
ATAPL-66664-00001,ATAPL-66664-00001,,,MENTOR GRAPHICS PADS LS SUITE SOFTWARE,MENTOR GRAPHICS PADS LS SUITE SOFTWARE,Mentor Graphics,PADS LS Suite,*9-483496F*,N/A,20120812,5360,
ATAPL-67597-00001,ATAPL-67597-00001,,,JUNIPER MX-80(40) ROUTER,JUNIPER MX-80(40) ROUTER,Juniper,MX80,CMMAW10BRA,N/A,20111006,22500,
ATAPL-67598-00001,ATAPL-67598-00001,,,JUNIPER EX4500 40 PORT 1/10G SFP+,JUNIPER EX4500 40 PORT 1/10G SFP+,Juniper,EX4500,GX0211309774,N/A,20111005,14500,
ATAPL-67600-00001,ATAPL-67600-00001,,,ROV Mateable Cable End Underwater Electrical Connector  (FACT),ROV Mateable Cable End Underwater Electrical Connector  (FACT),Teledyne ODI,1069478,1069478-1,N/A,20130523,20314,
ATAPL-67600-00002,ATAPL-67600-00002,,,ROV Mateable Cable End Underwater Electrical Connector  (FACT),ROV Mateable Cable End Underwater Electrical Connector  (FACT),Teledyne ODI,1069478,1069478-2,N/A,20130520,20314,
ATAPL-67600-00003,ATAPL-67600-00003,,,ROV Mateable Cable End Underwater Electrical Connector  (FACT),ROV Mateable Cable End Underwater Electrical Connector  (FACT),Teledyne ODI,1069478,1069478-3,N/A,20130520,20314,
ATAPL-67600-00004,ATAPL-67600-00004,,,ROV Mateable Cable End Underwater Electrical Connector  (FACT),ROV Mateable Cable End Underwater Electrical Connector  (FACT),Teledyne ODI,1069478,1069478-4,N/A,20130523,20314,
ATAPL-67600-00005,ATAPL-67600-00005,,,ROV Mateable Cable End Underwater Electrical Connector  (FACT),ROV Mateable Cable End Underwater Electrical Connector  (FACT),Teledyne ODI,1069478,1069478-5,N/A,20130516,19283,
ATAPL-67600-00006,ATAPL-67600-00006,,,ROV Mateable Cable End Underwater Electrical Connector  (FACT),ROV Mateable Cable End Underwater Electrical Connector  (FACT),Teledyne ODI,1069478,1069478-6,N/A,20130516,19283,
ATAPL-67600-00007,ATAPL-67600-00007,,,ROV Mateable Cable End Underwater Electrical Connector  (FACT),ROV Mateable Cable End Underwater Electrical Connector  (FACT),Teledyne ODI,1069478,1069478-7,N/A,20130516,19283,
ATAPL-67600-00008,ATAPL-67600-00008,,,ROV Mateable Cable End Underwater Electrical Connector  (FACT),ROV Mateable Cable End Underwater Electrical Connector  (FACT),Teledyne ODI,1069478,1069478-8,N/A,20130520,19283,
ATAPL-67600-00009,ATAPL-67600-00009,,,ROV Mateable Cable End Underwater Electrical Connector  (FACT),ROV Mateable Cable End Underwater Electrical Connector  (FACT),Teledyne ODI,1069478,1069478-9,N/A,20130520,19283,
ATAPL-67600-00010,ATAPL-67600-00010,,,ROV Mateable Cable End Underwater Electrical Connector  (FACT),ROV Mateable Cable End Underwater Electrical Connector  (FACT),Teledyne ODI,1069478,1069478-10,N/A,20130520,19283,
ATAPL-67600-00011,ATAPL-67600-00011,,,ROV Mateable Cable End Underwater Electrical Connector  (FACT),ROV Mateable Cable End Underwater Electrical Connector  (FACT),Teledyne ODI,1069478,1069478-11,N/A,20130520,19283,
ATAPL-67600-00012,ATAPL-67600-00012,,,ROV Mateable Cable End Underwater Electrical Connector  (FACT),ROV Mateable Cable End Underwater Electrical Connector  (FACT),Teledyne ODI,1069478,1069478-12,N/A,20130520,19283,
ATAPL-67600-00013,ATAPL-67600-00013,,,ROV Mateable Cable End Underwater Electrical Connector  (FACT),ROV Mateable Cable End Underwater Electrical Connector  (FACT),Teledyne ODI,1069478,1069478-13,N/A,20130520,19283,
ATAPL-67600-00014,ATAPL-67600-00014,,,ROV Mateable Cable End Underwater Electrical Connector  (FACT),ROV Mateable Cable End Underwater Electrical Connector  (FACT),Teledyne ODI,1069478,1069478-14,N/A,20130520,19283,
ATAPL-67600-00015,ATAPL-67600-00015,,,ROV Mateable Cable End Underwater Electrical Connector  (FACT),ROV Mateable Cable End Underwater Electrical Connector  (FACT),Teledyne ODI,1069478,1069478-15,N/A,20130522,19283,
ATAPL-67600-00016,ATAPL-67600-00016,,,ROV Mateable Cable End Underwater Electrical Connector  (FACT),ROV Mateable Cable End Underwater Electrical Connector  (FACT),Teledyne ODI,1069478,1069478-16,N/A,20130522,19283,
ATAPL-67600-00017,ATAPL-67600-00017,,,ROV Mateable Cable End Underwater Electrical Connector  (FACT),ROV Mateable Cable End Underwater Electrical Connector  (FACT),Teledyne ODI,1069478,1069478-17,N/A,20130522,19283,
ATAPL-67600-00018,ATAPL-67600-00018,,,ROV Mateable Cable End Underwater Electrical Connector  (FACT),ROV Mateable Cable End Underwater Electrical Connector  (FACT),Teledyne ODI,1069478,1069478-18,N/A,20130522,19283,
ATAPL-67600-00019,ATAPL-67600-00019,,,ROV Mateable Cable End Underwater Electrical Connector  (FACT),ROV Mateable Cable End Underwater Electrical Connector  (FACT),Teledyne ODI,1069478,1069478-19,N/A,20130522,19283,
ATAPL-67600-00020,ATAPL-67600-00020,,,ROV Mateable Cable End Underwater Electrical Connector  (FACT),ROV Mateable Cable End Underwater Electrical Connector  (FACT),Teledyne ODI,1069478,1069478-20,N/A,20130522,19283,
ATAPL-67600-00021,ATAPL-67600-00021,,,ROV Mateable Cable End Underwater Electrical Connector  (FACT),ROV Mateable Cable End Underwater Electrical Connector  (FACT),Teledyne ODI,1069478,1069478-21,N/A,20140806,20585,
ATAPL-67600-00022,ATAPL-67600-00022,,,ROV Mateable Cable End Underwater Electrical Connector  (FACT),ROV Mateable Cable End Underwater Electrical Connector  (FACT),Teledyne ODI,1069478,1069478-22,N/A,20140806,20585,
ATAPL-67600-00023,ATAPL-67600-00023,,,ROV Mateable Cable End Underwater Electrical Connector  (FACT),ROV Mateable Cable End Underwater Electrical Connector  (FACT),Teledyne ODI,1069478,1069478-23,N/A,20140806,20585,
ATAPL-67600-00024,ATAPL-67600-00024,,,ROV Mateable Cable End Underwater Electrical Connector  (FACT),ROV Mateable Cable End Underwater Electrical Connector  (FACT),Teledyne ODI,1069478,1069478-24,N/A,20140825,20585,
ATAPL-67601-00001,ATAPL-67601-00001,,,10M 12E ROV Plug/Plug Electrical  Jumper Assembly,10M 12E ROV Plug/Plug Electrical  Jumper Assembly,Teledyne ODI,1069481,1069481-1,N/A,20121009,8544,
ATAPL-67602-00001,ATAPL-67602-00001,,,50M ROV Mateable Underwater Electrical Connector Jumper Assembly,50M ROV Mateable Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069482,1069482-1,N/A,20121027,10745,
ATAPL-67602-00002,ATAPL-67602-00002,,,50M ROV Mateable Underwater Electrical Connector Jumper Assembly,50M ROV Mateable Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069482,1069482-2,N/A,20121027,10745,
ATAPL-67602-00003,ATAPL-67602-00003,,,50M ROV Mateable Underwater Electrical Connector Jumper Assembly,50M ROV Mateable Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069482,1069482-3,N/A,20130208,10745,
ATAPL-67602-00004,ATAPL-67602-00004,,,50M ROV Mateable Underwater Electrical Connector Jumper Assembly,50M ROV Mateable Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069482,1069482-4,N/A,20121027,10745,
ATAPL-67602-00005,ATAPL-67602-00005,,,50M ROV Mateable Underwater Electrical Connector Jumper Assembly,50M ROV Mateable Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069482,1069482-5,N/A,20121027,10745,
ATAPL-67602-00006,ATAPL-67602-00006,,,50M ROV Mateable Underwater Electrical Connector Jumper Assembly,50M ROV Mateable Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069482,1069482-6,N/A,20121027,10745,
ATAPL-67602-00007,ATAPL-67602-00007,,,50M ROV Mateable Underwater Electrical Connector Jumper Assembly,50M ROV Mateable Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069482,1069482-7,N/A,20130206,10745,
ATAPL-67602-00008,ATAPL-67602-00008,,,50M ROV Mateable Underwater Electrical Connector Jumper Assembly,50M ROV Mateable Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069482,1069482-8,N/A,20121009,11189,
ATAPL-67602-00009,ATAPL-67602-00009,,,50M ROV Mateable Underwater Electrical Connector Jumper Assembly,50M ROV Mateable Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069482,1069482-9,N/A,20130208,11189,
ATAPL-67602-00010,ATAPL-67602-00010,,,50M ROV Mateable Underwater Electrical Connector Jumper Assembly,50M ROV Mateable Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069482,1069482-10,N/A,20130208,11189,
ATAPL-67602-00011,ATAPL-67602-00011,,,50M ROV Mateable Underwater Electrical Connector Jumper Assembly,50M ROV Mateable Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069482,1069482-11,N/A,20130208,11189,
ATAPL-67602-00012,ATAPL-67602-00012,,,"50M ROV OBS/BOTPT/RASFL Electrical Jumper Assembly, 12-Way ROV CE Plug to ROV CE Plug","50M ROV OBS/BOTPT/RASFL Electrical Jumper Assembly, 12-Way ROV CE Plug to ROV CE Plug",Teledyne ODI,1069482,1069482-12,N/A,20130531,11189,
ATAPL-67602-00013,ATAPL-67602-00013,,,"50M ROV OBS/BOTPT/RASFL Electrical Jumper Assembly, 12-Way ROV CE Plug to ROV CE Plug","50M ROV OBS/BOTPT/RASFL Electrical Jumper Assembly, 12-Way ROV CE Plug to ROV CE Plug",Teledyne ODI,1069482,1069482-13,N/A,20130531,11189,
ATAPL-67602-00014,ATAPL-67602-00014,,,"50M ROV OBS/BOTPT/RASFL Electrical Jumper Assembly, 12-Way ROV CE Plug to ROV CE Plug","50M ROV OBS/BOTPT/RASFL Electrical Jumper Assembly, 12-Way ROV CE Plug to ROV CE Plug",Teledyne ODI,1069482,1069482-14,N/A,20130531,11189,
ATAPL-67602-00015,ATAPL-67602-00015,,,"50M ROV OBS/BOTPT/RASFL Electrical Jumper Assembly, 12-Way ROV CE Plug to ROV CE Plug","50M ROV OBS/BOTPT/RASFL Electrical Jumper Assembly, 12-Way ROV CE Plug to ROV CE Plug",Teledyne ODI,1069482,1069482-15,N/A,20130531,11189,
ATAPL-67603-00001,ATAPL-67603-00001,,,LEBUS GROOVED SLEEVE,LEBUS GROOVED SLEEVE,LEBUS,Custom,632565,N/A,20120214,5120,
ATAPL-67603-00002,ATAPL-67603-00002,,,"LeBus Grooved Sleeve (2 pcs) to fit winch drum 16"" OD x 12.25"" Wide","LeBus Grooved Sleeve (2 pcs) to fit winch drum 16"" OD x 12.25"" Wide",LEBUS,Custom,N/A,N/A,20130222,5120,
ATAPL-67604-00001,ATAPL-67604-00001,,,JUNOS SOFTWARE,JUNOS SOFTWARE,Junos,WW 11 1R1 14,750-021912,N/A,20111006,5000,
ATAPL-67612-00001,ATAPL-67612-00001,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-1,N/A,20121008,6073,
ATAPL-67612-00002,ATAPL-67612-00002,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-2,N/A,20130206,6073,
ATAPL-67612-00003,ATAPL-67612-00003,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-3,N/A,20130206,6073,
ATAPL-67612-00004,ATAPL-67612-00004,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-4,N/A,20130206,6073,
ATAPL-67612-00005,ATAPL-67612-00005,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-5,N/A,20121008,6073,
ATAPL-67612-00006,ATAPL-67612-00006,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-6,N/A,20121008,6073,
ATAPL-67612-00007,ATAPL-67612-00007,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-7,N/A,20121008,6073,
ATAPL-67612-00008,ATAPL-67612-00008,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-8,N/A,20121008,6073,
ATAPL-67612-00009,ATAPL-67612-00009,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-9,N/A,20130206,6073,
ATAPL-67612-00010,ATAPL-67612-00010,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-10,N/A,20130206,6073,
ATAPL-67612-00011,ATAPL-67612-00011,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-11,N/A,20130206,6073,
ATAPL-67612-00012,ATAPL-67612-00012,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-12,N/A,20130206,6073,
ATAPL-67612-00013,ATAPL-67612-00013,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-13,N/A,20121008,6073,
ATAPL-67612-00014,ATAPL-67612-00014,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-14,N/A,20121008,6073,
ATAPL-67612-00015,ATAPL-67612-00015,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-15,N/A,20121008,6073,
ATAPL-67612-00016,ATAPL-67612-00016,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-16,N/A,20121008,6073,
ATAPL-67612-00017,ATAPL-67612-00017,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-17,N/A,20121002,6073,
ATAPL-67612-00018,ATAPL-67612-00018,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-18,N/A,20121002,6073,
ATAPL-67612-00019,ATAPL-67612-00019,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-19,N/A,20121002,6073,
ATAPL-67612-00020,ATAPL-67612-00020,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-20,N/A,20121027,6073,
ATAPL-67612-00021,ATAPL-67612-00021,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-21,N/A,20130221,6073,
ATAPL-67612-00022,ATAPL-67612-00022,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-22,N/A,20130221,6073,
ATAPL-67612-00023,ATAPL-67612-00023,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-23,N/A,20130221,6073,
ATAPL-67612-00024,ATAPL-67612-00024,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-24,N/A,20130221,6073,
ATAPL-67612-00025,ATAPL-67612-00025,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-25,N/A,20130221,6073,
ATAPL-67612-00026,ATAPL-67612-00026,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-26,N/A,20130228,6073,
ATAPL-67612-00027,ATAPL-67612-00027,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-27,N/A,20130228,6073,
ATAPL-67612-00028,ATAPL-67612-00028,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-28,N/A,20130228,6073,
ATAPL-67612-00029,ATAPL-67612-00029,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-29,N/A,20130228,6073,
ATAPL-67612-00030,ATAPL-67612-00030,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-30,N/A,20130228,6073,
ATAPL-67612-00031,ATAPL-67612-00031,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-31,N/A,20130304,6073,
ATAPL-67612-00032,ATAPL-67612-00032,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-32,N/A,20130304,6073,
ATAPL-67612-00033,ATAPL-67612-00033,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-33,N/A,20130304,6073,
ATAPL-67612-00034,ATAPL-67612-00034,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-34,N/A,20130326,6073,
ATAPL-67612-00035,ATAPL-67612-00035,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-35,N/A,20130326,6073,
ATAPL-67612-00036,ATAPL-67612-00036,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-36,N/A,20130326,6073,
ATAPL-67612-00037,ATAPL-67612-00037,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-37,N/A,20130326,6073,
ATAPL-67612-00038,ATAPL-67612-00038,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-38,N/A,20130326,6073,
ATAPL-67612-00039,ATAPL-67612-00039,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-39,N/A,20130326,6073,
ATAPL-67612-00040,ATAPL-67612-00040,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-40,N/A,20130326,6073,
ATAPL-67612-00041,ATAPL-67612-00041,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-41,N/A,20130326,6073,
ATAPL-67612-00042,ATAPL-67612-00042,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-42,N/A,20130326,6073,
ATAPL-67612-00043,ATAPL-67612-00043,,,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,3M ROV Mateable Fixed to MHDXL Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1069483,1069483-43,N/A,20130326,6073,
