serial,uid
FLNTURTD-3099,ATAPL-70110-00001
FLNTURTD-3397,ATAPL-70110-00002
FLNTURTD-3468,ATAPL-70110-00003
FLNTURTD-3637,ATAPL-70110-00004
FLNTURTD-3638,ATAPL-70110-00005
FLNTURTD-3762,ATOSU-70110-00006
FLNTURTD-3398,ATOSU-70110-00007
