serial,uid
FLCDRTD-3098,ATAPL-70111-00001
FLCDRTD-3399,ATAPL-70111-00002
FLCDRTD-3460,ATAPL-70111-00003
FLCDRTD-3715,ATAPL-70111-00004
FLCDRTD-3716,ATAPL-70111-00005
FLCDRTD-3717,ATAPL-70111-00006
FLCDRTD-3400,ATOSU-70111-00007
