serial,uid
43-2463,ATAPL-58694-00001
43-2484,ATAPL-58694-00002
43-2891,ATAPL-58694-00003
43-2853,ATAPL-58694-00004
43-3163,ATAPL-58694-00005
43-3164,ATAPL-58694-00006
43-2853,ATOSU-58694-00004
43-3136,ATOSU-58694-00007
