serial,uid
1028,ATAPL-58322-00001
1129,ATAPL-58322-00002
1130,ATAPL-58322-00003
1131,ATAPL-58322-00004
1132,ATAPL-58322-00005
1194,ATAPL-58322-00006
1195,ATAPL-58322-00007
1292,ATAPL-58322-00009
1293,ATAPL-58322-00010
1297,ATAPL-58322-00011
1294,ATAPL-58322-00012
1150,ATOSU-58322-00008
1289,ATOSU-58322-00013
