serial,name,value,notes
43-2725,CC_frequency_offset,-7.999255e+002,date in filename comes from Soc-adjusted caldate; source_file DOFST-K_SBE43F_SN_2725_Calibration_2015-12-23.zip > SBE 43F O2725 SOCAjusted.pdf and 2725.cal
43-2725,CC_oxygen_signal_slope,2.9678e-004,adjusted Soc (O2 signal slope) value
43-2725,CC_residual_temperature_correction_factor_a,-3.386928e-003,
43-2725,CC_residual_temperature_correction_factor_b,1.610983e-004,
43-2725,CC_residual_temperature_correction_factor_c,-2.513118e-006,
43-2725,CC_residual_temperature_correction_factor_e,0.036,
