serial,name,value,notes
43-2708,CC_frequency_offset,-808.6877,date in filename comes from Soc-adjusted caldate; source_file DOFST-K_SBE43F_SN_2708_Calibration_2017-07-11.zip > SBE 43F O2708 SOCAdjusted.pdf and 2708.cal
43-2708,CC_oxygen_signal_slope,3.5742e-004,adjusted Soc (O2 signal slope) value
43-2708,CC_residual_temperature_correction_factor_a,-2.304151e-003,
43-2708,CC_residual_temperature_correction_factor_b,1.897269e-004,
43-2708,CC_residual_temperature_correction_factor_c,-2.770133e-006,
43-2708,CC_residual_temperature_correction_factor_e,0.036,
