serial,name,value,notes
37-13381,CC_a0,-1.276644e-004,
37-13381,CC_a1,3.086984e-004,
37-13381,CC_a2,-4.427291e-006,
37-13381,CC_a3,1.989085e-007,
37-13381,CC_cpcor,-9.57E-08,
37-13381,CC_ctcor,3.25E-06,
37-13381,CC_g,-9.847882e-001,
37-13381,CC_h,1.384458e-001,
37-13381,CC_i,-1.853176e-004,
37-13381,CC_j,3.265416e-005,
37-13381,CC_p_range,1450,
37-13381,CC_pa0,1.244958e-002,
37-13381,CC_pa1,4.563807e-003,
37-13381,CC_pa2,-3.319975e-011,
37-13381,CC_ptca0,5.239532e+005,
37-13381,CC_ptca1,2.195313e-001,
37-13381,CC_ptca2,-4.478904e-003,
37-13381,CC_ptcb0,2.509950e+001,
37-13381,CC_ptcb1,-1.00E-04,
37-13381,CC_ptcb2,0.00E+00,
37-13381,CC_ptempa0,1.433993e+002,
37-13381,CC_ptempa1,-6.866969e-002,
37-13381,CC_ptempa2,8.364426e-007,
37-13381,CC_wbotc,1.8729e-007,
