serial,name,value,notes
37-13378,CC_a0,-7.929082e-005,
37-13378,CC_a1,2.988198e-004,
37-13378,CC_a2,-3.790267e-006,
37-13378,CC_a3,1.843419e-007,
37-13378,CC_cpcor,-9.57E-08,
37-13378,CC_ctcor,3.25E-06,
37-13378,CC_g,-9.867322e-001,
37-13378,CC_h,1.371541e-001,
37-13378,CC_i,-1.613243e-004,
37-13378,CC_j,3.159696e-005,
37-13378,CC_p_range,1450,
37-13378,CC_pa0,5.598800e-001,
37-13378,CC_pa1,4.575994e-003,
37-13378,CC_pa2,-3.347288e-011,
37-13378,CC_ptca0,5.244597e+005,
37-13378,CC_ptca1,4.542637e+000,
37-13378,CC_ptca2,3.016334e-002,
37-13378,CC_ptcb0,2.495525e+001,
37-13378,CC_ptcb1,-1.50E-04,
37-13378,CC_ptcb2,0.00E+00,
37-13378,CC_ptempa0,1.544319e+002,
37-13378,CC_ptempa1,-6.023943e-002,
37-13378,CC_ptempa2,-1.223445e-006,
37-13378,CC_wbotc,1.5435e-007,
