serial,name,value,notes
37-12635,CC_a0,-1.316942e-04,source_file 3305-00101-00775-A_SN_37-12635_QCT_Results_CTDMO-Q.txt
37-12635,CC_a1,3.062106e-04,
37-12635,CC_a2,-4.197297e-06,
37-12635,CC_a3,1.964285e-07,
37-12635,CC_cpcor,-9.570000e-08,
37-12635,CC_ctcor,3.250000e-06,
37-12635,CC_g,-1.000003e+00,
37-12635,CC_h,1.586142e-01,
37-12635,CC_i,-1.992360e-04,
37-12635,CC_j,4.106999e-05,
37-12635,CC_p_range,1450,
37-12635,CC_pa0,2.425380e-01,
37-12635,CC_pa1,4.506246e-03,
37-12635,CC_pa2,-2.338813e-11,
37-12635,CC_ptca0,5.245144e+05,
37-12635,CC_ptca1,1.650586e+00,
37-12635,CC_ptca2,3.242212e-02,
37-12635,CC_ptcb0,2.549575e+01,
37-12635,CC_ptcb1,-2.500000e-04,
37-12635,CC_ptcb2,0.000000e+00,
37-12635,CC_ptempa0,-7.129123e+01,
37-12635,CC_ptempa1,4.958098e-02,
37-12635,CC_ptempa2,-2.228129e-07,
37-12635,CC_wbotc,3.316240e-08,
