serial,name,value,notes
26P-1392,CC_b,2796.2,source_file 3305-00105-00094-A_SN_26-1392_QCT_Results_PRESF-B.zip > 3305-00105-00094-A.cap
26P-1392,CC_c1,2.064659e+03,
26P-1392,CC_c2,1.416356e+01,
26P-1392,CC_c3,-3.193857e+03,
26P-1392,CC_d1,1.165500e-02,
26P-1392,CC_d2,0.000000e+00,
26P-1392,CC_m,41943.0,
26P-1392,CC_offset_correction_factor,0,Constant
26P-1392,CC_pressure_offset_calibration_coefficient,-2.094000e-01,
26P-1392,CC_slope_correction_factor,1,Constant
26P-1392,CC_t1,2.761045e+01,
26P-1392,CC_t2,2.362710e-01,
26P-1392,CC_t3,1.669386e+01,
26P-1392,CC_t4,3.230367e+01,
26P-1392,CC_u0,5.843641e+00,
26P-1392,CC_y1,-3.952915e+03,
26P-1392,CC_y2,-1.037722e+04,
26P-1392,CC_y3,0.000000e+00,
