serial,name,value,notes
1323,CC_angular_resolution,1.076,Constant; source_file FLORT-D_BBFL2W_SN_1323_Calibration_Files_2020-01-29.zip > BBFL2W-1323_CharSheets.pdf
1323,CC_dark_counts_cdom,46,
1323,CC_dark_counts_chlorophyll_a,51,
1323,CC_dark_counts_volume_scatter,51,
1323,CC_depolarization_ratio,0.039,Constant
1323,CC_measurement_wavelength,700,Constant
1323,CC_scale_factor_cdom,0.0665,
1323,CC_scale_factor_chlorophyll_a,0.0117,
1323,CC_scale_factor_volume_scatter,2.407E-06,
1323,CC_scattering_angle,124,Constant
