serial,name,value,notes
16-50014,CC_a0,1.27736070e-003,date in filename comes from latest sensor caldate within factory xmlcon file
16-50014,CC_a1,2.72466557e-004,
16-50014,CC_a2,-1.25687894e-006,
16-50014,CC_a3,1.84618354e-007,
16-50014,CC_cpcor,-9.57000000e-008,
16-50014,CC_ctcor,3.2500e-006,
16-50014,CC_g,-9.82689441e-001,
16-50014,CC_h,1.38875339e-001,
16-50014,CC_i,-2.25466654e-004,
16-50014,CC_j,3.58343256e-005,
16-50014,CC_pa0,1.80788770e-001,
16-50014,CC_pa1,4.89174984e-004,
16-50014,CC_pa2,-7.38572229e-012,
16-50014,CC_ptca0,5.24801589e+005,
16-50014,CC_ptca1,3.67947118e+001,
16-50014,CC_ptca2,-9.05379067e-001,
16-50014,CC_ptcb0,2.49938750e+001,
16-50014,CC_ptcb1,-2.50000000e-005,
16-50014,CC_ptcb2,0.00000000e+000,
16-50014,CC_ptempa0,-5.83915741e+001,
16-50014,CC_ptempa1,5.36333690e+001,
16-50014,CC_ptempa2,-4.45109397e-001,
