serial,name,value,notes
16-50015,CC_a0,0.001258916,
16-50015,CC_a1,0.000273846,
16-50015,CC_a2,-1.12E-06,
16-50015,CC_a3,1.83E-07,
16-50015,CC_cpcor,-9.57E-08,
16-50015,CC_ctcor,3.25E-06,
16-50015,CC_g,-0.9897273,
16-50015,CC_h,0.1386653,
16-50015,CC_i,-0.000203337,
16-50015,CC_j,3.40E-05,
16-50015,CC_pa0,0.120444996,
16-50015,CC_pa1,0.00048853,
16-50015,CC_pa2,-6.58E-12,
16-50015,CC_ptca0,524643.366,
16-50015,CC_ptca1,24.0752373,
16-50015,CC_ptca2,-0.593404536,
16-50015,CC_ptcb0,25.027625,
16-50015,CC_ptcb1,-0.000675,
16-50015,CC_ptcb2,0,
16-50015,CC_ptempa0,-58.6949728,
16-50015,CC_ptempa1,54.6728393,
16-50015,CC_ptempa2,-0.637636156,
