serial,name,value,notes
16-50006,CC_a0,1.28849322e-003,date in filename comes from latest sensor caldate within factory xmlcon file
16-50006,CC_a1,2.66639421e-004,
16-50006,CC_a2,-4.48351886e-007,
16-50006,CC_a3,1.53281098e-007,
16-50006,CC_cpcor,-9.57000000e-008,
16-50006,CC_ctcor,3.2500e-006,
16-50006,CC_g,-9.69310176e-001,
16-50006,CC_h,1.39786647e-001,
16-50006,CC_i,-2.78860084e-004,
16-50006,CC_j,3.97667532e-005,
16-50006,CC_pa0,6.03790814e-002,
16-50006,CC_pa1,4.87432685e-004,
16-50006,CC_pa2,-5.43410105e-012,
16-50006,CC_ptca0,5.25772552e+005,
16-50006,CC_ptca1,1.28298513e+001,
16-50006,CC_ptca2,-3.20111034e-001,
16-50006,CC_ptcb0,2.51311250e+001,
16-50006,CC_ptcb1,6.25000000e-004,
16-50006,CC_ptcb2,0.00000000e+000,
16-50006,CC_ptempa0,-6.18132030e+001,
16-50006,CC_ptempa1,5.53644869e+001,
16-50006,CC_ptempa2,-6.48134414e-001,
