serial,name,value,notes
16-7243,CC_a0,1.261852e-03,date in filename comes from latest sensor caldate within QCT cap file
16-7243,CC_a1,2.716501e-04,
16-7243,CC_a2,-8.098116e-07,
16-7243,CC_a3,1.676874e-07,
16-7243,CC_cpcor,-9.570000e-08,
16-7243,CC_ctcor,3.250000e-06,
16-7243,CC_g,-9.736261e-01,
16-7243,CC_h,1.539251e-01,
16-7243,CC_i,-4.222646e-04,
16-7243,CC_j,5.599152e-05,
16-7243,CC_pa0,-3.171533e-02,
16-7243,CC_pa1,4.881763e-04,
16-7243,CC_pa2,-4.547369e-12,
16-7243,CC_ptca0,5.255235e+05,
16-7243,CC_ptca1,-3.616292e+00,
16-7243,CC_ptca2,4.298848e-02,
16-7243,CC_ptcb0,2.506838e+01,
16-7243,CC_ptcb1,6.750000e-04,
16-7243,CC_ptcb2,0.000000e+00,
16-7243,CC_ptempa0,-6.660863e+01,
16-7243,CC_ptempa1,5.386082e+01,
16-7243,CC_ptempa2,-7.939278e-01,
