OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00089,,PAR for WFP Coastal ML13103-02,Sensor,20465,,
N00090,,VEL3D for WFP Coastal ML13103-02,Sensor,100037,,
,,,,,,
A00848,ML13103-03,WFP COASTAL,Profiler,ML13103-03,1/28/2014,
N00092,,CTD for WFP Coastal 13103-03,Sensor,126,,
N00093,,DOSTA for WFP Coastal 13103-03,Sensor,43-2725,,
N00094,,FLOR for WFP Coastal 13103-03,Sensor,1118,,
N00096,,PAR for WFP Coastal 13103-03,Sensor,20468,,
N00097,,VEL3D for WFP Coastal 13103-03,Sensor,100036,,
,,,,,,
A00848,ML13103-03,WFP COASTAL,Profiler,ML13103-03,5/1/2016,
N00092,,CTD for WFP Coastal 13103-03,Sensor,126,,
N00093,,DOSTA for WFP Coastal 13103-03,Sensor,43-2725,,
N00094,,FLOR for WFP Coastal 13103-03,Sensor,1118,,
N00096,,PAR for WFP Coastal 13103-03,Sensor,20468,,
N00097,,VEL3D for WFP Coastal 13103-03,Sensor,100036,,
,,,,,,
A00849,ML13103-04,WFP COASTAL,Profiler,ML13103-04,1/28/2014,
N00099,,CTD for WFP Coastal 13103-04,Sensor,127,,
N00100,,DOSTA for WFP Coastal 13103-04,Sensor,43-2726,,
N00101,,FLOR for WFP Coastal 13103-04,Sensor,1100,,
N00103,,PAR for WFP Coastal 13103-04,Sensor,20467,,
N00104,,VEL3D for WFP Coastal 13103-04,Sensor,100033,,
,,,,,,
A00849,ML13103-04,WFP COASTAL,Profiler,ML13103-04,5/1/2016,
N00099,,CTD for WFP Coastal 13103-04,Sensor,127,,
N00100,,DOSTA for WFP Coastal 13103-04,Sensor,43-2726,,
N00101,,FLOR for WFP Coastal 13103-04,Sensor,1100,,
N00103,,PAR for WFP Coastal 13103-04,Sensor,20467,,
N00104,,VEL3D for WFP Coastal 13103-04,Sensor,100033,,
,,,,,,
A00850,ML13103-05,WFP COASTAL,Profiler,ML13103-05,1/28/2014,
N00106,,CTD for WFP Coastal 13103-05,Sensor,128,,
N00107,,DOFST for WFP Coastal 13103-05,Sensor,43-2628,,
N00108,,FLOR for WFP Coastal 13103-05,Sensor,1101,,
N00110,,PAR for WFP Coastal 13103-05,Sensor,20466,,
N00111,,VEL3D for WFP Coastal 13103-05,Sensor,100034,,
,,,,,,
A00850,ML13103-05,WFP COASTAL,Profiler,ML13103-05,5/1/2016,
N00106,,CTD for WFP Coastal 13103-05,Sensor,128,,
N00107,,DOFST for WFP Coastal 13103-05,Sensor,43-2628,,
N00108,,FLOR for WFP Coastal 13103-05,Sensor,1101,,
N00110,,PAR for WFP Coastal 13103-05,Sensor,20466,,
N00111,,VEL3D for WFP Coastal 13103-05,Sensor,100034,,
,,,,,,
A01080,ML12774-01,WFP GLOBAL,Profiler,ML12774-01,9/25/2014,
N00170,,CTD for WFP Coastal 12774-01,Sensor,97,,
N00171,,DOSTA for WFP Coastal 12774-01,Sensor,1106,,
N00172,,FLOR for WFP Coastal 12774-01,Sensor,2350,,
,,PAR for WFP Coastal 12774-01,Sensor,N/A,,
N00173,,VEL3D for WFP Coastal 12774-01,Sensor,1025-ML12774-01,,
,,,,,,
A00268,ML12997-01,WFP GLOBAL,Profiler,ML12997-01,3/20/2013,
N00614,,CTD for WFP Coastal 12997-01,Sensor,115,,
N00613,,DOSTA for WFP Coastal 12997-01,Sensor,1105,,
N00612,,FLOR for WFP Coastal 12997-01,Sensor,2934,,
,,PAR for WFP Coastal 12997-01,Sensor,N/A,,
N00615,,VEL3D for WFP Coastal 12997-01,Sensor,1026,,
,,,,,,
A00630,ML13104-01,WFP GLOBAL,Profiler,ML13104-01,7/11/2014,
N00113,,CTD for WFP Coastal 13104-01,Sensor,131,,
N00114,,DOSTA for WFP Coastal 13104-01,Sensor,1476,,
N00115,,FLOR for WFP Coastal 13104-01,Sensor,3280,,
,,PAR for WFP Coastal 13104-01,Sensor,N/A,,
N00116,,VEL3D for WFP Coastal 13104-01,Sensor,1109-ML13104-01D,,
,,,,,,
A00631,ML13104-02,WFP GLOBAL,Profiler,ML13104-02,1/15/2015,
