OOIBARCODE,Int_Asset,DESCRIPTION ,Type,serial_number,Date,Comments
OL000253,CP03ISSM-00004,,Mooring,CP03ISSM-00004,5/18/2016,
N00734,,METBK-Log S/N,Sensor,LGR008,,
A01712,,PCO2A S/N,Sensor,35-264-50A,,
A00410,,VELPT S/N,Sensor,AQD 11377,,
,,WAVSS S/N,,,,
OL000254,,MOPAK S/N,Sensor,CP03ISSM-00005-MOPAK,,
,,ADCP S/N,,,,
A00082,,CTDBP S/N,Sensor,16P71174-7208,,
OL000257,,DOSTA S/N,Sensor,515,,
A00409,,FLORT S/N,Sensor,1102,,
A00879,,NUTNR S/N,Sensor,268,,
,,NUTNR Batt S/N,,,,
A00996,,OPTAA S/N,Sensor,185,,
,,PCO2W S/N,,,,
A00423,,PHSEN S/N,Sensor,P0099,,
OL000259,,SPKIR S/N,Sensor,301,,
A00412,,VELPT S/N,Sensor,AQD 11386,,
,,MFN AcousticRelease S/N,,,,
,,MFN AcousticRelease S/N,,,,
,,ARM AcousticRelease S/N,,,,
A00205,,ADCP S/N,Sensor,19221,,
,,CAMDS S/N,,,,
A00700,,CTDBP S/N,Sensor,16-50008,,
OL000258,,DOSTA S/N,Sensor,516,,
A00497,,OPTAA S/N,Sensor,151,,
A01000,,PCO2W S/N,Sensor,C0097,,
A00388,,PHSEN S/N,Sensor,P0095,,
A00051,,PRESF S/N,Sensor,26P64515-1329,,
,,VELPT S/N,Sensor,,,
,,VEL3D S/N,,,,
A01771,,ZPLSC S/N,Sensor,55103,,
OL000255,,HYDGN S/N,Sensor,CP03ISSM-00004-HYDGN1,,
OL000256,,HYDGN S/N,Sensor,CP03ISSM-00004-HYDGN2,,
OL000263,,DCL S/N,,CP03ISSM-00004-DCL11,,
OL000264,,DCL S/N,,CP03ISSM-00004-DCL12,,
OL000265,,DCL S/N,,0009,,
OL000266,,DCL S/N,,0018,,
OL000267,,DCL S/N,,0013,,
OL000268,,DCL S/N,,0007,,
OL000260,,CPM S/N,,CP03ISSM-00004-CPM1,,
OL000261,,CPM S/N,,CP03ISSM-00004-CPM2,,
OL000262,,CPM S/N,,CP03ISSM-00004-CPM4,,
