OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
A00227,CE01ISSM-00001,,Mooring,CE01ISSM-00001,4/17/2014,
A00239,,VELPT S/N,Sensor,AQD 8535,,
,,WAVSS S/N,,,,
,,ADCP S/N,,,,
A00127,,CTDBP S/N,Sensor,16P71879-7241,,
A00173,,DOSTA S/N,Sensor,135,,
A00218,,FLORT S/N,Sensor,995,,
A00086,,NUTNR S/N,Sensor,243,,
,,NUTNR Batt S/N,,,,
A00288,,OPTAA S/N,Sensor,ACS-135,,
A00258,,PCO2W S/N,Sensor,C0061,,
A00261,,PHSEN S/N,Sensor,P0083,,
A00094,,SPKIR S/N,Sensor,231,,
A00237,,VELPT S/N,Sensor,AQD 8539,,
,,MFN AcousticRelease S/N,,,,
,,MFN AcousticRelease S/N,,,,
,,ARM AcousticRelease S/N,,,,
A00056,,ADCP S/N,Sensor,18225,,
,,CAMDS S/N,,,,
A00126,,CTDBP S/N,Sensor,16P71879-7240,,
A00174,,DOSTA S/N,Sensor,136,,
A00575,,OPTAA S/N,Sensor,ACS-136,,
A00260,,PCO2W S/N,Sensor,C0063,,
A00250,,PHSEN S/N,Sensor,P0084,,
A00248,,PRESF S/N,Sensor,26P71826-1351,,
,,VELPT S/N,,,,
A00061,,VEL3D S/N,Sensor,9668,,
,,ZPLSC S/N,,,,
OL000180,,CE01ISSM-SBC11ENG,,,,
OL000181,,CE01ISSM-MFC31ENG,,,,
OL000182,,CE01ISSM-SBD17ENG,,,,
OL000183,,CE01ISSM-RID16ENG,,,,
OL000184,,CE01ISSM-MFD35ENG,,,,
OL000185,,CE01ISSM-MFD37ENG,,,,
