OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
OL000222,CP01CNSM-00004,,Mooring,CP01CNSM-00005,5/10/2016,
OL000227,,FDCHP (anemometer) S/N,,144727,,
,,FDCHP (housing) S/N,,,,
OL000226,,METBK S/N,Sensor,LGR033,,
N00755,,METBK S/N,Sensor,LGR013,,
A01711,,PCO2A S/N,Sensor,35-263-50A,,
A00411,,VELPT S/N,Sensor,AQD 11382,,
A00968,,WAVSS S/N,Sensor,05781,,
OL000223,,MOPAK S/N,Sensor,6223-4220-4364,,
A01220,,ADCP S/N,Sensor,22672,,
A00054,,CTDBP S/N,Sensor,16P64183-6841,,
A00864,,DOSTA S/N,Sensor,378,,
A00888,,FLORT S/N,Sensor,1213,,
A00384,,NUTNR S/N,Sensor,261,,
,,NUTNR Batt S/N,Sensor,,,
A00178,,OPTAA S/N,Sensor,129,,
A00063,,PCO2W S/N,Sensor,C0051,,
A00392,,PHSEN S/N,Sensor,P0100,,
A00858,,SPKIR S/N,Sensor,270,,
A00415,,VELPT S/N,Sensor,AQD 11397,,
,,MFN AcousticRelease S/N,,,,
,,MFN AcousticRelease S/N,,,,
,,ARM AcousticRelease S/N,,,,
,,ADCP S/N,Sensor,,,
,,CAMDS S/N,Sensor,,,
A01106,,CTDBP S/N,Sensor,16-50058,,
A00894,,DOSTA S/N,Sensor,388,,
A01329,,OPTAA S/N,Sensor,241,,
,,PCO2W S/N,Sensor,,,
A01346,,PHSEN S/N,Sensor,P0156,,
A01141,,PRESF S/N,Sensor,26-1392,,
,,VELPT S/N,Sensor,,,
,,VEL3D S/N,Sensor,,,
A01107,,ZPLSC S/N,Sensor,55074,,
OL000224,,HYDGN 1,Sensor,CP01CNSM-SBD11-HYDGN,,
OL000225,,HYDGN 2,Sensor,CP01CNSM-SBD12-HYDGN,,
OL000228,,Communications and Power Manager,Sensor,CP01CNSM-00005-CPM11,,
OL000229,,Communications and Power Manager,Sensor,CP01CNSM-00005-CPM21,,
OL000230,,Communications and Power Manager,Sensor,CP01CNSM-00005-CPM31,,
OL000231,,Data Concetrator Logger,Sensor,CP01CNSM-00005-DCL11,,
OL000232,,Data Concetrator Logger,Sensor,CP01CNSM-00005-DCL12,,
OL000233,,Data Concetrator Logger,Sensor,0006,,
OL000234,,Data Concetrator Logger,Sensor,0007,,
OL000235,,Data Concetrator Logger,Sensor,0008,,
OL000236,,Data Concetrator Logger,Sensor,0007,,
