OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
OL000033,GS03FLMA-00002,,Mooring,GS03FLMA-00002,12/16/2015,
,,GPS S/N,,3.00E+14,,
,,XEOS S/N,,,,
,,Flasher S/N,,,,
OL000034,,Controller S/N,,14877,,
OL000036,,DOSTA S/N,Sensor,498,,
A01651,,FLORD S/N,Sensor,1321,,
A01715,,PHSEN S/N,Sensor,P0182,,
A01590,,CTDMO S/N,Sensor,37-13635,,
,,GPS S/N,,,,
,,XEOS S/N,,,,
,,Flasher S/N,,,,
OL000035,,Controller S/N,,14883,,
,,ACOMM S/N,,,,
A00568,,ADCP S/N,Sensor,20502,,
A01598,,CTDMO S/N,Sensor,37-13636,,
,,Battery Pack S/N,,,,
,,Battery Pack S/N,,,,
A01390,,CTDMO S/N,Sensor,37-13638,,
A01591,,CTDMO S/N,Sensor,37-13637,,
A01596,,CTDMO S/N,Sensor,37-13642,,
A01589,,CTDMO S/N,Sensor,37-13626,,
A01600,,CTDMO S/N,Sensor,37-13645,,
A01601,,CTDMO S/N,Sensor,37-13643,,
A01588,,CTDMO S/N,Sensor,37-13625,,
A01604,,CTDMO S/N,Sensor,37-13652,,
A01607,,CTDMO S/N,Sensor,37-13653,,
A01605,,CTDMO S/N,Sensor,37-13655,,
,,AcousticRelease S/N,,,,
,,AcousticRelease S/N,,,,
,,AcousticRelease S/N,,,,
