OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
OL000251,CP04OSPM-00005,,Mooring,CP04OSPM-00005,5/9/2016,
,,STC Endcap S/N,,,,
,,RTE S/N,,,,
,,MOPAK S/N,,,,
,,Stretch Hose S/N,,,,
,,AcousticRelease S/N,,,,
,,AcousticRelease S/N (line Pack),,,,
A00848,,CWFP,Profiler,ML13103-03,,
