OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00213,CE07SHSM-00001,,Mooring,CE07SHSM-00001,4/5/2015,
N00734,,METBK-Log S/N,Sensor,LGR8,,
N00734,,METBK-BPR S/N,Sensor,LGR8,,
N00734,,METBK-CT S/N,Sensor,LGR8,,
N00734,,METBK-HRH S/N,Sensor,LGR8,,
N00734,,METBK-LWR S/N,Sensor,LGR8,,
N00734,,METBK-PRC S/N,Sensor,LGR8,,
N00734,,METBK-SWR S/N,Sensor,LGR8,,
N00734,,METBK-WND S/N,Sensor,LGR8,,
N00676,,PCO2WA S/N,Sensor,34-196-50A,,
A00577,,VELPT S/N,Sensor,AQD 6328,,
A00793,,WAVSS S/N,Sensor,5271,,
,,MOPAK S/N,,,,
A00055,,ADCP S/N,Sensor,18222,,
A01040,,CTDBP S/N,Sensor,16-50007,,
A00427,,DOSTA S/N,Sensor,217,,
A00614,,FLORT S/N,Sensor,1152,,
A00122,,NUTNR S/N,Sensor,253,,
,,NUTNR Batt S/N,,,,
A00206,,OPTAA S/N,Sensor,ACS-124,,
,,PCO2W S/N,,N/A,,
A00263,,PHSEN S/N,Sensor,P0088,,
A00435,,SPKIR S/N,Sensor,242,,
N00418,,VELPT S/N,Sensor,AQD 11405,,
,,MFN AcousticRelease S/N,,,,
,,MFN AcousticRelease S/N,,,,
,,ARM AcousticRelease S/N,,,,
A00243,,ADCP S/N,Sensor,19000,,
N00677,,CAMDS S/N,Sensor,0484-6102-0113,,
A01037,,CTDBP S/N,Sensor,16-50009,,
A00428,,DOSTA S/N,Sensor,218,,
A00130,,OPTAA S/N,Sensor,ACS-127,,
A00798,,PCO2W S/N,Sensor,C0083,,
A00649,,PHSEN S/N,Sensor,P0120,,
A01012,,PRESF S/N,Sensor,26P76848-1384,,
,,VELPT S/N,,N/A,,
A01029,,VEL3D S/N,Sensor,11707,,
A01153,,ZPLSC S/N,Sensor,55078,,
