OOI BARCODE,DESCRIPTION OF EQUIPMENT,QUANT,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,Source of the Equipment/Award No. or PO No.,Whether Title Vests in Recipient or Federal Gov,LOCATION,ROOM NUMBER/CUSTODY,COND.,ACQUISITION DATE,ORIGINAL COST,PERCENTAGE OF FEDERAL PARTICIPATION,comments,primary_tag_date,primary_tag_organization,primary_institute_asset_tag,secondary_tag_date,second_tag_organization,institute_asset_tag,doi_tag_date,doi_tag_organization,doi_institute_asset_tag
A00824,DISA SIM CARD COASTAL SURFACE PIERCING PROFILER,1,DISA,SIM,89-88-169-312-003-910-258,,CAP,WHOI,UNV,OSU,A,20130429,0,100%,not on osu list,20130429,WHOI,116467,,,,,,
A00825,BLOCK SNATCH MODIFIED,1,AW NIEMEYER GMBH,4501369,NA,,K117622,WHOI,CRL,HIBA,A,20140509,8740.27,100%,,20140509,WHOI,116468,,,,,,
A00826,MODEM OMNI DIRECTIONAL,1,TELEDYNE BENTHOS,ATM-916-LF1,63162,,E115374,WHOI,LOSO,102,A,20140331,7500,100%,,20140331,WHOI,116480,,,,,,
A00827,MODEM OMNI DIRECTIONAL,1,TELEDYNE BENTHOS,ATM-916-LF1,63163,,E115374,WHOI,LOSO,102,A,20140428,7500,100%,,20140428,WHOI,116481,,,,,,
A00828,MODEM OMNI DIRECTIONAL,1,TELEDYNE BENTHOS,ATM-916-LF1,63165,,E115374,WHOI,LOSO,102,A,20140428,7500,100%,,20140428,WHOI,116482,,,,,,
A00829,MODEM OMNI DIRECTIONAL,1,TELEDYNE BENTHOS,ATM-916-LF1,63167,,E115374,WHOI,LOSO,102,A,20140428,7500,100%,,20140428,WHOI,116483,,,,,,
A00830,MODEM OMNI DIRECTIONAL,1,TELEDYNE BENTHOS,ATM-916-LF1,63161,,E115374,WHOI,UNV,OSU,A,20140331,7500,100%,,20140331,WHOI,116484,4/28/2014,OSU,326148,,,
A00831,MODEM OMNI DIRECTIONAL,1,TELEDYNE BENTHOS,ATM-916-LF1,63164,,E115374,WHOI,UNV,OSU,A,20140428,7500,100%,,20140428,WHOI,116485,4/28/2014,OSU,326149,,,
A00832,MODEM OMNI DIRECTIONAL,1,TELEDYNE BENTHOS,ATM-916-LF1,63166,,E115374,WHOI,UNV,OSU,A,20140428,7500,100%,,20140428,WHOI,116486,4/28/2014,OSU,326150,,,
A00833,MODEM OMNI DIRECTIONAL,1,TELEDYNE BENTHOS,ATM-916-LF1,63168,,E115374,WHOI,UNV,OSU,A,20140428,7500,100%,,20140428,WHOI,116487,4/28/2014,OSU,326151,,,
A00834,MODEM OMNI DIRECTIONAL,1,TELEDYNE BENTHOS,ATM-916-LF1,62919,,E115374,WHOI,UNV,OSU,A,20140327,7500,100%,,20140327,WHOI,116488,3/27/2014,OSU,326152,,,
A00835,SENSOR CTD,1,SEA-BIRD ELECTRONICS,SBE-52-MP,138,,E115185,WHOI,ATS,SEA,A,20140128,9966,100%,,20140128,WHOI,116117,4/28/2014,osu,326132,9/4/2015,DOI,
A00836,ACOUSTIC CURRENT METER,1,FALMOUTH SCIENTIFIC,ACM-PLUS-MP,1131,,E115185,WHOI,UNV,OSU,A,20140128,10850,100%,,20140128,WHOI,116118,4/8/2014,OSU,326145,,,
A00837,FLUOROMETER,1,Wet Labs,FLNTURTD,3398,,E115185,WHOI,ATS,SEA,A,20140128,6665,100%,UW Claims they have asset,20140128,WHOI,116119,4/8/2014,OSU,326146,9/4/2015,DOI,
A00838,FLUOROMETER,1,Wet Labs,FLCDRTD,3400,,E115185,WHOI,ATS,SEA,A,20140128,6665,100%,UW Claims they have asset,20140128,WHOI,116120,4/8/2014,OSU,326147,9/4/2015,DOI,
A00839,DISA SIM CARD GLOBAL GLIDER,1,DISA,,89-88-169-312-003-910-167,,CAP,WHOI,,,F,20130320,0,100%,LOST AT SEA,20130320,WHOI,116491,,,,,,
A00840,DISA SIM CARD GLOBAL GLIDER,1,DISA,,89-88-169-312-003-910-159,,CAP,WHOI,,,F,20150623,0,100%,LOST AT SEA,20150623,WHOI,116492,,,,,,
A00841,DISA SIM CARD GLOBAL GLIDER,1,DISA,SIM,89-88-169-312-003-910-175,,CAP,WHOI,LOSO,202,A,20130320,0,100%,,20130320,WHOI,116493,,,,,,
A00842,DISA SIM CARD GLOBAL GLIDER,1,DISA,,89-88-169-312-003-910-183,,CAP,WHOI,,,F,20150707,0,100%,LOST AT SEA,20150707,WHOI,116494,,,,,,
A00843,DISA SIM CARD GLOBAL GLIDER,1,DISA,SIM,89-88-169-312-003-910-191,,CAP,WHOI,LOSO,202,A,20130320,0,100%,LOST AT SEA,20130320,WHOI,116496,,,,,,
A00844,DISA SIM CARD GLOBAL GLIDER,1,DISA,,89-88-169-312-003-910-191,,CAP,WHOI,,,F,20130320,0,100%,,20130320,WHOI,116495,,,,,,
A00845,DISA SIM CARD GLOBAL GLIDER,1,DISA,SIM,89-88-169-312-003-910-217,,CAP,WHOI,LOSO,202,A,20130320,0,100%,,20130320,WHOI,116498,,,,,,
A00846,WFP COASTAL,1,MCLANE,MMP-7,ML13103-01,,D100167,WHOI,LOSO,HIBA,A,20140128,94082,100%,,20140128,WHOI,116499,,,,9/4/2015,DOI,
A00847,WFP COASTAL,1,MCLANE,MMP-7,ML13103-02,,D100167,WHOI,ATS,SEA,A,20140128,94082,100%,,20150604,WHOI,116500,,,,9/4/2015,DOI,
A00848,WFP COASTAL,1,MCLANE,MMP-7,ML13103-03,,D100167,WHOI,ATS,SEA,A,20140128,94082,100%,,20150604,WHOI,116501,,,,9/4/2015,DOI,
A00849,WFP COASTAL,1,MCLANE,MMP-7,ML13103-04,,D100167,WHOI,ATS,SEA,A,20140128,94082,100%,,20150604,WHOI,116502,,,,9/4/2015,DOI,
A00850,WFP COASTAL,1,MCLANE,MMP-7,ML13103-05,,D100167,WHOI,ATS,SEA,A,20140128,94082,100%,,20150604,WHOI,116503,,,,9/4/2015,DOI,
A00851,OPEN OCEAN GLIDER 1000M,1,TELEDYNE WEBB RESEARCH,ASSY 4995,452,,D100160,WHOI,,,F,20130422,171901.09,100%,LOST AT SEA,20130422,WHOI,116504,,,,,,
A00852,OPEN OCEAN GLIDER 1000M,1,TELEDYNE WEBB RESEARCH,ASSY 4995,453,,D100160,WHOI,LOSO,202,A,20140422,171901.09,100%,,20140422,WHOI,116505,,,,,,
A00853,ADCP SERIES N (WHLS75-6KS-I),1,TELEDYNE RDI,WHLS75-6KS-I,21654,50.4,E115376,WHOI,LOSO,202,A,20140530,79353,100%,,20140530,WHOI,116509,,,,9/4/2015,DOI,
A00854,ADCP SERIES N (WHLS75-6KS-I),1,TELEDYNE RDI,WHLS75-6KS-I,21638,50.4,E115376,WHOI,LOSO,202,A,20140530,79353,100%,,20140530,WHOI,116510,,,,9/4/2015,DOI,
A00855,ADCP SERIES N (WHLS75-6KS-I),1,TELEDYNE RDI,WHLS75-6KS-I,21717,50.4,E115376,WHOI,LOSO,202,A,20140530,79353,100%,,20140530,WHOI,116512,,,,9/4/2015,DOI,
A00856,ADCP SERIES N (WHLS75-6KS-I),1,TELEDYNE RDI,WHLS75-6KS-I,21639,50.4,E115376,WHOI,ATS,SEA,A,20140530,79353,100%,,20140530,WHOI,116513,,,,9/4/2015,DOI,
A00857,SPKIR SERIES B (OCR507-ICSW),1,SATLANTIC,OCR-507 with Midrange Bioshutter,269,3.2A,E116052,WHOI,ATS,SEA,A,20140611,13316.36,100%,,20140611,WHOI,116534,,,,9/4/2015,DOI,
A00858,SPKIR SERIES B (OCR507-ICSW),1,SATLANTIC,OCR-507 with Midrange Bioshutter,270,3.2A,E116052,WHOI,ATS,SEA,A,20140611,13316.36,100%,,20140611,WHOI,116535,,,,9/4/2015,DOI,
A00859,SPKIR SERIES B (OCR507-ICSW),1,SATLANTIC,OCR-507 with Midrange Bioshutter,271,3.2A,E116052,WHOI,LOSO,HIBA,A,20150615,13316.36,100%,,20150615,WHOI,116536,,,,9/4/2015,DOI,
A00860,SPKIR SERIES B (OCR507-ICSW),1,SATLANTIC,OCR-507 with Midrange Bioshutter,272,3.2A,E116052,WHOI,ATS,SEA,A,20150604,13316.36,100%,,20150604,WHOI,116537,,,,9/4/2015,DOI,
A00861,DOSTA SERIES D (AADI 4831),1,AANDERAA,4831,375,4.7.1,E116053,WHOI,LOSO,HIBA,A,20150615,5258.25,100%,,20150615,WHOI,116542,,,,9/4/2015,DOI,
A00862,DOSTA SERIES D (AADI 4831),1,AANDERAA,4831,376,4.7.1,E116053,WHOI,LOSO,HIBA,A,20150604,5258.25,100%,,20150604,WHOI,116543,,,,9/4/2015,DOI,
A00863,DOSTA SERIES D (AADI 4831),1,AANDERAA,4831,377,4.7.1,E116053,WHOI,LOSO,202,A,20140618,5258.25,100%,,20140618,WHOI,116545,,,,9/4/2015,DOI,
A00864,DOSTA SERIES D (AADI 4831),1,AANDERAA,4831,378,4.7.1,E116053,WHOI,LOSO,202,A,20140618,5258.25,100%,,20140618,WHOI,116546,,,,9/4/2015,DOI,
A00865,DOSTA SERIES D (AADI 4831),1,AANDERAA,4831,379,4.7.1,E116053,WHOI,ATS,SEA,A,20140618,5258.25,100%,,20140618,WHOI,116547,,,,9/4/2015,DOI,
A00866,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12189,,E116011,WHOI,ATS,SEA,A,20140604,6775,100%,,20140604,WHOI,116548,,SIO,,9/4/2015,DOI,
A00867,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12190,,E116011,WHOI,ATS,SEA,A,20140604,6775,100%,,20140604,WHOI,116549,,SIO,,9/4/2015,DOI,
A00868,CTDMO SERIES H (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12218,,E116011,WHOI,ATS,SEA,A,20140604,6775,100%,,20140604,WHOI,116550,,SIO,,9/4/2015,DOI,
A00869,CTDMO SERIES H (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12219,,E116011,WHOI,ATS,SEA,A,20140604,6775,100%,,20140604,WHOI,116551,,SIO,,9/4/2015,DOI,
A00870,CTDMO SERIES H (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12220,,E116011,WHOI,ATS,SEA,A,20140604,6775,100%,,20140604,WHOI,116552,,SIO,,9/4/2015,DOI,
A00871,CTDMO SERIES H (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12221,,E116011,WHOI,LOSO,202,A,20140604,6775,100%,,20140604,WHOI,116553,,SIO,,9/4/2015,DOI,
A00872,CTDMO SERIES H (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12222,,E116011,WHOI,ATS,SEA,A,20140604,6775,100%,,20140604,WHOI,116554,,SIO,,9/4/2015,DOI,
A00873,CTDMO SERIES H (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12223,,E116011,WHOI,ATS,SEA,A,20140604,6775,100%,,20140604,WHOI,116555,,SIO,,9/4/2015,DOI,
A00874,CTDMO SERIES H (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12224,,E116011,WHOI,ATS,SEA,A,20140604,6775,100%,,20140604,WHOI,116556,,SIO,,9/4/2015,DOI,
A00875,CTDMO SERIES H (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12225,,E116011,WHOI,ATS,SEA,A,20140604,6775,100%,,20140604,WHOI,116557,,SIO,,9/4/2015,DOI,
A00876,CTDMO SERIES H (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12226,,E116011,WHOI,ATS,SEA,A,20140604,6775,100%,duplicate ooi_barcode number; Missing from SIO inventory,20140604,WHOI,116558,,SIO,,9/4/2015,DOI,
A00877,CTDMO SERIES H (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12227,,E116011,WHOI,ATS,SEA,A,20140604,6775,100%,,20140604,WHOI,116559,,SIO,,9/4/2015,DOI,
A00878,NUTNR SERIES B (ISUS),1,SATLANTIC,ISUS,267,3.2.4,E115225,WHOI,ATS,SEA,A,20140627,37602.9,100%,,20140627,WHOI,116562,,,,9/4/2015,DOI,
A00879,NUTNR SERIES B (ISUS),1,SATLANTIC,ISUS,268,3.2.4,E115225,WHOI,ATS,SEA,A,20140627,37602.9,100%,,20140627,WHOI,116563,,,,9/4/2015,DOI,
A00880,NUTNR SERIES B (ISUS),1,SATLANTIC,ISUS,266,3.2.4,E115225,WHOI,ATS,SEA,A,20140627,37602.9,100%,,20140627,WHOI,116564,,,,9/4/2015,DOI,
A00881,NUTNR SERIES B (ISUS),1,SATLANTIC,ISUS,269,3.2.4,E115225,WHOI,ATS,SEA,A,20150604,37602.9,100%,,20150604,WHOI,116565,,,,9/4/2015,DOI,
A00882,CTDMO SERIES Q (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12302,,E116160,WHOI,ATS,SEA,A,20140627,6775,100%,,20140627,WHOI,116567,,,,9/4/2015,DOI,
A00883,CTDMO SERIES Q (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12303,,E116160,WHOI,ATS,SEA,A,20140627,6775,100%,,20140627,WHOI,116568,,,,9/4/2015,DOI,
A00884,CTDMO SERIES Q (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12304,,E116160,WHOI,ATS,SEA,A,20140627,6775,100%,,20140627,WHOI,116569,,,,9/4/2015,DOI,
A00885,CTDMO SERIES Q (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12305,,E116160,WHOI,ATS,SEA,A,20140627,6775,100%,,20140627,WHOI,116570,,,,9/4/2015,DOI,
A00886,CTDMO SERIES Q (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12306,,E116160,WHOI,ATS,SEA,A,20140627,6775,100%,,20140627,WHOI,116571,,,,9/4/2015,DOI,
A00887,CTDMO SERIES Q (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12307,,E116160,WHOI,ATS,SEA,A,20140627,6775,100%,,20140627,WHOI,116572,,,,9/4/2015,DOI,
A00888,FLORT SERIES D (ECO TRIPLET-W),1,Wet Labs,BBFL2W ECO TRIPLET-W,1213,,E116089,WHOI,LOSO,202,A,20140627,13013.52,100%,,20140627,WHOI,116573,,,,9/4/2015,DOI,
A00889,FLORT SERIES D (ECO TRIPLET-W),1,Wet Labs,BBFL2W ECO TRIPLET-W,1214,,E116089,WHOI,ATS,SEA,A,20140627,13013.52,100%,,20140627,WHOI,116574,,,,9/4/2015,DOI,
A00890,DOSTA SERIES D (AADI 4831),1,AANDERAA,4831,382,4.7.1,E116093,WHOI,ATS,SEA,A,20140701,5258.25,100%,,20140701,WHOI,116579,,,,9/4/2015,DOI,
A00891,DOSTA SERIES D (AADI 4831),1,AANDERAA,4831,385,4.7.1,E116093,WHOI,ATS,SEA,A,20150604,5258.25,100%,,20150604,WHOI,116580,,,,9/4/2015,DOI,
A00892,DOSTA SERIES D (AADI 4831),1,AANDERAA,4831,386,4.7.1,E116093,WHOI,LOSO,202,A,20140701,5258.25,100%,,20140701,WHOI,116581,,,,9/4/2015,DOI,
A00893,DOSTA SERIES D (AADI 4831),1,AANDERAA,4831,387,4.7.1,E116093,WHOI,ATS,SEA,A,20150604,5258.25,100%,,20150604,WHOI,116582,,,,9/4/2015,DOI,
A00894,DOSTA SERIES D (AADI 4831),1,AANDERAA,4831,388,4.7.1,E116093,WHOI,LOSO,202,A,20140701,5258.25,100%,,20140701,WHOI,116583,,,,9/4/2015,DOI,
A00895,DOSTA SERIES D (AADI 4831),1,AANDERAA,4831,389,4.7.1,E116093,WHOI,ATS,SEA,A,20140701,5258.25,100%,,20140701,WHOI,116584,,,,9/4/2015,DOI,
A00896,DOSTA SERIES D (AADI 4831),1,AANDERAA,4831,390,4.7.1,E116093,WHOI,ATS,SEA,A,20140701,5258.25,100%,,20140701,WHOI,116585,,,,9/4/2015,DOI,
A00897,PHSEN SERIES E (SAMI-PH),1,Sunburst Sensors,SAMI-PH,P0137,,E116129,WHOI,ATS,SEA,A,20140709,18942.8,100%,,20140709,WHOI,116595,,,,9/4/2015,DOI,
A00898,PHSEN SERIES E (SAMI-PH),1,Sunburst Sensors,SAMI-PH,P0139,,E116129,WHOI,LOSO,202,A,20140709,18942.8,100%,,20140709,WHOI,116596,,,,9/4/2015,DOI,
A00899,DOSTA SERIES D (AADI 4831),1,AANDERAA,4831,391,,E116093,WHOI,ATS,SEA,A,20140711,5258.25,100%,,20140711,WHOI,116599,7/23/2014,SIO,,9/4/2015,DOI,
A00900,DOSTA SERIES D (AADI 4831),1,AANDERAA,4831,392,,E116093,WHOI,ATS,SEA,A,20140711,5258.25,100%,,20140711,WHOI,116600,7/23/2014,SIO,,9/4/2015,DOI,
A00901,DOSTA SERIES D (AADI 4831),1,AANDERAA,4831,393,,E116093,WHOI,ATS,SEA,A,20140711,5258.25,100%,,20140711,WHOI,116601,7/23/2014,SIO,,9/4/2015,DOI,
A00902,DOSTA SERIES D (AADI 4831),1,AANDERAA,4831,394,,E116093,WHOI,ATS,SEA,A,20140711,5258.25,100%,,20140711,WHOI,116602,7/23/2014,SIO,,9/4/2015,DOI,
A00903,DOSTA SERIES D (AADI 4831),1,AANDERAA,4831,381,,E116093,WHOI,UNV,OSU,A,20140711,5258.25,100%,,20140711,WHOI,116603,7/11/2014,OSU,326501,9/4/2015,DOI,
A00904,,,,,,,,WHOI,UNV,OSU,A,20140714,13013.52,100%,,20140714,WHOI,116604,,,,,,
A00905,OPTAA SERIES D (AC-S),1,Wet Labs,AC-S,ACS-170,,J100052,WHOI,UNV,OSU,A,20140714,38969.75,100%,,20140714,WHOI,116605,7/14/2014,OSU,326503,9/4/2015,DOI,
A00906,OPTAA SERIES D (AC-S),1,Wet Labs,AC-S,ACS-174,,J100052,WHOI,UNV,OSU,A,20140714,38969.75,100%,,20140714,WHOI,116606,7/14/2014,OSU,326504,9/4/2015,DOI,
A00907,OPTAA SERIES D (AC-S),1,Wet Labs,AC-S,ACS-183,,J100052,WHOI,UNV,OSU,A,20140714,38969.75,100%,,20140714,WHOI,116607,7/14/2014,OSU,326505,9/4/2015,DOI,
A00908,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12308,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,Missing from SIO inventory,20140722,WHOI,116612,7/23/2014,SIO,,9/4/2015,DOI,
A00909,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12309,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116613,7/23/2014,SIO,,9/4/2015,DOI,
A00910,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12310,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116614,7/23/2014,SIO,,9/4/2015,DOI,
A00911,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12311,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116615,7/23/2014,SIO,,9/4/2015,DOI,
A00912,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12386,,E116130,WHOI,UNV,SIO,,20140722,6775,100%,Missing from inventory,20140722,WHOI,,7/23/2014,SIO,,9/4/2015,DOI,
A00913,CTDMO SERIES H (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12387,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116617,7/23/2014,SIO,,9/4/2015,DOI,
A00914,CTDMO SERIES H (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12388,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116618,7/23/2014,SIO,,9/4/2015,DOI,
A00915,CTDMO SERIES H (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12389,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116619,7/23/2014,SIO,,9/4/2015,DOI,
A00916,PHSEN SERIES E (SAMI-PH),1,Sunburst Sensors,SAMI-PH,P0138,,E116129,WHOI,LOSO,202,A,20140730,18942.8,100%,,20140730,WHOI,116623,,,,9/4/2015,DOI,
A00917,PHSEN SERIES E (SAMI-PH),1,Sunburst Sensors,PHSEN SERIES E-PHY105,P0140,,E116129,WHOI,ATS,SEA,A,20140801,18942.8,100%,,20140801,WHOI,116624,,,,9/4/2015,DOI,
A00918,RELEASE ACOUSTIC,1,EdgeTech,7639,TASETN49311,,E116186,WHOI,LOSO,222,A,20140801,16200,100%,,20140801,WHOI,116625,,,,,,
A00919,RELEASE ACOUSTIC,1,EdgeTech,REMOTE RELEASE,TASETN49312,,E116186,WHOI,LOSO,222,A,20140801,16200,100%,,20140801,WHOI,116626,,,,,,
A00920,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12312,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116627,7/23/2014,SIO,,9/4/2015,DOI,
A00921,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12313,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116628,7/23/2014,SIO,,9/4/2015,DOI,
A00922,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12370,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116629,7/24/2014,SIO,,9/4/2015,DOI,
A00923,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12371,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116630,7/24/2014,SIO,,9/4/2015,DOI,
A00924,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12372,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116631,7/24/2014,SIO,,9/4/2015,DOI,
A00925,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12374,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116632,7/24/2014,SIO,,9/4/2015,DOI,
A00926,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12333,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116633,7/24/2014,SIO,,9/4/2015,DOI,
A00927,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12336,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116634,7/24/2014,SIO,,9/4/2015,DOI,
A00928,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12337,,E116130,WHOI,LOSO,202,A,20140722,6775,100%,,20140722,WHOI,116635,7/24/2014,SIO,,9/4/2015,DOI,
A00929,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12377,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116636,7/24/2014,SIO,,9/4/2015,DOI,
A00930,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12332,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116637,7/24/2014,SIO,,9/4/2015,DOI,
A00931,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12331,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116638,7/24/2014,SIO,,9/4/2015,DOI,
A00932,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12314,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116639,7/24/2014,SIO,,9/4/2015,DOI,
A00933,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12330,,E116130,WHOI,ATS,GSO3,A,20140722,6775,100%,,20140722,WHOI,116640,7/24/2014,SIO,,9/4/2015,DOI,
A00934,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12375,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116641,7/24/2014,SIO,,9/4/2015,DOI,
A00935,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12376,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116642,7/24/2014,SIO,,9/4/2015,DOI,
A00936,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12400,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116643,7/28/2014,SIO,,9/4/2015,DOI,
A00937,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12401,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116644,7/28/2014,SIO,,9/4/2015,DOI,
A00938,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12402,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116645,7/28/2014,SIO,,9/4/2015,DOI,
A00939,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12403,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116646,7/28/2014,SIO,,9/4/2015,DOI,
A00940,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12378,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116647,7/28/2014,SIO,,9/4/2015,DOI,
A00941,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12379,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116648,7/28/2014,SIO,,9/4/2015,DOI,
A00942,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12396,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116649,7/30/2014,SIO,,9/4/2015,DOI,
A00943,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12404,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116650,7/30/2014,SIO,,9/4/2015,DOI,
A00944,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12405,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116651,7/30/2014,SIO,,9/4/2015,DOI,
A00945,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12406,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116652,7/30/2014,SIO,,9/4/2015,DOI,
A00946,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12407,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116653,7/30/2014,SIO,,9/4/2015,DOI,
A00947,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12408,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116654,7/30/2014,SIO,,9/4/2015,DOI,
A00948,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12409,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116655,7/30/2014,SIO,,9/4/2015,DOI,
A00949,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12410,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116656,7/30/2014,SIO,,9/4/2015,DOI,
A00950,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,37IM,37-12411,,E116130,WHOI,ATS,SEA,A,20140722,6775,100%,,20140722,WHOI,116657,7/30/2014,SIO,,9/4/2015,DOI,
