OOI BARCODE,DESCRIPTION OF EQUIPMENT,QUANT,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,Source of the Equipment/Award No. or PO No.,Whether Title Vests in Recipient or Federal Gov,LOCATION,ROOM NUMBER/CUSTODY,COND.,ACQUISITION DATE,ORIGINAL COST,PERCENTAGE OF FEDERAL PARTICIPATION,comments,primary_tag_date,primary_tag_organization,primary_institute_asset_tag,secondary_tag_date,second_tag_organization,institute_asset_tag,doi_tag_date,doi_tag_organization,doi_institute_asset_tag
A00015,SOFTWARE PADS SCHEMATIC/PCB,1,TRILOGIC,PADS/PCB,SEE COMMENTS,,C115257,WHOI,BIG,309,A,20100308,28352,100%,,20100308,WHOI,113861,,,,,,
A00016,PRINTER DESIGNJET,1,HP,T1200,SCN9B62H016,,C115293,WHOI,LOSO,203,A,20100323,5285.48,100%,,20100323,WHOI,113863,,,,,,
A00017,(5) AUTODESK VAULT MANF 2010,1,M2 TECHNOLOGIES INC,2010,N/A,,C115309,WHOI,LOSO,LOB,A,20100407,8125,100%,,20100407,WHOI,113894,,,,,,
A00018,MODEM HYDRO ACOUSTIC,1,SIO,N/A,N/A,,A100549,WHOI,ATS,SEA,A,20090629,47369,100%,,20090629,WHOI,114041,,,,,,
A00019,ACOUSTIC RELEASE,1,ORE,8242XS,34580,,E113111,WHOI,CRL,HIBA,A,20110310,14500,100%,,20110310,WHOI,114490,,,,,,
A00020,ACOUSTIC RELEASE,1,ORE,8242XS,34579,,E113111,WHOI,CRL,HIBA,A,20110310,14500,100%,,20110310,WHOI,114491,,,,,,
A00021,ACOUSTIC RELEASE,1,ORE,8242XS,34578,,E113111,WHOI,CRL,HIBA,A,20110310,14500,100%,,20110310,WHOI,114492,,,,,,
A00022,,,,,,,,,,,,,,,Missing from inventory,,,,,,,,,
A00023,CTDMO SERIES Q (37IM),1,SEA-BIRD ELECTRONICS,SBE-37IM,37IM64183-8523,3.1,E113368,WHOI,LOSO,103,A,20110527,6200,100%,,20110527,WHOI,114539,,,,9/4/2015,DOI,
A00024,SOFTWARE FINITE ELEMENT ANALY,1,ANSYS,FEA,N/A,,C115878,WHOI,SMI,310,A,20110323,6300,100%,,20110323,WHOI,114584,,,,,,
A00025,WFP COASTAL REFURBISHED,1,MCLANE,MMP-7,ML12714-01,,S117247A,WHOI,LOSO,HIBA,A,20110617,91556,100%,,20110617,WHOI,114589,,,,9/4/2015,DOI,
A00026,TRANSPONDER ACOUSTIC RELEASE,1,ORE,8242XS,34817,,E113420,WHOI,ATS,SEA,A,20150604,13500,100%,,20150604,WHOI,114610,,,,,,
A00027,TRANSPONDER ACOUSTIC RELEASE,1,ORE,8242XS,34815,,E113420,WHOI,CRL,HIBA,A,20110630,13500,100%,,20110630,WHOI,114611,,,,,,
A00028,TRANSPONDER ACOUSTIC RELEASE,1,ORE,8242XS,34816,,E113420,WHOI,CRL,HIBA,A,20110630,13500,100%,,20110630,WHOI,114612,,,,,,
A00029,TRANSCEIVER DECK UNIT,1,ORE,8011M,34843,,E113420,WHOI,CRL,HIBA,A,20110630,15000,100%,,20110630,WHOI,114613,,,,,,
A00030,TRANSCEIVER DECK UNIT,1,ORE,8011M,34844,,E113420,WHOI,CRL,HIBA,A,20110630,15000,100%,,20110630,WHOI,114614,,,,,,
A00031,CURRENT PROFILER  AWAC,1,NORTEK,AWAC 600KHZ,P23686,,A100653,WHOI,UNV,OSU,A,20101112,19900,100%,,20101112,WHOI,114660,11/20/2010,OSU,323524,,,
A00032,BENTHIC EXPERIMENT PACKAGE,1,OSU,BEP,N/A,,A100653,WHOI,UNV,OSU,A,20110630,41968.09,100%,,20110630,WHOI,114661,9/1/2011,OSU,323983,,,
