,RefDes,Method,Stream,pdId,Parameter Name,Units,Data Product Identifier,Level,Gross Range Values
569,GI01SUMO-RII11-02-CTDBPP031,recovered_inst,ctdbp_cdef_instrument_recovered,PD195,pressure,counts,PRESWAT_L0,L0,"(0.0, 6000.0)"
572,GI01SUMO-RII11-02-CTDBPP032,recovered_inst,ctdbp_cdef_instrument_recovered,PD195,pressure,counts,PRESWAT_L0,L0,"(0.0, 6000.0)"
575,GI01SUMO-RII11-02-CTDBPP033,recovered_inst,ctdbp_cdef_instrument_recovered,PD195,pressure,counts,PRESWAT_L0,L0,"(0.0, 6000.0)"
578,GS01SUMO-RID16-03-CTDBPF000,recovered_inst,ctdbp_cdef_instrument_recovered,PD195,pressure,counts,PRESWAT_L0,L0,"(0.0, 6000.0)"
584,GS01SUMO-RII11-02-CTDBPP032,recovered_inst,ctdbp_cdef_instrument_recovered,PD195,pressure,counts,PRESWAT_L0,L0,"(0.0, 6000.0)"
588,GS01SUMO-RII11-02-CTDBPP033,recovered_inst,ctdbp_cdef_instrument_recovered,PD195,pressure,counts,PRESWAT_L0,L0,"(0.0, 6000.0)"
591,CP01CNSM-MFD37-03-CTDBPD000,recovered_inst,ctdbp_cdef_instrument_recovered,PD196,pressure_temp,counts,,,"(None, None)"
594,CP01CNSM-RID27-03-CTDBPC000,recovered_inst,ctdbp_cdef_instrument_recovered,PD196,pressure_temp,counts,,,"(None, None)"
597,CP03ISSM-MFD37-03-CTDBPD000,recovered_inst,ctdbp_cdef_instrument_recovered,PD196,pressure_temp,counts,,,"(None, None)"
599,CP03ISSM-RID27-03-CTDBPC000,bad_recovered_inst,ctdbp_cdef_instrument_recovered,PD196,pressure_temp,counts,,,"(None, None)"
602,CP03ISSM-RID27-03-CTDBPC000,recovered_inst,ctdbp_cdef_instrument_recovered,PD196,pressure_temp,counts,,,"(None, None)"
605,CP04OSSM-MFD37-03-CTDBPE000,recovered_inst,ctdbp_cdef_instrument_recovered,PD196,pressure_temp,counts,,,"(None, None)"
608,CP04OSSM-RID27-03-CTDBPC000,recovered_inst,ctdbp_cdef_instrument_recovered,PD196,pressure_temp,counts,,,"(None, None)"
610,GA01SUMO-RID16-03-CTDBPF000,bad_recovered_inst,ctdbp_cdef_instrument_recovered,PD196,pressure_temp,counts,,,"(None, None)"
612,GA01SUMO-RID16-03-CTDBPF000,recovered_inst,ctdbp_cdef_instrument_recovered,PD196,pressure_temp,counts,,,"(None, None)"
615,GA01SUMO-RII11-02-CTDBPP031,recovered_inst,ctdbp_cdef_instrument_recovered,PD196,pressure_temp,counts,,,"(None, None)"
618,GA01SUMO-RII11-02-CTDBPP032,recovered_inst,ctdbp_cdef_instrument_recovered,PD196,pressure_temp,counts,,,"(None, None)"
621,GA01SUMO-RII11-02-CTDBPP033,recovered_inst,ctdbp_cdef_instrument_recovered,PD196,pressure_temp,counts,,,"(None, None)"
623,GI01SUMO-RID16-03-CTDBPF000,bad_recovered_inst,ctdbp_cdef_instrument_recovered,PD196,pressure_temp,counts,,,"(None, None)"
625,GI01SUMO-RID16-03-CTDBPF000,recovered_inst,ctdbp_cdef_instrument_recovered,PD196,pressure_temp,counts,,,"(None, None)"
628,GI01SUMO-RII11-02-CTDBPP031,recovered_inst,ctdbp_cdef_instrument_recovered,PD196,pressure_temp,counts,,,"(None, None)"
631,GI01SUMO-RII11-02-CTDBPP032,recovered_inst,ctdbp_cdef_instrument_recovered,PD196,pressure_temp,counts,,,"(None, None)"
634,GI01SUMO-RII11-02-CTDBPP033,recovered_inst,ctdbp_cdef_instrument_recovered,PD196,pressure_temp,counts,,,"(None, None)"
637,GS01SUMO-RID16-03-CTDBPF000,recovered_inst,ctdbp_cdef_instrument_recovered,PD196,pressure_temp,counts,,,"(None, None)"
643,GS01SUMO-RII11-02-CTDBPP032,recovered_inst,ctdbp_cdef_instrument_recovered,PD196,pressure_temp,counts,,,"(None, None)"
647,GS01SUMO-RII11-02-CTDBPP033,recovered_inst,ctdbp_cdef_instrument_recovered,PD196,pressure_temp,counts,,,"(None, None)"
768,CP01CNSM-MFD37-03-CTDBPD000,recovered_inst,ctdbp_cdef_instrument_recovered,PD2819,ctdbp_seawater_temperature,ºC,TEMPWAT_L1,L1,"(-2.0, 40.0)"
