,RefDes,Method,Stream,pdId,Parameter Name,Units,Data Product Identifier,Level,Gross Range Values
20,GA01SUMO-RID16-03-CTDBPF000,bad_recovered_inst,ctdbp_cdef_instrument_recovered,PD5,density,kg m-3,DENSITY_L2,L2,"(1000.0, 1100.0)"
21,GA01SUMO-RID16-03-CTDBPF000,recovered_host,ctdbp_cdef_dcl_instrument_recovered,PD1,conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
22,GA01SUMO-RID16-03-CTDBPF000,recovered_inst,ctdbp_cdef_instrument_recovered,PD5,density,kg m-3,DENSITY_L2,L2,"(1000.0, 1100.0)"
23,GA01SUMO-RID16-03-CTDBPF000,telemetered,ctdbp_cdef_dcl_instrument,PD1,conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
24,GA01SUMO-RII11-02-CTDBPP031,recovered_host,ctdbp_p_dcl_instrument_recovered,PD1,conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
25,GA01SUMO-RII11-02-CTDBPP031,recovered_inst,ctdbp_cdef_instrument_recovered,PD5,density,kg m-3,DENSITY_L2,L2,"(1000.0, 1100.0)"
26,GA01SUMO-RII11-02-CTDBPP031,telemetered,ctdbp_p_dcl_instrument,PD1,conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
27,GA01SUMO-RII11-02-CTDBPP032,recovered_host,ctdbp_p_dcl_instrument_recovered,PD1,conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
28,GA01SUMO-RII11-02-CTDBPP032,recovered_inst,ctdbp_cdef_instrument_recovered,PD5,density,kg m-3,DENSITY_L2,L2,"(1000.0, 1100.0)"
29,GA01SUMO-RII11-02-CTDBPP032,telemetered,ctdbp_p_dcl_instrument,PD1,conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
30,GA01SUMO-RII11-02-CTDBPP033,recovered_host,ctdbp_p_dcl_instrument_recovered,PD1,conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
31,GA01SUMO-RII11-02-CTDBPP033,recovered_inst,ctdbp_cdef_instrument_recovered,PD5,density,kg m-3,DENSITY_L2,L2,"(1000.0, 1100.0)"
32,GA01SUMO-RII11-02-CTDBPP033,telemetered,ctdbp_p_dcl_instrument,PD1,conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
33,GI01SUMO-RID16-03-CTDBPF000,bad_recovered_inst,ctdbp_cdef_instrument_recovered,PD5,density,kg m-3,DENSITY_L2,L2,"(1000.0, 1100.0)"
34,GI01SUMO-RID16-03-CTDBPF000,recovered_host,ctdbp_cdef_dcl_instrument_recovered,PD1,conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
35,GI01SUMO-RID16-03-CTDBPF000,recovered_inst,ctdbp_cdef_instrument_recovered,PD5,density,kg m-3,DENSITY_L2,L2,"(1000.0, 1100.0)"
36,GI01SUMO-RID16-03-CTDBPF000,telemetered,ctdbp_cdef_dcl_instrument,PD1,conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
37,GI01SUMO-RII11-02-CTDBPP031,recovered_host,ctdbp_p_dcl_instrument_recovered,PD1,conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
38,GI01SUMO-RII11-02-CTDBPP031,recovered_inst,ctdbp_cdef_instrument_recovered,PD5,density,kg m-3,DENSITY_L2,L2,"(1000.0, 1100.0)"
39,GI01SUMO-RII11-02-CTDBPP031,telemetered,ctdbp_p_dcl_instrument,PD1,conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
40,GI01SUMO-RII11-02-CTDBPP032,recovered_host,ctdbp_p_dcl_instrument_recovered,PD1,conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
