serial,name,value,notes
16-50008,CC_a0,0.001224351,
16-50008,CC_a1,0.000279681,
16-50008,CC_a2,-1.444506e-06,
16-50008,CC_a3,1.929508e-07,
16-50008,CC_cpcor,-9.57e-08,
16-50008,CC_ctcor,3.25e-06,
16-50008,CC_g,-0.9839282,
16-50008,CC_h,0.1409451,
16-50008,CC_i,-0.0002302228,
16-50008,CC_j,3.70795e-05,
16-50008,CC_pa0,0.1398469,
16-50008,CC_pa1,0.001547661,
16-50008,CC_pa2,6.652282e-12,
16-50008,CC_ptca0,525838.1,
16-50008,CC_ptca1,6.301775,
16-50008,CC_ptca2,-0.09650654,
16-50008,CC_ptcb0,25.09425,
16-50008,CC_ptcb1,0.00045,
16-50008,CC_ptcb2,0,
16-50008,CC_ptempa0,-62.73845,
16-50008,CC_ptempa1,52.389,
16-50008,CC_ptempa2,-0.3281958,
