serial,uid
234,ATAPL-68020-00001
379,ATAPL-68020-00002
380,ATAPL-68020-00003
429,ATAPL-68020-00004
344,ATOSU-68020-00005
617,ATAPL-68020-00006
618,ATAPL-68020-00007
625,ATOSU-68020-00008
