ASSET_UID,TYPE,Mobile,Geometry,DESCRIPTION OF EQUIPMENT,QUANT,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,Source of the Equipment/Award No. or PO No.,Whether Title Vests in Recipient or Federal Gov,LOCATION,ROOM NUMBER/CUSTODY,COND.,ACQUISITION DATE,ORIGINAL COST,PERCENTAGE OF FEDERAL PARTICIPATION,comments,primary_tag_date,primary_tag_organization,primary_institute_asset_tag,secondary_tag_date,second_tag_organization,institute_asset_tag,doi_tag_date,doi_tag_organization,doi_institute_asset_tag
A00020,,,,ACOUSTIC RELEASE,,ORE,8242XS,34579,,E113111,WHOI,CRL,HIBA,A,20110310,14500,100%,,20110310,WHOI,114491,,,,,,
A00021,,,,ACOUSTIC RELEASE,,ORE,8242XS,34578,,E113111,WHOI,CRL,HIBA,A,20110310,14500,100%,,20110310,WHOI,114492,,,,,,
A00022,,,,,,,,,,,,,,,,,,Missing from inventory,,,,,,,,,
A00023,Sensor,0,,CTDMO SERIES Q (37IM),1,SEA-BIRD ELECTRONICS,SBE-37IM,37IM64183-8523,3.1,E113368,WHOI,LOSO,103,A,20110527,6200,100%,,20110527,WHOI,114539,,,,9/4/2015,DOI,
A00024,,,,SOFTWARE FINITE ELEMENT ANALY,,ANSYS,FEA,N/A,,C115878,WHOI,SMI,310,A,20110323,6300,100%,,20110323,WHOI,114584,,,,,,
A00025,Node,0,,WFP COASTAL REFURBISHED,1,MCLANE,MMP-7,ML12714-01,,S117247A,WHOI,LOSO,HIBA,A,20110617,91556,100%,,20110617,WHOI,114589,,,,9/4/2015,DOI,
A00025.1,Sensor,0,,WFP COASTAL REFURBISHED Electronics #1,1,MCLANE,MMP-7,ML12714-01,,S117247A,WHOI,LOSO,HIBA,A,20110617,0,100%,,20110617,WHOI,114589,,,,9/4/2015,DOI,
A00026,,,,TRANSPONDER ACOUSTIC RELEASE,,ORE,8242XS,34817,,E113420,WHOI,ATS,SEA,A,20150604,13500,100%,,20150604,WHOI,114610,,,,,,
A00027,,,,TRANSPONDER ACOUSTIC RELEASE,,ORE,8242XS,34815,,E113420,WHOI,CRL,HIBA,A,20110630,13500,100%,,20110630,WHOI,114611,,,,,,
A00028,,,,TRANSPONDER ACOUSTIC RELEASE,,ORE,8242XS,34816,,E113420,WHOI,CRL,HIBA,A,20110630,13500,100%,,20110630,WHOI,114612,,,,,,
A00029,,,,TRANSCEIVER DECK UNIT,,ORE,8011M,34843,,E113420,WHOI,CRL,HIBA,A,20110630,15000,100%,,20110630,WHOI,114613,,,,,,
A00030,,,,TRANSCEIVER DECK UNIT,,ORE,8011M,34844,,E113420,WHOI,CRL,HIBA,A,20110630,15000,100%,,20110630,WHOI,114614,,,,,,
A00031,,,,CURRENT PROFILER  AWAC,,NORTEK,AWAC 600KHZ,P23686,,A100653,WHOI,UNV,OSU,A,20101112,19900,100%,,20101112,WHOI,114660,11/20/2010,OSU,323524,,,
A00032,,,,BENTHIC EXPERIMENT PACKAGE,,OSU,BEP,N/A,,A100653,WHOI,UNV,OSU,A,20110630,41968.09,100%,,20110630,WHOI,114661,9/1/2011,OSU,323983,,,
A00033,,,,BUOY SYSTEM CART POP UP,,ORE OFF SHORE,POPUP,34775,,A100653,WHOI,UNV,OSU,A,20110620,6983.74,100%,,20110620,WHOI,114662,6/20/2011,OSU,324013,,,
A00034,,,,,,,,,,,,,,,,,,Missing from inventory,,,,,,,,,
A00035,,,,,,,,,,,,,,,,,,Missing from inventory,,,,,,,,,
A00036,,,,,,,,,,,,,,,,,,Missing from inventory,,,,,,,,,
A00037,,,,,,,,,,,,,,,,,,Missing from inventory,,,,,,,,,
A00038,,,,,,,,,,,,,,,,,,Missing from inventory,,,,,,,,,
A00039,,,,COMPUTER WORKSTATION,,DELL,T7500,1PVYNNI,,A100549,WHOI,UNV,SIO,AC,20101129,5229.63,100%,Missing from inventory,20101129,WHOI,,11/29/2010,SIO,126000373,,,
A00040,,,,COMPUTER WORKSTATION,,DELL,T7500,1PTXNN1,,A100549,WHOI,UNV,SIO,AC,20101129,5229.63,100%,Missing from inventory,20101129,WHOI,,11/29/2010,SIO,126000375,,,
A00041,,,,LOAD CELL,,FABRICATED,N/A,1,,A100759,WHOI,ATS,SEA,A,20110310,9412.5,100%,,20110310,WHOI,114708,3/10/2011,SIO,116030259,,,
A00042,,,,PRINTER DESKJET,,HP,T1200PS,CN13C4H00M,,A100549,WHOI,UNV,SIO,AC,20110425,9171.66,100%,Missing from inventory,20110425,WHOI,,4/25/2011,SIO,126000376,,,
A00043,Platform,0,,MOORING PIONEER COASTAL PROFIL,1,WHOI,AS02CPPM-00001,N/A,,FABRICAT,WHOI,LOSO,HIBA,A,20110919,523113,100%,,20110919,WHOI,114743,,,,,,
A00044,Platform,0,,MOORING PIONEER COASTAL SURFAC,1,WHOI,AS02CPSM-0001,N/A,,FABRICAT,WHOI,CRL,HIBA,A,20110919,1729923,100%,6/8/2012,20110919,WHOI,114744,,,,,,
A00045,Node,1,,COASTAL GLIDER 1000M,1,TELEDYNE WEBB RESEARCH,CSG-1000,247,,J100005A,WHOI,UNV,OSU,A,20111007,201685,100%,,20111007,WHOI,114762,2/1/2012,OSU,324528,,,
A00046,,,,LOAD CELL,,FABRICATED,N/A,PN-11106-3,,A100759,WHOI,ATS,SEA,A,20110310,9412.5,100%,,20110310,WHOI,114816,3/10/2011,SIO,116030258,,,
A00047,,,,LOAD ELECTRONIC PROGRAMMABLE,,BK PRESION,8522,2.02E+15,,E113815,WHOI,BIG,312,A,20120201,6975,100%,,20120201,WHOI,114851,,,,,,
A00048,Sensor,0,,VELPT SERIES B (AQUADOPP 3000M,1,NORTEK,AQUADOPP-3000M,AQD 9952,,E113790,WHOI,LOSO,102,A,20150604,11150,100%,,20150604,WHOI,114872,,,,9/4/2015,DOI,
A00049,Sensor,0,,VELPT SERIES B (AQUADOPP 3000M,1,NORTEK,AQUADOPP-3000M,AQD 9984,3.37,E113790,WHOI,ATS,SEA,A,20150604,11150,100%,,20150604,WHOI,114873,,,,9/4/2015,DOI,
A00050,Sensor,0,,PCO2A SERIES A (PCO2/ATM-50A),1,PRO-OCEANUS,PCO2ATM-50A,31-124-50A,,D100168,WHOI,LOSO,202,A,20120228,28732,100%,,20120228,WHOI,114878,,,,9/4/2015,DOI,
A00051,Sensor,0,,PRESF SERIES B (26PLUS),1,SEA-BIRD ELECTRONICS,26Plus,26P64515-1329,,J100007,WHOI,ATS,SEA,A,20120405,13450,100%,,20120405,WHOI,114940,,,,9/4/2015,DOI,
A00052,Sensor,0,,PRESF SERIES B (26 PLUS),1,SEA-BIRD ELECTRONICS,26Plus,26P64515-1328,,J100007,WHOI,UNV,OSU,A,20120405,13450,100%,,20120405,WHOI,114941,11/29/2012,OSU,325055,9/4/2015,DOI,
A00053,,,,"COMPUTER SERVER, SECURE SYNC",,SPECTRACOM,1200-093,1136,,A100653,WHOI,UNV,OSU,A,20111004,6166,100%,,20111004,WHOI,115024,12/16/2011,OSU,324427,,,
