serial,name,value,notes
43-3163,CC_oxygen_signal_slope,4.395260e-001,from 3163.cal - SOC
43-3163,CC_residual_temperature_correction_factor_a,-3.938871e-003,A
43-3163,CC_residual_temperature_correction_factor_b,2.615523e-004,B
43-3163,CC_residual_temperature_correction_factor_c,-4.380896e-006,C
43-3163,CC_residual_temperature_correction_factor_e,3.600000e-002,E
43-3163,CC_voltage_offset,-4.891085e-001,VOFFSET - TBD replaces frequency_offset
43-3163,CC_frequency_offset,-4.891085e-001,deprecated by voltage_offset
